"Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityfull_550+" "Immunitypartial_001-061" "Immunitypartial_062+" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "DCCI1" "DCCI2+" "InfPriorinf_NA_062-122" "InfPriorinf_NA_123-183" "InfPriorinf_NA_184-244" "InfPriorinf_NA_245-305" "InfPriorinf_NA_306-366" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunityfull_245-305" 0.0002153628375657 0.000251573459032486 0.00028287525408562 0.000299436057043695 0.000315720931374162 0.000326048223143793 0.000188575680875495 0.000204805274333827 0.000182507880915557 0.000212199369768799 0.00180401234339555 0.000257851346209143 0.000287447751783921 0.000308711808112968 0.000310414284157258 0.000310079800762755 0.000186012324277614 0.000236485585316663 0.00032367951385512 0.000328632452260501 -9.44346403184008e-06 -1.27910188149512e-05 5.45393696776675e-05 5.97310550151108e-05 7.89159147143157e-05 0.00012035213589603 0.000127505952334917 0.000185720824632809 0.000128607341239088 7.83909065492185e-05 4.21334266277011e-05 3.47078497908902e-05 3.70303000326739e-05 2.32517962882455e-05 -1.74400098721527e-05 -2.90866260911442e-05 -3.80330162890182e-05 -4.01115091595875e-05 -3.91131054669041e-05 -4.64944270823732e-05 -5.55340563799517e-05 -3.89472991105919e-05 1.19107177149345e-05
"Immunityfull_306-366" 0.000170350473587206 0.000231261006900538 0.000345445923212831 0.000557451769874906 0.000599655994249339 0.000623144239562051 0.00015354994794506 0.00017818513654037 0.000150480798205178 0.000180975529130602 0.000257851346209143 0.00438948873295529 0.000526506790133011 0.000582699566334992 0.000604541979806995 0.000608798322234958 0.000155139666450735 0.000275308520606041 0.000615345290712249 0.000615927520121696 -1.06117658832418e-05 -1.7239332864751e-05 9.90014317907218e-05 0.000296604419767048 0.000401026231040021 0.000427945844005965 0.000444187357026693 0.000164364731729656 9.87420050332579e-05 4.68081955035103e-05 9.69321650925626e-06 4.37107309564096e-06 1.68128579518199e-05 8.65603849886174e-06 -7.97945426844919e-06 -1.57599417416835e-05 -1.37726998625036e-05 -1.77387618449442e-05 -1.18893495933114e-05 -2.50918929510759e-05 -5.74436594206838e-05 -9.8140620838063e-05 2.05880991425952e-05
"Immunityfull_367-427" 0.000116352137079404 0.000212499961484146 0.000426782873451741 0.000932534051405311 0.00106452801649923 0.00113306595093873 8.73613048520066e-05 0.000133881500613269 8.55282772916297e-05 0.000142416302225529 0.000287447751783921 0.000526506790133011 0.00580748403104923 0.00105800436650288 0.00106723000446767 0.00111144225664828 9.1701023466174e-05 0.00032358834254604 0.00111029889260737 0.00113938569935842 -1.08264323226239e-05 -1.49621728698316e-05 0.000213519645219735 0.000576862613030103 0.000888699219280489 0.0010021525424617 0.00101891399879733 0.000141200836429828 7.93729453435962e-05 3.99281209950535e-05 2.96904632516921e-05 4.63752251859872e-05 4.62465245357609e-05 2.43424432817034e-05 -1.16127114290272e-05 -1.4961923354274e-05 -1.71885271577253e-05 -2.68660132076024e-05 -2.21097441415101e-05 -2.85658552416075e-05 -4.84105202451413e-05 -6.47375988430381e-05 7.17604748107653e-06
"Immunityfull_428-488" 0.000100397452583391 0.000230867429890229 0.000484294719060153 0.00106395334976271 0.00132080407666683 0.00151755863799809 5.65404963513536e-05 0.00011191795934567 4.92630109748641e-05 0.000123592124041377 0.000308711808112968 0.000582699566334992 0.00105800436650288 0.0129607496625437 0.00133481226609261 0.00144812874393456 6.75569870294197e-05 0.000354758319051449 0.00144020643739057 0.00157754087589067 -1.40921441204704e-05 -2.4545756003154e-05 0.000276784485823285 0.000637587437445026 0.0010434004134669 0.00136844171773981 0.00148034578338572 0.000108284530085105 5.41371894920336e-05 3.00101952109093e-05 3.98035305049677e-05 5.59892864203123e-05 5.7245581305161e-05 3.39761965188204e-05 -2.58870104186043e-05 -3.14621163242886e-05 -3.83411044193312e-05 -5.30831287951269e-05 -5.92078164989981e-05 -9.35330952255715e-05 -0.000134699920188871 -0.000142501885089388 1.17543216210894e-05
"Immunityfull_489-549" 9.36201048218367e-05 0.000242416561236216 0.000516773489777292 0.00108486425401879 0.001345319469867 0.00154989065473117 5.53451773204398e-05 0.000108663898193181 4.46659105162805e-05 0.000116493605043946 0.000310414284157258 0.000604541979806995 0.00106723000446767 0.00133481226609261 0.0398378844559387 0.00148021018099769 7.20335506747711e-05 0.000371962194288722 0.00146777641468067 0.00158363402238953 -1.06239146511177e-05 -2.70894164061689e-05 0.000270882371983587 0.000648357808093106 0.00105526278241016 0.00133979743495433 0.0014387489099418 9.78520769513741e-05 4.4185404815578e-05 2.16525304510567e-05 3.27841992325195e-05 4.5628068502771e-05 4.49608115496533e-05 2.01427410707517e-05 -1.49115044964298e-05 -2.71777402454086e-05 -3.46397520843827e-05 -4.99145084883883e-05 -3.70127323236935e-05 -7.4318624844728e-05 -0.000168540086222853 -0.000298895821444587 3.77623011998503e-05
"Immunityfull_550+" 8.10962601031886e-05 0.000224331113550554 0.000500345319724397 0.00108129570608488 0.00141732606583618 0.0017142105439983 4.87148925190177e-05 0.00010514557683798 3.92936598514732e-05 0.000112229258980631 0.000310079800762755 0.000608798322234958 0.00111144225664828 0.00144812874393456 0.00148021018099769 0.201658313969723 6.37355116096464e-05 0.000376912611208733 0.00158383184817405 0.0017869719432368 -1.53068898052823e-05 -2.47862993494904e-05 0.000310455858395588 0.000637080181864337 0.00109192352888619 0.00154923409540786 0.00174282135334469 0.000121066814911881 6.74689926893873e-05 4.59258466851828e-05 5.89309683365247e-05 7.02052742360534e-05 6.19376915935965e-05 5.50659136670234e-05 -1.10204908125551e-05 8.81061586167504e-06 -5.86483441590054e-07 -1.29698001216346e-05 1.64134176833359e-05 -2.68153964676636e-06 -4.62813787398987e-05 -0.000288881596440484 4.61686315776336e-05
"Immunitypartial_001-061" 0.000220537811223758 0.000199460105811192 0.000163100400525294 8.71039664220302e-05 7.04688471082695e-05 6.31455347039184e-05 0.000240646993350492 0.000225676663235349 0.000243727499718511 0.000216539118496913 0.000186012324277614 0.000155139666450735 9.1701023466174e-05 6.75569870294197e-05 7.20335506747711e-05 6.37355116096464e-05 0.0184259168449172 0.000192145670215596 6.62977183546993e-05 5.93042805465404e-05 -7.99963673747807e-06 -1.15161951815013e-05 -5.10399975208275e-05 -0.000101692234378968 -0.000145226624238423 -0.000186361944696365 -0.000121038306121138 -7.11076798294382e-05 -0.000194868726503308 -9.51358190362453e-05 -5.9961011310014e-05 -4.313281707233e-05 -3.4711938817424e-05 -1.82100621753422e-05 1.73246447006667e-05 1.83993095749584e-05 2.3505196468104e-05 1.97509243848864e-05 1.5080797531615e-05 1.28611211447146e-05 -2.5659096058917e-06 4.63091830716698e-06 5.6527498636266e-06
"Immunitypartial_062+" 0.000202182170015714 0.000237648642740872 0.000281561232062518 0.000336524420875433 0.000368594590781132 0.000393555029525467 0.000192289573482638 0.000202196572290274 0.000189239614797877 0.000202003749711713 0.000236485585316663 0.000275308520606041 0.00032358834254604 0.000354758319051449 0.000371962194288722 0.000376912611208733 0.000192145670215596 0.0121510439637763 0.000386051949809894 0.000391354737691927 -1.47649251237096e-05 -2.56323455683036e-05 4.03191603427716e-05 8.77943873213601e-05 0.000128711411121682 0.000160561149672088 0.000194287604188178 0.000180347174051422 8.98053905540073e-05 2.49674564325404e-05 -4.29683901340519e-06 5.77925813775414e-06 8.99076165923044e-06 -8.1214322584199e-07 1.50782289912245e-06 7.53175504919714e-06 8.27351362966917e-06 -9.16290900333756e-06 -1.43867046568786e-05 -2.72934806800939e-05 -4.19305854654036e-05 -8.09923271388324e-05 1.98152340220725e-05
"Immunitysecboost_001-061" 0.000100977594531849 0.00028421682617975 0.000571019829478815 0.00114189478089854 0.00146888411502845 0.00172910349531377 4.44042700425918e-05 0.000101272262013863 2.92329251494191e-05 0.000108043939526964 0.00032367951385512 0.000615345290712249 0.00111029889260737 0.00144020643739057 0.00146777641468067 0.00158383184817405 6.62977183546993e-05 0.000386051949809894 0.036121289390169 0.00180415636245217 -1.10445228270764e-05 -4.07290195336788e-05 0.000294074180328989 0.000638697832235075 0.00108489601458826 0.00146407678360662 0.00159154052351444 7.28694687810977e-05 2.03850276363129e-05 -1.81365060155666e-07 1.85602970472389e-05 3.87837719447971e-05 3.96126634816852e-05 2.33032453620916e-05 -1.66972388257153e-05 -2.27158253342347e-05 -3.51838871427561e-05 -8.16598522325003e-05 -0.000142882547273024 -0.000231359524524155 -0.000318705069298356 -0.000350877012287798 -1.82871100272142e-05
"Immunitysecboost_062-122" 9.59791957927681e-05 0.000286856267956059 0.000576285953528558 0.0011394473790052 0.00155825461989658 0.00197415277010844 3.69221139899544e-05 9.75882232314609e-05 2.06375807013768e-05 0.000102868466484178 0.000328632452260501 0.000615927520121696 0.00113938569935842 0.00157754087589067 0.00158363402238953 0.0017869719432368 5.93042805465404e-05 0.000391354737691927 0.00180415636245217 0.202184158483677 -1.31122948637196e-05 -3.39593259421619e-05 0.000322803672178375 0.000624553370368003 0.00107862571075197 0.00174859749950039 0.00223871140353898 6.84534187017904e-05 1.62900433089646e-05 -3.01014791015033e-06 1.70342369664396e-05 4.0417023456181e-05 3.81428797756524e-05 2.40966948898832e-05 -1.83190063671449e-05 -2.45652759062072e-05 -3.41581653355538e-05 -8.25455859116455e-05 -0.000155715849758234 -0.000244771521882549 -0.000338976866914806 -0.000358867044522565 -3.39790939358505e-05
"DCCI1" -9.49152768264824e-06 -1.2255312523691e-05 -1.32156214913047e-05 -1.28845145608491e-05 -1.12427260976521e-05 -1.06872917802132e-05 -2.14218468783232e-06 -3.6345590067878e-06 -2.33927329409429e-06 -3.6923133971643e-06 -9.44346403184008e-06 -1.06117658832418e-05 -1.08264323226239e-05 -1.40921441204704e-05 -1.06239146511177e-05 -1.53068898052823e-05 -7.99963673747807e-06 -1.47649251237096e-05 -1.10445228270764e-05 -1.31122948637196e-05 0.000414967084991749 0.000211002978922899 8.47474347271135e-07 1.75040884161896e-06 2.63160876979707e-06 3.80200631996884e-06 -1.20201399833269e-05 8.74400592672736e-05 2.93411029287254e-05 3.05615082753509e-05 2.96553182585641e-05 2.18613880193291e-05 1.96643360826438e-05 1.17414024179202e-05 -9.23003769319483e-06 -1.94646400741975e-05 -3.21865527747579e-05 -4.090009842432e-05 -5.13627540477252e-05 -5.45143676103061e-05 -5.39536192303514e-05 -5.22315035076086e-05 5.73449241805722e-06
"DCCI2+" -1.10454786595899e-05 -2.24699046508858e-05 -2.45899922812964e-05 -2.16339122730327e-05 -2.40908257831786e-05 -2.42061578558984e-05 -3.09118601110532e-06 -2.39007805496112e-06 4.69896942585595e-08 -6.42466892081945e-07 -1.27910188149512e-05 -1.7239332864751e-05 -1.49621728698316e-05 -2.4545756003154e-05 -2.70894164061689e-05 -2.47862993494904e-05 -1.15161951815013e-05 -2.56323455683036e-05 -4.07290195336788e-05 -3.39593259421619e-05 0.000211002978922899 0.000446317552091902 1.07335312759722e-06 2.2408975995231e-06 2.79889901407282e-06 4.16172149959035e-06 2.30625660181577e-05 9.58068573080781e-05 6.21242127245208e-05 6.22272907352357e-05 5.64646105173463e-05 3.91757451034129e-05 3.01003200839303e-05 1.62122239786821e-05 -1.83567024232981e-05 -4.32465058633509e-05 -7.29752457032924e-05 -0.000105470680203991 -0.000145398442630669 -0.000177469587182665 -0.000204213676138413 -0.000226190470566336 4.86149529794392e-06
"InfPriorinf_NA_062-122" -4.85801352560417e-05 2.107671347407e-05 0.000122468181543691 0.000190504335540088 0.000263657066439756 0.000314675347469884 -5.46812945266799e-05 -1.7235467046767e-05 -5.60745607833886e-05 -2.97004381979592e-05 5.45393696776675e-05 9.90014317907218e-05 0.000213519645219735 0.000276784485823285 0.000270882371983587 0.000310455858395588 -5.10399975208275e-05 4.03191603427716e-05 0.000294074180328989 0.000322803672178375 8.47474347271135e-07 1.07335312759722e-06 0.000668135410768281 0.000363687780750219 0.000293217779979831 0.000337105076792525 0.000371365594594832 -2.75449896519477e-05 -3.1265538390016e-05 -2.23303131000341e-05 -3.47083768630314e-06 5.21959299087276e-06 6.16413003210021e-06 3.06672682459315e-06 -3.03694115157226e-07 2.826018542185e-06 5.82896981237198e-06 6.06669347772551e-06 1.07228679763051e-05 7.42814390592185e-06 3.5922820017885e-07 -3.5565820048934e-06 -9.85733553113957e-07
