"Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "DCCI1" "DCCI2" "DCCI3" "DCCI4" "DCCI5" "DCCI6+" "DCCInodcci" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunityfull_306-366" 0.000300683201780265 0.000239301825312642 0.000311482659174254 0.000422324156697044 0.000608691314229736 0.000252071512338755 0.000286082483805748 0.000244521608319316 0.000249893118860766 0.000324978901243756 0.00533259621303139 0.000460444016830153 0.000606039575464226 0.000268133105386443 0.000319588758944916 0.000424426288890815 0.000246401786568675 0.000273486829043373 0.00028921449744066 0.00025800941985304 0.000317132866930722 0.000357315313251075 0.000263564740625744 0.000333814316456249 0.000245774819001705 0.00028765021525716 0.000296989777885614 0.000338799484442868 -2.12672453613787e-05 -2.567402876022e-05 -2.52457112112521e-05 -1.85760544541491e-05 7.62787880025457e-06 4.63798850790477e-05 -8.99024866930059e-05 0.000164888582352504 8.69869339016857e-05 3.89402370406222e-05 8.48624815600469e-06 1.81988382669048e-05 2.46106692000733e-05 1.63222209485569e-05 -1.28378241625162e-05 -1.73108416116455e-05 -2.35933711472653e-05 -2.59226829839914e-05 -2.56757702373061e-05 -6.31911921226708e-05 -0.000121644596950961 -0.000190735529699105 5.26924535965062e-05
"Immunityfull_367-427" 0.000294141946190168 0.000131968415403154 0.000280298089061443 0.000651554834741423 0.00120391101304501 0.000167057330481038 0.00028515173647883 0.000191637182233882 0.000176545027419069 0.000357805570921744 0.000460444016830153 0.0229548217183587 0.00123192470340952 0.000220127096119372 0.000340125108907569 0.000685014862247484 0.000194928937983004 0.000242063400028696 0.000322907105853741 0.00023089878115624 0.000383354037813075 0.0004317554655066 0.000262072886944774 0.000513958512150022 0.000168017879918699 0.000289003866991419 0.000302549767207718 0.000435404255542017 -2.21662535395677e-05 -2.74286539253781e-05 -2.96311841848223e-05 -3.64074031073768e-05 -4.03651466968561e-06 2.50157332418659e-05 -0.000143744877640816 0.000156589979604772 8.83480671589291e-05 5.12120048857228e-05 2.75023659943315e-05 1.04484523722729e-05 2.06904819760012e-05 1.19380030719642e-05 -9.02414231258379e-06 -1.12615444597497e-05 -1.08599767559842e-05 -1.25341182998326e-05 3.04467377271904e-06 -1.17756792027216e-05 -5.52600158716225e-05 -0.000240146178103116 5.71814947135313e-05
"Immunityfull_428-488" 0.000338080831798352 8.62875749278988e-05 0.000202693019445872 0.000899255676647189 0.00565295289640952 0.00012068565868013 0.000238093619306928 0.000228661233883276 0.000134145468848288 0.00034036132094832 0.000606039575464226 0.00123192470340952 1.00533101321872 0.0001767361385533 0.000324169048829491 0.00111769219182135 0.000145513581507699 0.000216264668400196 0.000393255390283715 0.000253288001145716 0.00044738209023092 0.00064489905867406 0.000289267377665097 0.000733990500516491 0.000124784947285594 0.000270836044175594 0.000349668649740238 0.000500658271117607 -2.17912319090384e-05 -3.32786578717881e-05 -3.29730333518844e-05 -4.98290561966368e-05 -7.90346611473233e-06 1.23762823774633e-06 -0.000308186432013502 0.00019515751761767 0.000120034064993795 8.54463208066915e-05 7.15278510537015e-05 1.14899188133236e-06 2.7653720862625e-05 1.52660553206125e-05 -1.793149257677e-06 -6.81038978663886e-06 1.89407766164546e-06 3.13483385437663e-06 4.2053961045782e-05 4.26684485198096e-05 -7.14662140565403e-06 -0.000205967890316572 6.22851952561843e-05
"Immunityhybridboost_001-061" 0.000322701961791728 0.000368803426925746 0.000319118471669303 0.00025320688143187 0.00018830946199261 0.000352273790848607 0.000342828771069041 0.000361968705572481 0.000366862327634854 0.000318890032536637 0.000268133105386443 0.000220127096119372 0.0001767361385533 0.100355245673616 0.000317530536993857 0.000253037111071574 0.00036591135869773 0.000352827630869224 0.000344254777667798 0.000367720682926727 0.000331499273227512 0.000286281337079061 0.000340603200987059 0.000306714010425171 0.000360021971108021 0.000334887403975512 0.000330362382768848 0.000312715246589306 -4.55357919893841e-05 -5.51666808074839e-05 -5.30393256475803e-05 -4.14155908330037e-05 -3.17933301128622e-05 6.07788162157919e-06 -5.16071513058431e-05 0.000358556763088764 0.000252371283470739 0.000163544955114054 9.76594302893746e-05 0.000117666803697647 0.000111320459100832 7.39562108104695e-05 -5.43743466712014e-05 -5.6333854144301e-05 -5.12307433004533e-05 -3.24228752322927e-05 1.40768848711196e-05 4.10800342313697e-05 6.8161003950766e-05 0.000159325869405733 -9.08436571225241e-06
"Immunityhybridboost_062-122" 0.000305229896925956 0.000291621174805802 0.000327947600609336 0.000363817852800363 0.000337021501033509 0.000290167466830362 0.000328563947059174 0.000290135093258306 0.000303626266516693 0.000337518013156307 0.000319588758944916 0.000340125108907569 0.000324169048829491 0.000317530536993857 0.0717670018456976 0.000362252060528037 0.000303296026566794 0.000322384041830049 0.000327002481243613 0.000314336828150652 0.00034200392039429 0.000318350787476473 0.000305430614485996 0.000344341742169629 0.000295362247835586 0.000315844326891605 0.00031016385050629 0.000345445616656221 -4.31332435672787e-05 -5.64164602640232e-05 -5.71182630282884e-05 -5.47514537267698e-05 -4.84855055414537e-05 -1.35552950854393e-05 -6.82598983019071e-05 0.000222000735744873 0.000136378817607925 7.69020804888671e-05 4.25612872717134e-05 5.9261743457511e-05 5.91784323391583e-05 3.97826804949126e-05 -3.9062960536484e-05 -5.07227102684177e-05 -6.01398096551036e-05 -8.54226426659571e-05 -7.0669662442174e-05 -7.25099738914064e-05 -7.20192182141439e-05 -8.6640359727182e-06 -4.59803990493376e-06
"Immunityhybridboost_123-183" 0.000292692988566444 0.000166782873562212 0.000292506738016418 0.000680136154376858 0.00113769318934446 0.000180924115492646 0.000309609663311217 0.000220294892313404 0.000203164725902931 0.000379764740106589 0.000424426288890815 0.000685014862247484 0.00111769219182135 0.000253037111071574 0.000362252060528037 1.00071816802438 0.000218198535374775 0.000273873132776295 0.000367787854501067 0.000260290946525041 0.000413000376966267 0.0004136009990227 0.000281403264446355 0.000555021266569695 0.000182664132040294 0.000299379994820097 0.000302567881486303 0.000439936885632982 -3.79804623098886e-05 -5.67061636938365e-05 -6.21011213539793e-05 -7.16060801759985e-05 -7.10277902322204e-05 -4.28871393117043e-05 -8.04186684184237e-05 0.000149698035416692 8.14252033417483e-05 3.84479279917997e-05 2.13297364447097e-05 3.03721154114882e-05 3.36380853245065e-05 2.26427098634412e-05 -2.37216890848064e-05 -3.29924593614751e-05 -4.00933473403338e-05 -6.2352919161791e-05 -5.36116388108647e-05 -8.65285818280678e-05 -0.000132374620509902 -0.000119171510884566 4.09415926934679e-06
"Immunityhybridfull_001-061" 0.00034441234130196 0.000368229892696848 0.000293924261408268 0.000211484215493895 0.000132694706230912 0.00038736569946374 0.00038993102847465 0.000433492351636775 0.000406637232001821 0.000312767420328975 0.000246401786568675 0.000194928937983004 0.000145513581507699 0.00036591135869773 0.000303296026566794 0.000218198535374775 0.33379277796782 0.000385834802084054 0.00038012321286763 0.000435818885285865 0.000357624719215604 0.000284270425881226 0.000425015335024814 0.000383453868466764 0.000403687148183772 0.000369953280667286 0.000358173120264517 0.000343870704774484 -3.7484053572127e-05 -3.47351279439014e-05 -3.09168254529353e-05 -2.17927501778999e-05 -1.09138583885883e-05 2.00063170005865e-05 3.37271097233582e-05 0.000766957881039267 0.000218684567917935 -0.000322969274269373 -0.000107086822058442 7.91797938243237e-05 0.000105115233668126 5.87583901056807e-05 5.2245014457951e-05 0.000164228536542666 0.000264525425718998 0.000380615572379631 0.000477861316526078 0.000523384035111015 0.000547165532434125 0.000619799400889765 2.37899262995727e-05
"Immunityhybridfull_062-122" 0.000325760616746281 0.00034990296253966 0.000316340151726425 0.000270876898174843 0.000223605417977314 0.000349313436260146 0.000360036824297658 0.000368338542394853 0.000367945584110823 0.00032577257595821 0.000273486829043373 0.000242063400028696 0.000216264668400196 0.000352827630869224 0.000322384041830049 0.000273873132776295 0.000385834802084054 0.0559178213067284 0.000356858525212396 0.000382259803874142 0.00034832752780386 0.000294401456408711 0.00036612702244919 0.000349935426865481 0.000360705972228862 0.000344486715151423 0.000335262106594785 0.000334614459716517 -4.04375686592529e-05 -4.66633004683594e-05 -4.36158338647425e-05 -3.31893814861723e-05 -2.02625266934424e-05 1.44293526388354e-05 -9.95691948497487e-06 0.00050952116150086 0.000277922642094259 6.12754782043848e-05 7.47119632787751e-05 0.000139983763266407 0.000137124645945709 8.50432263393674e-05 2.85744524933757e-06 6.04144395026267e-05 9.54340272016298e-05 0.000131152622447845 0.000168664896698734 0.000201783029988814 0.000228321378702463 0.000320222652093572 7.77026543842526e-06
"Immunityhybridfull_123-183" 0.000328792691919167 0.000332215248990818 0.000301260551553599 0.000353606940425341 0.00039890527250298 0.000332355456921462 0.000366187476736093 0.000376765737187107 0.000355885544901948 0.000340700992159504 0.00028921449744066 0.000322907105853741 0.000393255390283715 0.000344254777667798 0.000327002481243613 0.000367787854501067 0.00038012321286763 0.000356858525212396 0.0912946224743006 0.000384133784062981 0.000376912658273365 0.000313417250955099 0.000372553630171428 0.000426628878066429 0.000343194352313873 0.000349935371647532 0.000341835552161245 0.000366769873208393 -3.84359613394093e-05 -4.36066699403556e-05 -4.00542214539327e-05 -2.79612195682185e-05 -1.46374413885228e-05 1.64423461566222e-05 -1.39366621963164e-05 0.00048570349230206 0.00022910848834648 -5.27259024862361e-05 -5.31820490780125e-05 3.44164471228295e-05 6.72375493079325e-05 5.18962457207081e-05 -1.41438439600624e-05 1.97714244633417e-05 4.53547805379248e-05 8.38337856798544e-05 0.00014256510326663 0.000178024146403962 0.000200157826932979 0.000293588600446933 8.51672287978922e-06
"Immunityhybridfull_184-244" 0.000339682626337331 0.000363295854799515 0.000297272662917093 0.000247575501230841 0.000250492529812283 0.000370293424622748 0.000382510745316366 0.000410169924810136 0.000397734191414368 0.000323523968992138 0.00025800941985304 0.00023089878115624 0.000253288001145716 0.000367720682926727 0.000314336828150652 0.000260290946525041 0.000435818885285865 0.000382259803874142 0.000384133784062981 0.100430439954667 0.000372321855115061 0.000296561100174813 0.00040876487884124 0.000391341858716332 0.000393821464636095 0.000370244896465674 0.000360536564036013 0.0003569648890961 -3.83620261473344e-05 -3.63819299477474e-05 -3.15001633286598e-05 -1.91072239757774e-05 -6.79510869318017e-06 1.84329212272802e-05 -1.3372596501972e-05 0.000647109620914759 0.000470406768202475 0.000257905832612762 8.97993207586012e-05 0.000126950060460639 0.000134632720958012 8.51481828970824e-05 -4.65937522462957e-05 -1.09945866048737e-05 6.39633850615028e-05 0.000183211845748632 0.000307750909948575 0.0003634913371232 0.000393979478296909 0.000465869940726371 1.69367601618457e-05
