"Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityboost_428-488" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridboost_367-427" "Immunityhybridboost_428-488" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "Immunitysecboost_123-183" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunityfull_184-244" 0.00390585378273522 0.00300306657264572 0.0031945471624272 0.00408174671454456 0.00423497815456819 0.00347175329745481 0.00260522175977592 0.0020717073154617 0.00193460283629386 0.00610817728914033 0.0885152422022892 0.00398782978350272 0.00361067034636836 0.00386492828649207 0.00328682150625344 0.00271087248143937 0.00264358904718634 0.00239101754049383 0.00331089907601644 0.00361754606044739 0.00320179264232186 0.00260622077665037 0.00218117214818209 0.00207624411567241 0.00434911949817942 0.00434176474263897 0.00376688896632661 0.00328431188246321 0.00322797509105028 0.00326099272933675 0.00282848142666409 0.00517194222558063 0.00582993537792998 0.00568929013700918 0.00539053556921475 0.00504829971050567 0.00548995538798528 0.00582137645486374 0.00256396786369677 0.00214710314857183 0.00198870730189376 -0.00316086414128626 -0.00494123715957496 -0.00308161701898391 -0.00145076506218387 -0.000950777719227802 -0.000747807979810798 -0.00012902105554243 0.000205241107747735 0.000481018263231949 0.000679031186210177 0.000699293237606721 0.000846579214897022 0.00133628651144447 0.00152051457734361 0.0020102982537982 0.0001135682625422
"Immunityfull_245-305" 0.00407041155314352 0.00391720881047825 0.00391330119476101 0.00364494767406651 0.00333815159295806 0.00378373223111603 0.00392454224036566 0.00337183506075059 0.00306864138124289 0.003806116997719 0.00398782978350272 0.071081431104499 0.00425981748756017 0.00416367359428094 0.00425988095825703 0.00386611859110569 0.00380496637802112 0.00363322994440893 0.00355571610207951 0.0038989868023789 0.00405854676749542 0.00397188852515442 0.00346607578854463 0.00322337316430226 0.00392903818546129 0.00443051178024565 0.00446336821898807 0.00440358459306514 0.00420160257066325 0.00441918295904461 0.0040680213005439 0.00387112729207419 0.00448455345584663 0.00468058418598357 0.00472399346528973 0.0043946872141641 0.00409548805164729 0.00408801639282842 0.00371852271153961 0.00351241497946241 0.0032276848171179 0.000945317061677907 -0.00444120649716839 -0.00325955435041915 -0.00183631433044054 -0.00102700950111808 -0.000828726663822324 -0.0001475977427298 0.000253546335550629 0.000608181946146506 0.000828352903510201 0.00099410229719707 0.00110722659192276 0.00162947210935987 0.00177143048318613 0.00232083849132667 1.06945040712384e-05
"Immunityfull_306-366" 0.00466827556672226 0.00440665599029096 0.00475765595852213 0.00416943130189682 0.00354487526715423 0.0035091758990039 0.00442407321547971 0.00563305795445404 0.00553089372290731 0.0035516640901283 0.00361067034636836 0.00425981748756017 0.0961145136846763 0.00454177705817572 0.0044543327341277 0.00502603621209887 0.00451723560567142 0.0052410254213087 0.00428443490091359 0.00388192495661082 0.00424082391410789 0.00512503514735025 0.00579427841702251 0.00570051813244415 0.00435456067536291 0.00436038843522205 0.00477106896423323 0.00531704365729648 0.00541110010466346 0.00516530349855299 0.00554824541394986 0.00399250994635424 0.00374309495433428 0.00429570092847304 0.0049948488841546 0.0058151522614463 0.00492332351705853 0.00350218325400249 0.00438620347713616 0.00521873957527941 0.0056435611035767 0.00278109544116874 -0.00546781188112733 -0.00486088045060087 -0.00296573963876454 -0.00157611361122836 -0.00111564181412831 -0.000269374882026609 0.000371639792223646 0.000777838983405544 0.00102552599970222 0.00126010308521498 0.00143565328355184 0.00196644873020184 0.00206975408218132 0.00268626827722733 -1.30358614046412e-05
"Immunityfull_367-427" 0.00366945239035661 0.00396660248558689 0.00430985491927734 0.00447411422932258 0.00428754563516512 0.00394326441987131 0.00369527779766249 0.00404431496347212 0.00442145657137343 0.00354363648076963 0.00386492828649207 0.00416367359428094 0.00454177705817572 0.0547319157251123 0.00428393413343218 0.00412228047066027 0.00377093664940598 0.00401551818208411 0.00418422109113199 0.00420868885927243 0.00412671603002303 0.0041042062929204 0.00429151480976671 0.00463727697102661 0.00450254329835684 0.00469217698387809 0.00462867183778132 0.00464194337384246 0.00475911677347743 0.0046474108354025 0.00453732983663507 0.00392933394484098 0.00360456698146888 0.00340754693223584 0.00342556812678087 0.00363315716203252 0.00391512675740025 0.00362698686649956 0.00363870895934551 0.00381857041637502 0.00414465071163427 0.00465728616848093 -0.00234963299671408 -0.0041128917425189 -0.002245144688017 -0.000714914722110806 -0.000532268626053597 4.87364945792893e-05 0.000516267592095104 0.000964661639450293 0.00126363925266545 0.00156419861660646 0.0018159711752237 0.00244526431734894 0.00271226150701659 0.00342391581869071 4.31819896971751e-05
"Immunityfull_428-488" 0.00390870373568792 0.00429821064866398 0.00428899575106108 0.00378622068862153 0.00344261242243713 0.00395969806591557 0.00445458009136275 0.0042926702220994 0.00400776389728963 0.00267960670147778 0.00328682150625344 0.00425988095825703 0.0044543327341277 0.00428393413343218 0.0295736960405736 0.00447659493916783 0.00433755927639009 0.00436775276044713 0.00392039652417323 0.00410256927515689 0.00441311272324415 0.00463900933947273 0.00440177054091739 0.00416432998573001 0.00383953673964899 0.0042596448122515 0.0045748513320985 0.00478572601623854 0.00466552590497399 0.00481894258178035 0.00470209545043527 0.00325500725127029 0.00329798717658498 0.00350936636104094 0.00369330160104616 0.00362501239712635 0.00323536610430766 0.00303606414889943 0.00424635423730929 0.0043135712198663 0.00415851901031617 0.00362672029216961 0.000155136831341531 -0.0011587268751643 -0.00021271821290731 0.000582286312915386 0.000375545293901143 0.000542945601353693 0.000175573416034147 0.000396096093899469 0.000520968757803664 0.000704150703985285 0.000846613672333077 0.00131554428933877 0.00157159154145622 0.00224059584295818 0.000129271854725958
"Immunityfull_489-549" 0.00492592106674519 0.00471911893781624 0.00496974152808194 0.00349237697932639 0.00291383974233652 0.00351361010624632 0.00503007450018548 0.00725556809715903 0.00756169359004889 0.00223680975910001 0.00271087248143937 0.00386611859110569 0.00502603621209887 0.00412228047066027 0.00447659493916783 0.0427986680377872 0.0051792212222402 0.00632730801126972 0.00454957548623473 0.00371219436460484 0.00442095029947953 0.00588799891160096 0.0073892061458587 0.00761971477734537 0.0037796157427949 0.00356317749420121 0.00439018198657892 0.00540037671253632 0.00570614044485127 0.00524742948602708 0.00619432532089223 0.00323516996272236 0.00270283579744072 0.00348316538208519 0.00462943454551634 0.0060758282847518 0.0045442808784939 0.00245402033464471 0.00510649157538325 0.00651722754806551 0.00745699244015998 0.00262901803603733 0.00136206385935502 0.000425331878727237 0.000607661788851416 0.000929085557636756 0.000577379272491521 0.000611375574163713 7.89137128842088e-05 0.0002074366641865 0.000216565611064348 0.000287193969477993 0.000300913689699261 0.000431585926032781 0.000474985445817081 0.000945232308158385 0.00021133755513918
"Immunityhybridboost_001-061" 0.00441430770262463 0.00455334398563918 0.0045355804616283 0.00325865697400233 0.00286018617406927 0.00364774626808992 0.00498100717372603 0.00612077342977708 0.00591604501252941 0.00207935798531515 0.00264358904718634 0.00380496637802112 0.00451723560567142 0.00377093664940598 0.00433755927639009 0.0051792212222402 0.338342755924124 0.00561677800890874 0.00416940562335796 0.00369603954604945 0.00432724995809286 0.00538305652059901 0.00611305593908631 0.00589963128987637 0.00333506676712905 0.00331893879659586 0.00407652691459786 0.00483197393399925 0.00491010966994471 0.00472970671368016 0.00532090406199048 0.00286937655387584 0.00259372525975207 0.00325453677880957 0.00402972978405798 0.00480722347089076 0.00356187356451813 0.00235082312161139 0.00499394861634629 0.00582606589370854 0.0061607781411952 0.00142528354233565 0.000322711500488403 -5.3414110950872e-06 0.000317405393659847 0.000526153393442297 0.000348584675425606 0.000430282038513023 -9.07554520684437e-05 -7.45230749881086e-05 -0.000292777299837596 -0.000728664036535507 -0.000993769195756132 -0.000865418774130367 -0.000983114544945774 -0.000539704269616282 -0.000284505446219637
"Immunityhybridboost_062-122" 0.00546771666922361 0.00490225265534386 0.00532197657871181 0.00334952597949314 0.00263974772177719 0.00330124808254481 0.00532252940870189 0.00892686909540014 0.0106453610246594 0.00201106346536177 0.00239101754049383 0.00363322994440893 0.0052410254213087 0.00401551818208411 0.00436775276044713 0.00632730801126972 0.00561677800890874 1.00746895939448 0.00496083294996288 0.00349979855080217 0.00440208850618656 0.00650436386829667 0.0091557240616784 0.0106273711280839 0.00366032087615731 0.00308164207425736 0.00417292429299281 0.00565304234389463 0.00620161359129908 0.00538240407641965 0.00687526660432784 0.003191689719474 0.00233555822560007 0.00340124680917166 0.00511318075446811 0.00734509330013757 0.00553232899962906 0.00211451976794087 0.00556510127517693 0.0078164964372218 0.00962006903071835 0.00145089842848594 0.000289555714875299 -0.000238519707686558 0.000248939376900332 0.000483254427351914 0.000362462633704469 0.000456322160648962 -6.92004043057636e-06 4.26651985173607e-05 -0.000128307463309365 -0.000529027566900605 -0.000755882415593468 -0.000669289322609126 -0.000923592304583764 -0.000520155109103797 -0.000291441642937096
"Immunityhybridboost_123-183" 0.00393732995044398 0.00402311762672639 0.00438265544664224 0.00417186433413277 0.00405082128969323 0.00373326581818858 0.00395029799801531 0.00555349329446347 0.00663951137605931 0.00312469583738907 0.00331089907601644 0.00355571610207951 0.00428443490091359 0.00418422109113199 0.00392039652417323 0.00454957548623473 0.00416940562335796 0.00496083294996288 43852.9365836429 0.00389042783868776 0.00397418565144211 0.00454748080902667 0.00577002891161847 0.00671214690094837 0.00407153629411023 0.00372515804296425 0.00394371893938146 0.00440403027764771 0.00479136363559356 0.00433493094321498 0.00486530098853031 0.00365205434388234 0.00286667309322526 0.00288212871899539 0.00335652989220854 0.004326588547262 0.00424598243120506 0.00306138796517101 0.00410670859736552 0.00498118499579513 0.00597144266991318 0.00245294787438829 0.000716758513894995 -7.87882498691026e-05 0.000490087578470649 0.000713513012960624 0.000496458559257684 0.000530256083370682 -0.000138793658540358 -7.94124425250808e-05 -0.000107561736854729 -0.000144815059102818 -0.000202469062933693 8.88728376109235e-05 5.63387881885249e-05 0.000646963468170293 -0.000197992718120077
"Immunityhybridboost_184-244" 0.00320821497635892 0.00381152212530318 0.00385961903267217 0.00417007205724888 0.00424623369533403 0.00407780818720447 0.00372306452849667 0.0032626931593018 0.00309110897359771 0.00322025662938186 0.00361754606044739 0.0038989868023789 0.00388192495661082 0.00420868885927243 0.00410256927515689 0.00371219436460484 0.00369603954604945 0.00349979855080217 0.00389042783868776 0.115297974963116 0.00407338782394464 0.00376475769831412 0.0033785940211865 0.00323965693159253 0.00398306237506196 0.00421080443067603 0.00415106138204041 0.00401449225816117 0.00399527065881061 0.00410930252070809 0.00382430450209413 0.00349954316179146 0.00327654229692007 0.00298108233577356 0.00270904111645864 0.00243687850477649 0.00287932552281792 0.00338924969059431 0.00362085506447756 0.00335370717648817 0.00317808459690371 0.00327547369128139 0.001358265881765 0.000525501051656943 0.000868875873930801 0.00116060257225788 0.000838011809605051 0.000763110764138101 -0.000247841237108322 -0.000109374932258519 -4.34175454524765e-05 8.70182497053367e-05 0.000307948477748149 0.000805886939045387 0.00099161807406056 0.00170743408784377 -0.00012194401489957
