"VaccStatusboost_001-061" "VaccStatusboost_062-122" "VaccStatusboost_123-183" "VaccStatusboost_184-244" "VaccStatusboost_245-305" "VaccStatusboost_306-366" "VaccStatusboost_367-427" "VaccStatusfull_001-061" "VaccStatusfull_062-122" "VaccStatusfull_123-183" "VaccStatusfull_184-244" "VaccStatusfull_245-305" "VaccStatusfull_306-366" "VaccStatusfull_367-427" "VaccStatusfull_428-488" "VaccStatusfull_489-549" "VaccStatuspartial_001-061" "VaccStatuspartial_062+" "VaccStatussecboost_001-061" "VaccStatussecboost_062-122" "VaccStatussecboost_123-183" "DCCI1" "DCCI2" "DCCI3" "DCCI4" "DCCI5" "DCCI6+" "SexM"
"VaccStatusfull_184-244" 0.0202308486688485 0.0166503445595507 0.0111827128803214 0.0087602203763654 0.00629925502156253 0.00465347717909644 0.00446721984744679 0.00664367966395506 0.0110949302783184 0.0160313338079916 0.100663522800105 0.0127475554840108 0.00887707940107523 0.00695330894688624 0.00507395944278556 0.00427478651872906 0.00365432473655375 0.00875645795013345 0.00531493073081199 0.00476415883230706 0.0046269541608513 -0.001167019168189 -0.00181599592776078 -0.00222917778526592 -0.0022590239288161 -0.00325456979349547 -0.00176590620270161 0.000149433078727947
"VaccStatusfull_245-305" 0.012282046175624 0.0229754383888944 0.0253378759090212 0.0167457894170452 0.0146225150623696 0.0108290006519568 0.00930568091504408 0.00365505739015585 0.00598874697152991 0.00870961534903908 0.0127475554840108 0.18831419226084 0.018242881769392 0.0152571278149234 0.0128739540388322 0.0101768423991199 0.0022747438523426 0.0097179380617882 0.0118999241604754 0.0100629456013985 0.00916918216212727 -0.000829045790963705 -0.000907794570951697 -0.00107588887654036 -0.000804126387818467 -0.00179386531733036 -0.000217984093235895 4.99768713658632e-05
"VaccStatusfull_306-366" 0.00682222294939596 0.0137070670285634 0.0264394474486288 0.0303486983739359 0.0237527963072252 0.0228132034083194 0.021940006694472 0.00235029605302743 0.00339749093420058 0.00512651388232275 0.00887707940107523 0.018242881769392 0.22747592771428 0.0257116283684556 0.0232931390972626 0.0225766896002013 0.00163661061512415 0.00992543137432769 0.0230308898801318 0.0226044679525741 0.02164117318988 -0.000882001766446281 -0.000883059111744055 -0.00100430974816421 -0.000784592186187984 -0.00169151042840234 -0.000327741544333338 -6.27077139859768e-05
"VaccStatusfull_367-427" 0.00453540611144798 0.00833598696768606 0.0167429604638493 0.035675863773315 0.0379941280310902 0.0299184380921959 0.0292292571935944 0.00180917121808957 0.00241829205542232 0.00344203162997955 0.00695330894688624 0.0152571278149234 0.0257116283684556 0.236447816705377 0.0332867791036833 0.0298061536218195 0.00137860864302113 0.00971621862806582 0.0322907111373292 0.029218460529308 0.0295481732519161 -0.000722368231496698 -0.000929258480375888 -0.000860941184148878 -0.000671003099462736 -0.0011935973109521 4.27514661729799e-05 -0.000297825642325438
"VaccStatusfull_428-488" 0.00369105854556397 0.00618145832147385 0.0114181433065966 0.0250738849417716 0.0421051439424432 0.0475256313601047 0.0431555413315834 0.00158121344880608 0.00195459654164676 0.00267219492805069 0.00507395944278556 0.0128739540388322 0.0232931390972626 0.0332867791036833 0.295514966740027 0.0449362975166236 0.00127391582565157 0.00960118968484906 0.0462124388317632 0.0461209400507231 0.042055150185897 -0.000955187438721565 -0.00122785638662738 -0.00111230683474302 -0.000973265344500555 -0.00219195395979897 -0.000707309962994382 -0.000159930677446293
"VaccStatusfull_489-549" 0.00349717895120209 0.00555257144461234 0.00950074592147765 0.0189979773506322 0.0332888608073508 0.060610818290515 0.0740962011445224 0.00156444319755092 0.0018464304652846 0.00242366068862945 0.00427478651872906 0.0101768423991199 0.0225766896002013 0.0298061536218195 0.0449362975166236 0.398625412068786 0.00130357037996048 0.00972046774451731 0.0542626282642512 0.067877738796012 0.076882142131047 -0.00122075562364829 -0.00232784563106099 -0.00232184901248626 -0.0018606031587182 -0.00348131746882995 -0.00168215755354169 -0.000196282520770503
"VaccStatuspartial_001-061" 0.00390001891522735 0.00272673178056779 0.00215559372128752 0.00173387452749526 0.00158526485576302 0.0015138000967064 0.00161741517304688 0.0134080730272533 0.00735050415700727 0.00487928955811004 0.00365432473655375 0.0022747438523426 0.00163661061512415 0.00137860864302113 0.00127391582565157 0.00130357037996048 0.161628914149161 0.0112603487443893 0.00169146660367371 0.00169044934432011 0.00175750503003684 -0.000755749495512431 -0.00132336638231021 -0.00154910654390332 -0.00164221136917797 -0.00155627988577693 -0.00119672592911936 -0.000200484888793012
"VaccStatuspartial_062+" 0.00917647860911601 0.0104911079824979 0.0109976426731078 0.0106183503366887 0.010409860942289 0.010325147497429 0.010673297999915 0.0109986834936199 0.0087347879971646 0.00818186295327145 0.00875645795013345 0.0097179380617882 0.00992543137432769 0.00971621862806582 0.00960118968484906 0.00972046774451731 0.0112603487443893 0.123361508291846 0.010720966599445 0.0107918591039111 0.0109714265458251 -0.00144159648930916 -0.00262197596756023 -0.00356625239653347 -0.0045687374742447 -0.00326286028627755 -0.00355856532837183 0.000223914223485834
"VaccStatussecboost_001-061" 0.00485831525064833 0.00707850651342497 0.0115609731578808 0.0237126682988798 0.0405665918314436 0.0551061912817898 0.0574438017449149 0.00208963241120421 0.00247608786621535 0.00322809516237185 0.00531493073081199 0.0118999241604754 0.0230308898801318 0.0322907111373292 0.0462124388317632 0.0542626282642512 0.00169146660367371 0.010720966599445 0.302463453897984 0.0577921831207412 0.0581171012974025 -0.00260020668637729 -0.00509411615221833 -0.00625825443188981 -0.00680795424102374 -0.010289109992032 -0.0067116864153348 -0.000409622426585638
"VaccStatussecboost_062-122" 0.00476274382436838 0.00677793423609585 0.010575963854473 0.0190527203637387 0.0343293769241991 0.0641051475774046 0.0791016220167243 0.00206220590808482 0.00239454911264322 0.00307095486079975 0.00476415883230706 0.0100629456013985 0.0226044679525741 0.029218460529308 0.0461209400507231 0.067877738796012 0.00169044934432011 0.0107918591039111 0.0577921831207412 0.40643515773325 0.082729115311002 -0.00261407543826938 -0.00488400035444905 -0.0067603788625954 -0.00693740500570058 -0.0119750604476063 -0.00814902905173261 -0.000409031462721119
"VaccStatussecboost_123-183" 0.00480021375898587 0.00673849671056713 0.0103158056438123 0.0178195052036443 0.0297476629615509 0.0653675988899551 0.101086846747136 0.00212753967178004 0.00244844264476602 0.00309204929204474 0.0046269541608513 0.00916918216212727 0.02164117318988 0.0295481732519161 0.042055150185897 0.076882142131047 0.00175750503003684 0.0109714265458251 0.0581171012974025 0.082729115311002 1.11171731531279 -0.00260187612304769 -0.0049079662594631 -0.00804470786969264 -0.00871411887626222 -0.0122250097538747 -0.00777827404447641 -0.000793662705072983
"DCCI1" -0.00187226447191277 -0.00195248142827577 -0.00202491534553178 -0.00198521505470782 -0.00212298080486046 -0.00231007655438127 -0.00252123805959518 -0.000932594682483316 -0.00105374705852498 -0.00120043203807836 -0.001167019168189 -0.000829045790963705 -0.000882001766446281 -0.000722368231496698 -0.000955187438721565 -0.00122075562364829 -0.000755749495512431 -0.00144159648930916 -0.00260020668637729 -0.00261407543826938 -0.00260187612304769 0.0302841375926854 0.0134667872541509 0.0135445376620834 0.0135731258387179 0.0136586384093495 0.0135579609879374 0.000261137008044061
"DCCI2" -0.0032075361121199 -0.00323942020442357 -0.00338363671313187 -0.00321026026462563 -0.00351857956276958 -0.00379193484220506 -0.00479020423176364 -0.00158690104115227 -0.0017297690118935 -0.00195950157460484 -0.00181599592776078 -0.000907794570951697 -0.000883059111744055 -0.000929258480375888 -0.00122785638662738 -0.00232784563106099 -0.00132336638231021 -0.00262197596756023 -0.00509411615221833 -0.00488400035444905 -0.0049079662594631 0.0134667872541509 0.0288622833774858 0.0138495525606661 0.0139014453279413 0.0140486355121729 0.0138794599177946 0.000520680859741336
"DCCI3" -0.00407416086750828 -0.00413647529388579 -0.0043337607714498 -0.00396294733368393 -0.00428647475583423 -0.00485594218809856 -0.00627563182512341 -0.0018994541363568 -0.00210520553589476 -0.00239786375708889 -0.00222917778526592 -0.00107588887654036 -0.00100430974816421 -0.000860941184148878 -0.00111230683474302 -0.00232184901248626 -0.00154910654390332 -0.00356625239653347 -0.00625825443188981 -0.0067603788625954 -0.00804470786969264 0.0135445376620834 0.0138495525606661 0.0367739877415788 0.0141329612950789 0.0143191047950188 0.0141024775253018 0.000245870971133615
"DCCI4" -0.00442614317349077 -0.00438829601417704 -0.00472671993888147 -0.00417130576581384 -0.00472903667060826 -0.00509619082360482 -0.00708560956901507 -0.00211579061969362 -0.00235788840422404 -0.00271210588503371 -0.0022590239288161 -0.000804126387818467 -0.000784592186187984 -0.000671003099462736 -0.000973265344500555 -0.0018606031587182 -0.00164221136917797 -0.0045687374742447 -0.00680795424102374 -0.00693740500570058 -0.00871411887626222 0.0135731258387179 0.0139014453279413 0.0141329612950789 0.0392575243749181 0.0144347176755195 0.0142150568231098 -0.000210507534997905
"DCCI5" -0.00532169213376479 -0.00558780276708771 -0.0059549324949611 -0.00541347252404769 -0.0058401635894825 -0.00615495795448271 -0.00799822713458124 -0.00209021551814509 -0.00237660970682874 -0.00296037191736549 -0.00325456979349547 -0.00179386531733036 -0.00169151042840234 -0.0011935973109521 -0.00219195395979897 -0.00348131746882995 -0.00155627988577693 -0.00326286028627755 -0.010289109992032 -0.0119750604476063 -0.0122250097538747 0.0136586384093495 0.0140486355121729 0.0143191047950188 0.0144347176755195 0.0673990755318814 0.0144131302671585 -7.00046635757779e-05
"DCCI6+" -0.00413811261102123 -0.00416734830541439 -0.00454441138742885 -0.00402213740846653 -0.00486367156394878 -0.00526271803886691 -0.00719593494079843 -0.00150310008102055 -0.00170537687858859 -0.0020521137863406 -0.00176590620270161 -0.000217984093235895 -0.000327741544333338 4.27514661729799e-05 -0.000707309962994382 -0.00168215755354169 -0.00119672592911936 -0.00355856532837183 -0.0067116864153348 -0.00814902905173261 -0.00777827404447641 0.0135579609879374 0.0138794599177946 0.0141024775253018 0.0142150568231098 0.0144131302671585 0.0359468631162364 -6.70488960094296e-05
"SexM" -0.000216077103960647 -0.00019617527500387 -0.000174135395187642 -0.000247863687071582 -0.000163212076551927 -0.000114059686073242 0.00021089184932744 -0.000199479475891549 -0.000211438041866243 -0.000239992446798729 0.000149433078727947 4.99768713658632e-05 -6.27077139859768e-05 -0.000297825642325438 -0.000159930677446293 -0.000196282520770503 -0.000200484888793012 0.000223914223485834 -0.000409622426585638 -0.000409031462721119 -0.000793662705072983 0.000261137008044061 0.000520680859741336 0.000245870971133615 -0.000210507534997905 -7.00046635757779e-05 -6.70488960094296e-05 0.0119609257911722
