"InfPriorinf_ALPHA_306-366" "InfPriorinf_DELTA_062-122" "InfPriorinf_DELTA_184-244" "InfPriorinf_EARLY_367+" "InfPriorinf_NA_184-244" "InfPriorinf_NA_367+" "VaccStatusboost_001-061" "VaccStatusboost_062-122" "VaccStatusboost_123-183" "VaccStatusboost_184-244" "VaccStatusboost_245-305" "VaccStatusboost_306-366" "VaccStatusboost_367+" "VaccStatusfull_001-061" "VaccStatusfull_062-122" "VaccStatusfull_123-183" "VaccStatusfull_184-244" "VaccStatusfull_245-305" "VaccStatusfull_306-366" "VaccStatusfull_367+" "VaccStatuspartial_062+" "VaccStatussecboost_001-061" "VaccStatussecboost_062-122" "VaccStatussecboost_123-183" "AgeGr0-11" "AgeGr12-15" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"VaccStatusboost_245-305" 1.36417482304401e-05 -7.79858166020518e-06 0.000112188763011537 -2.01070473009498e-05 0.000123089276936947 3.57018652487295e-06 7.60303377139172e-05 0.000115256868613475 0.000222178777536695 0.000514621076842519 0.00133398028800707 0.000740402754113794 0.000657029497314443 2.91808824865481e-05 4.16620582790047e-05 3.36144631266788e-05 7.64268461579129e-05 0.000191839473641798 0.00034007234098404 0.000617804775361224 0.000134056299452644 0.000766237058806065 0.000735741195236802 0.000658137032420709 0.000110840498776804 7.65579756356486e-05 2.84173689879572e-05 3.63296256190227e-05 2.55416972192942e-05 -2.75256245034728e-05 -3.13864667671028e-05 -4.1477779758326e-05 -5.02739103479354e-05 -6.91651325426937e-05 -9.27618847272892e-05 -0.000113061616804065 -9.70572314283734e-05 4.61640391996789e-06
"VaccStatusboost_306-366" 1.20237938227597e-05 -1.12448285692068e-05 5.15991880218637e-05 -2.3001842499137e-05 3.31290086220091e-05 1.08684162769443e-05 7.57402931795094e-05 0.00012513492664777 0.000215888408767559 0.000437224372331495 0.000740402754113794 0.00279561772298054 0.00157780123237277 2.36543269302937e-05 3.57490827460277e-05 2.63293293035505e-05 6.93490001258429e-05 0.000185562641941649 0.000338953254398716 0.000709449477413561 0.000135318941337127 0.000983774782691867 0.00140519299906169 0.00163554088809294 0.000108702107280199 7.93138391384408e-05 3.25617277741258e-05 3.69189340563324e-05 2.73166705916865e-05 -2.73302727985347e-05 -3.24372392043904e-05 -4.31495736122984e-05 -5.5661267712699e-05 -7.28073221325776e-05 -0.000122046023450908 -0.00016394427704508 -0.000156351376453615 8.69349587942178e-06
"VaccStatusboost_367+" 1.1156957671819e-05 -1.38942857068063e-05 2.74233968480291e-05 -2.58447411335506e-05 -2.2376300221169e-06 1.94481035803584e-05 7.79449166428767e-05 0.000136500556447069 0.000220664718022473 0.000406433033970728 0.000657029497314443 0.00157780123237277 0.0123667876864634 1.83056142755105e-05 3.03041042404168e-05 1.96064665796861e-05 6.50687947638366e-05 0.000173623226281105 0.000339966145302389 0.000780508920553627 0.000135470856974214 0.00106822157179422 0.00223112465081293 0.00379993835794011 0.000103919753858895 7.99831449373872e-05 3.72140523364734e-05 3.64623317527488e-05 2.84780640322333e-05 -2.99399083342692e-05 -3.68856776612524e-05 -5.14884412408174e-05 -7.52648966743236e-05 -9.40272173540122e-05 -0.000159702418832439 -0.000206726173522504 -0.000196963332171615 1.34466678055302e-05
"VaccStatusfull_001-061" -2.16459892004689e-05 6.81487844216183e-05 1.32818679193662e-05 -2.10056310934333e-06 3.6843978840156e-06 -3.82401488179083e-06 0.000108044329174034 8.52566445326054e-05 5.83735436606474e-05 3.78158154711204e-05 2.91808824865481e-05 2.36543269302937e-05 1.83056142755105e-05 0.00140655899314389 0.000113103820313494 0.000125062269276161 0.000103576867461353 7.56894002787535e-05 6.28961991600482e-05 4.06611576976179e-05 9.28184080616041e-05 2.15317744983594e-05 1.76400410527033e-05 1.47334977676629e-05 7.74209593841537e-05 -4.08331361617757e-05 -3.83518868238807e-05 -1.49417940708339e-05 -1.6892368000709e-05 -7.32850928866123e-06 -9.43181923459344e-07 3.34241769359328e-06 9.09597312251893e-06 7.00043655346303e-06 7.57010876793624e-06 7.30891764449517e-06 1.73354320758397e-05 -3.9016313229269e-06
"VaccStatusfull_062-122" -3.8446921107572e-05 6.02522506481835e-05 2.79284736205774e-05 -2.44036337544042e-07 1.05501289045918e-05 -4.14567150564307e-06 0.00010507737665114 0.000105618019111622 8.92665158887353e-05 5.16559352312946e-05 4.16620582790047e-05 3.57490827460277e-05 3.03041042404168e-05 0.000113103820313494 0.00116157083255155 0.000116521421138354 0.000109072607968458 9.78253508929562e-05 7.49493123346656e-05 5.2709477901657e-05 0.000102117847902654 3.4034735561272e-05 2.98415806203408e-05 2.68884750042659e-05 9.33333173798142e-05 -2.43327114652898e-05 -3.80355012866636e-05 -1.23490188431989e-05 -1.28084555702428e-05 -8.57072715922141e-06 -2.35658776687445e-07 3.65894020273778e-06 9.77405201170987e-06 8.08640770294427e-06 8.29652716137618e-06 5.3942839260681e-06 1.70691121039193e-05 -4.5436272783466e-06
"VaccStatusfull_123-183" -3.06034077840997e-05 5.40238042670837e-05 3.03761304308292e-05 -2.48478454861694e-06 1.40761528276648e-05 -4.93902060083751e-06 0.000108922444337701 8.31664773660029e-05 6.41673353265446e-05 4.59642911477214e-05 3.36144631266788e-05 2.63293293035505e-05 1.96064665796861e-05 0.000125062269276161 0.000116521421138354 0.000483610619301778 0.000106287903924587 8.02321168301492e-05 7.09981392491992e-05 4.7384038170867e-05 9.86835836813276e-05 2.34667386858842e-05 1.83807968341078e-05 1.47727055514209e-05 9.20825870291805e-05 -2.45910687779504e-05 -5.78024848137069e-05 -1.73356963493086e-05 -1.3881305246873e-05 -4.17253049592906e-06 3.96749631378448e-06 7.62512993717174e-06 1.40420138071876e-05 1.27153043912604e-05 1.37668873735072e-05 1.35250193141903e-05 2.50716436859575e-05 -3.08704996862124e-06
"VaccStatusfull_184-244" 2.53472644960725e-05 1.85148403717742e-05 3.7004278583117e-05 -1.07143198064282e-05 1.19124024801137e-05 -9.23440167553246e-06 0.000117757960659062 0.000116522635176364 0.000102553036931031 8.57084649839459e-05 7.64268461579129e-05 6.93490001258429e-05 6.50687947638366e-05 0.000103576867461353 0.000109072607968458 0.000106287903924587 0.000398349349751148 0.000107079810506442 8.86941217145606e-05 7.65395860412336e-05 0.000103547899023237 6.92508516656002e-05 6.41886934624921e-05 6.13988496415096e-05 0.00011146923522336 4.79045543609655e-05 -4.3448648141657e-07 2.15363320738612e-05 1.28347863180724e-05 -1.4133784069726e-05 -8.75718288023814e-06 -2.00781293056882e-06 8.29706569971936e-06 7.29685901118518e-06 8.8890159660256e-06 6.83957485394243e-06 2.12426284796117e-05 -1.32475259960433e-06
"VaccStatusfull_245-305" 2.86409537364993e-05 -2.53169279208921e-05 5.93968795878402e-05 -1.84271048409009e-05 1.17905841941307e-05 -1.12839358498201e-05 9.86420809832468e-05 0.000139375178252846 0.000188420381822072 0.000179563818028532 0.000191839473641798 0.000185562641941649 0.000173623226281105 7.56894002787535e-05 9.78253508929562e-05 8.02321168301492e-05 0.000107079810506442 0.00119101569385732 0.000151293941300702 0.000174388076320349 0.000116270067827669 0.00019491431336054 0.000184218362930166 0.000174756856926034 0.000106045154774514 4.55401326504091e-05 4.71481802736963e-06 1.81584741367127e-05 1.21773627617716e-05 -1.99048683751387e-05 -1.84509103864693e-05 -1.96962619245801e-05 -1.09148677971032e-05 -1.39098653729994e-05 -2.77188720131486e-05 -4.28702185516591e-05 -2.37293023263078e-05 4.48394781986638e-06
"VaccStatusfull_306-366" 2.02919940573932e-05 -1.98632623189713e-05 8.36226787683159e-06 -1.83854777890571e-05 -7.43770058646437e-05 -3.7784037014598e-06 7.32920019875835e-05 9.51079189912664e-05 0.000216938990209269 0.00038121244654653 0.00034007234098404 0.000338953254398716 0.000339966145302389 6.28961991600482e-05 7.49493123346656e-05 7.09981392491992e-05 8.86941217145606e-05 0.000151293941300702 0.0025193845592102 0.000338257166196058 0.000129157833746323 0.000340433710742398 0.000343312690142423 0.000339516900891938 0.000103096414651208 2.30413051121378e-05 -2.06467222988632e-05 2.03864246712567e-06 -3.49810873703852e-06 -1.2131875097197e-05 -9.64112651471379e-06 -9.20571785585218e-06 -3.63930200301372e-07 -6.62911346155282e-07 -1.36115832529471e-05 -3.07931927483585e-05 -4.47330120387369e-05 6.01337701570639e-06
"VaccStatusfull_367+" 1.3461841892542e-05 -6.05478355889127e-06 -5.25968310429688e-05 -1.88146262310849e-05 -0.000117691053762085 -5.9408265093759e-06 6.43847801131989e-05 8.84682385296519e-05 0.000197298132869915 0.00047089324879544 0.000617804775361224 0.000709449477413561 0.000780508920553627 4.06611576976179e-05 5.2709477901657e-05 4.7384038170867e-05 7.65395860412336e-05 0.000174388076320349 0.000338257166196058 0.00188005931147745 0.000137215161305535 0.000669244128686426 0.000743416789153151 0.00079481230246818 0.000113688169693176 5.70987909325082e-05 3.08652324882596e-06 1.98516249840989e-05 1.07550616774797e-05 -1.76579014580137e-05 -1.65515913494329e-05 -1.53509530482895e-05 -1.01725750560109e-05 -1.35463902154003e-05 -2.80458712365427e-05 -4.44890760382982e-05 -4.09156609800685e-05 3.93987504702713e-06
