"(Intercept)" "Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "DCCI1" "DCCI2" "DCCI3" "DCCI4" "DCCI5" "DCCI6+" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunityfull_123-183" -0.000324524788188124 0.000305007577585759 0.000296403738964381 0.000275842028011518 0.000271433004284125 0.000277886628985717 0.000266254274950461 0.000260192777499003 0.000327033535403276 0.000324852176431297 0.00178692340429047 0.000310302054830866 0.000292507635619504 0.000298112247299471 0.000294586449626752 0.00027584809006251 0.00026820558418402 0.000300612205454703 0.000285272293935005 0.000287063504886712 0.000288560178670968 0.0002764012254324 0.000268228753495304 0.000326499110641167 0.000312398136033727 0.000324321408099048 0.000310048924738273 0.000299715718932933 0.000301897418353413 0.000300128818091249 0.000286112945476801 0.000279280856922416 0.000324421419524525 0.0003189986322033 0.000319446442158261 0.000313716528454108 0.000314018211951383 0.000310566318533286 0.000310009717267735 0.000304072132707946 0.000260668337619729 0.000263294960537988 -2.23733784807478e-06 -3.06977429796425e-07 4.01404466725516e-07 1.43395180076728e-06 2.83100511483905e-06 2.26837834299822e-06 -0.000160120103262967 -5.86684452014907e-05 -2.76757328619286e-05 -1.84822975212298e-05 2.69588784667044e-05 4.58500958784367e-05 5.47947585317778e-05 5.95276279289038e-05 6.18556624231721e-05 6.79323379252296e-05 7.05557297843519e-05 8.34292921712789e-05 -8.76999290764406e-06
"Immunityfull_184-244" -0.00033223144261377 0.000306876699745472 0.00031328641017606 0.000302031824831512 0.000296031063637314 0.000302820012530327 0.000294618570293392 0.000287383199386982 0.000309025424773784 0.000309741195197725 0.000310302054830866 0.00110948679596146 0.000309523671912625 0.000303497238645262 0.000307983783770799 0.000302071280237434 0.000290452799166681 0.00031650335150261 0.000308807829142945 0.000307478079603275 0.00031154089869937 0.000305101539225975 0.000295226530682849 0.000314411627475831 0.000313879094899847 0.000314587247232177 0.000317955767024326 0.000315367593479126 0.000313456674017169 0.000315528461364316 0.000313421461274428 0.000304162456923731 0.000313745281226049 0.00031406641090473 0.000314023179519438 0.000315864706934442 0.000315737664718076 0.000315138555679205 0.000315240189811646 0.000314082610644503 0.0002885208664775 0.000290691079224408 -1.82515845387961e-06 5.94480234835106e-07 2.26132387781885e-06 3.1428212081425e-06 3.2537535138458e-06 5.10859278473429e-06 3.28681036440849e-05 5.53379321322671e-05 4.66662215544979e-05 2.75147825428566e-05 -3.19003062081331e-06 5.39345449657964e-06 1.8870177720023e-05 2.95191141033844e-05 3.660985298472e-05 4.50370157757539e-05 4.8159480064868e-05 6.62531412606857e-05 -7.39648029553422e-06
"Immunityfull_245-305" -0.000300607801487408 0.00031173374820696 0.000318127505757293 0.00032933930646913 0.000330050907246384 0.000328817931538525 0.000333720738058989 0.000333146884360033 0.000298777019575594 0.000300731283908727 0.000292507635619504 0.000309523671912625 0.00235671929500493 0.000314740835978621 0.000318449427697512 0.000329311504436307 0.000327007712302429 0.000315837385382469 0.000324375429117705 0.000323242885412837 0.000323743312518338 0.000329939194418167 0.000330368539927678 0.000300566258053331 0.000308882361636798 0.000302579789657378 0.000310423921017428 0.000317210624696271 0.000315304063154935 0.000316889688671258 0.0003260419085259 0.000326156514774663 0.00030132712368987 0.000304702331261803 0.000303850822726161 0.000307698755163767 0.000307359352567741 0.000309471782323793 0.00031004883309032 0.000313886564018387 0.000334949798310968 0.000334293802873265 -8.96513738709779e-06 -9.53772080506909e-06 -1.32683402414521e-05 -1.44063931840006e-05 -9.30707279312703e-06 -1.43859544303079e-05 4.02649886939785e-05 4.28742302465242e-05 4.24629167843011e-05 2.60412288705988e-05 -1.36160484203468e-05 -2.6060296892097e-05 -3.61202108947436e-05 -3.11603341841302e-05 -3.23989305213664e-05 -3.97999604003095e-05 -3.94856629106653e-05 -1.26996860656434e-05 1.17380175225376e-05
"Immunityfull_306-366" -0.000293081281807565 0.000314036771100066 0.000308687875976707 0.000325044862561612 0.000334157786398146 0.000323194287720107 0.000335550468605303 0.000349173239409091 0.00030267549811878 0.000303017626655356 0.000298112247299471 0.000303497238645262 0.000314740835978621 0.00533229452122449 0.000315819740895519 0.000327868440871187 0.000348043972751283 0.000307318774942503 0.000319079406821267 0.000319425023311989 0.000313894463388026 0.000323707031098086 0.000340670796927923 0.000301240840766004 0.000305883198759171 0.00030126295341348 0.000303418647051561 0.000308832595199513 0.000309904610792133 0.000308138207399312 0.000315113026105725 0.000327379755423469 0.000301913596253762 0.000302843767203559 0.000302033360205112 0.000303015244433531 0.000302568121338456 0.000304354176094159 0.000304860410865052 0.000307774899872895 0.00034345395005429 0.000335855117240992 -1.04950234495906e-05 -1.54859132286453e-05 -1.72361612080224e-05 -1.56600960206262e-05 -1.47922348843105e-05 -1.80917114591546e-05 -1.05810278175983e-05 -4.79254504269684e-06 9.73265119801118e-06 4.22279400507391e-06 -7.71679053059912e-06 -1.5429347825866e-05 -1.65422228188966e-05 -1.85458846532207e-05 -1.7302751910947e-05 -3.43335300349714e-05 -4.98578419662747e-05 -9.00555841303175e-05 2.01788139681562e-05
"Immunityfull_367-427" -0.000298425751166719 0.000312232258831967 0.000315909626524602 0.000328352087552043 0.000331116780134611 0.000327501155990333 0.00033430341802082 0.000337158960800385 0.000300089246784834 0.000301555623608361 0.000294586449626752 0.000307983783770799 0.000318449427697512 0.000315819740895519 0.00606676769615106 0.000328636446608509 0.000331828734601849 0.000313474010849349 0.000322777926537084 0.000322018942148906 0.000320985771126257 0.000328118302615636 0.000333171197322108 0.000300817910090542 0.000308139408656186 0.000302392698951144 0.000308279750602613 0.000314420092542637 0.000313264678812889 0.000314050857231036 0.000322165004651262 0.000324909747995663 0.000301579979549338 0.000303866458799007 0.000303241531857472 0.000306326163903391 0.000305874516193677 0.000307654050508594 0.00030807282519849 0.000311600289852225 0.00033813324557074 0.000337885907127166 -1.06036129006906e-05 -1.04231331440571e-05 -1.57553982064557e-05 -1.64269982962573e-05 -2.166391749982e-05 -1.95413785155052e-05 2.42251732780804e-05 4.21019958687306e-05 3.48702405926329e-05 1.71159560097227e-05 -8.78759961254978e-06 -1.66600993968254e-05 -2.48729499443602e-05 -2.47823849626233e-05 -3.40279180451771e-05 -2.84166665902266e-05 -3.74949281137481e-05 -3.08152017892642e-05 8.28235192359855e-06
"Immunityfull_428-488" -0.00027294112311451 0.000316601481037256 0.000321231414871555 0.000358252319143243 0.000370760772711453 0.000356044923501731 0.000378889415588137 0.000392652800894244 0.000288995214661115 0.000291912887577446 0.00027584809006251 0.000302071280237434 0.000329311504436307 0.000327868440871187 0.000328636446608509 0.014878572725655 0.000373698106818612 0.000313185070471265 0.000339121252049779 0.000338265889972576 0.000333146945461254 0.000354294065758876 0.00037324718455029 0.000286502445394257 0.00030310417865948 0.000290019708375048 0.00030038047824275 0.000315031394026682 0.00031418032233556 0.000314316298500692 0.000332311700880749 0.00034669448964685 0.000288051802260123 0.000292897563476593 0.000291352896217441 0.000297229297281529 0.000296526478803331 0.000300538494582188 0.000301397475470689 0.000309370855815911 0.000392759257050564 0.000390582512980244 -1.67352557058822e-05 -2.06840747572782e-05 -1.84961852011575e-05 -2.30962757574666e-05 -2.4546558321083e-05 -3.8439180037975e-05 4.45796224713466e-05 5.18210512499489e-05 5.18489320349612e-05 3.3282972903381e-05 -2.34123027075662e-05 -3.48414595342567e-05 -5.48803857033337e-05 -6.51827257678849e-05 -9.50405903379226e-05 -0.000111798658416981 -0.000138669863667905 -0.000120573900496446 1.35566653168948e-05
"Immunityfull_489-549" -0.000264768491214571 0.000324044022636381 0.000309039997890109 0.000366238471669942 0.00039932806083613 0.000359091880780099 0.000404364428408812 0.000456095322337455 0.000285717704489666 0.000286744205105947 0.00026820558418402 0.000290452799166681 0.000327007712302429 0.000348043972751283 0.000331828734601849 0.000373698106818612 0.0525188786133156 0.000303039473986745 0.000342269328064158 0.000342857370573698 0.000324198384700359 0.000359196428265257 0.000420063052071945 0.00027891908854531 0.000295786091152602 0.000279715586336282 0.000288101097715314 0.000305339246659174 0.000308504530774574 0.000303878733471808 0.000326184219235862 0.000368562096534454 0.000281489077327513 0.000283992145130743 0.00028232701956744 0.000286241749447743 0.000285280329255623 0.000291044667022041 0.000292049833287787 0.000301457890523932 0.000434259305027527 0.000412463682828558 -1.40389993213974e-05 -3.52484576784012e-05 -4.81952072422268e-05 -9.18783580894781e-06 -1.97149986669659e-05 -1.81363658636505e-07 2.59932100356005e-05 3.68843341783787e-05 2.95763353226977e-05 1.44724154718315e-05 -1.37790717448828e-05 -3.25679981035978e-05 -4.46005086021228e-05 -6.46600151971876e-05 -5.33668009963729e-05 -0.000112126959045917 -0.000179630173345328 -0.000350365963744339 3.71055015440985e-05
"Immunityhybridboost_001-061" -0.00032207577573874 0.000309041386391246 0.000318806646528541 0.000312965533087396 0.000307271043819666 0.000313037688169803 0.000307211757710382 0.00030092699512439 0.000303254500701226 0.00030497788719431 0.000300612205454703 0.00031650335150261 0.000315837385382469 0.000307318774942503 0.000313474010849349 0.000313185070471265 0.000303039473986745 0.00661188549096695 0.000318435086735906 0.000316185099814574 0.000320247820183785 0.0003171502964441 0.000308552152811851 0.00031005070887466 0.000314333537809827 0.000311260722030563 0.000319625250960303 0.000320700041984388 0.000317793780796432 0.000320658039696489 0.000323650257005483 0.000314613557863363 0.00030972743186145 0.000311870988816227 0.000311571594316728 0.00031567278581418 0.000315465735418178 0.000316053648617134 0.000316463020798032 0.000317630171624818 0.000302395150435697 0.000303375977219238 -1.43718477161855e-05 -1.77388340362807e-05 -1.53573572712942e-05 -1.43678719860038e-05 -1.51518516708571e-05 -1.30167578356087e-05 6.40787613965616e-05 7.73929488944743e-05 7.21330135799745e-05 4.27686232661247e-05 -1.12269382871223e-05 -9.4600350657635e-06 2.35759897185556e-08 1.0233580527205e-05 2.78312464591826e-05 4.05806705954921e-05 4.1129506082294e-05 5.34504067366442e-05 -5.66310872934171e-06
"Immunityhybridboost_062-122" -0.000288668180759104 0.00031415609467103 0.000321494644948606 0.000338934358537669 0.000341831861637049 0.000337197265804082 0.000345984168507111 0.000349503094410433 0.000294569075539256 0.000296943505406617 0.000285272293935005 0.000308807829142945 0.000324375429117705 0.000319079406821267 0.000322777926537084 0.000339121252049779 0.000342269328064158 0.000318435086735906 0.00592920770782848 0.000330717502218003 0.000329478731283055 0.000340087368858839 0.000345633441652645 0.000296486236868071 0.000308725482644693 0.000299179030693401 0.000309940231099521 0.00031936407991899 0.00031738147374814 0.000319014649826769 0.000331003355505466 0.000335543032677212 0.000297549145455028 0.000301497200827401 0.000300609071246887 0.000306037047383597 0.000305758184583879 0.000308355082962372 0.000309104260881527 0.000314720144948573 0.000351692129740771 0.000348458116597111 -1.8783537520055e-05 -2.42614825973971e-05 -2.63255995300845e-05 -3.59052625667775e-05 -3.64278006349603e-05 -5.63596165403095e-05 5.48944503474082e-05 6.19806815468382e-05 5.91633246463632e-05 3.60142769890134e-05 -2.1285985672898e-05 -3.20834594618699e-05 -3.77352161837208e-05 -5.14713592377051e-05 -3.76639865664396e-05 -3.82546011666617e-05 -3.5694853869646e-05 -3.96052566953024e-05 6.31202206118736e-06
"Immunityhybridboost_123-183" -0.000286175513018398 0.000314462854306313 0.000319419798986807 0.000337714429133739 0.00034190330517609 0.000336200186621788 0.000345929152220533 0.000350519631273609 0.000295849833090092 0.000297900823554139 0.000287063504886712 0.000307478079603275 0.000323242885412837 0.000319425023311989 0.000322018942148906 0.000338265889972576 0.000342857370573698 0.000316185099814574 0.000330717502218003 0.0107503671866782 0.000327438451020098 0.000338450636770626 0.000346409007090357 0.000296943599078753 0.000308137309649973 0.000299088948901435 0.000308372850298717 0.000317633544285421 0.000316104122241669 0.000316799508499846 0.000328910074922639 0.000334498048233968 0.000298068460102056 0.000301468965438902 0.000300697162689484 0.00030524062704119 0.000304858965785907 0.000307419571488887 0.00030814878958799 0.000313625750685015 0.000352642268929036 0.000348898683838579 -1.74310950762087e-05 -2.64816666521675e-05 -3.1817221309165e-05 -3.57968512770227e-05 -4.87559434097274e-05 -6.21804583995349e-05 4.24491364913144e-05 5.08261805009766e-05 4.33795148740685e-05 2.48059145156542e-05 -1.67569355082298e-05 -3.14656019664225e-05 -3.98424816265696e-05 -3.93184305149595e-05 -3.76619302826591e-05 -4.53856743106291e-05 -4.08348089087999e-05 -3.98043920473866e-05 9.62767347343028e-06
