"Immunity_other" "Immunitybnew_001-061" "Immunitybnew_062-122" "Immunitybnew_123-183" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityboost_428-488" "Immunityboost_489-549" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridboost_367-427" "Immunityhybridboost_428-488" "Immunityhybridboost_489-549" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecbnew_001-061" "Immunitysecbnew_062-122" "Immunitysecbnew_123-183" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "Immunitysecboost_123-183" "Immunitysecboost_184-244" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "SexM"
"Immunityboost_367-427" 0.00035683102379484 0.000335462368394056 0.000556865371107454 0.0005379343033118 0.000218787409996587 0.000223256963035593 0.000216141709184823 0.000210747126105532 0.000225339473103769 0.000299265892466754 0.00152490009790508 0.000542692975271924 0.000525575689562645 0.000237334422862046 0.000233833588030879 0.000214581118926417 0.000209568712568958 0.000218076486036051 0.000230645568216078 0.000233104411921192 0.00026115682480269 0.000374270419699129 0.00024310938474781 0.000293127933204496 0.000259016324913169 0.000225975079733272 0.00024127705345114 0.000369421571706285 0.000549850160614609 0.000541483832719963 0.000519017750868061 0.000236543791073238 0.000266539522981317 0.000234551380244891 0.000219655597819085 0.000230197543141198 0.000284629530636057 0.000332856927187584 0.000343172455305268 0.000406825377091874 0.000267525028062527 0.000234349475268703 0.000221551965696528 0.000230953897748976 0.00030012565793235 0.000474147692003784 0.000478238977113714 0.000236275456433285 0.000326948802750284 0.000558409390041332 0.000539844124193293 0.000231773103070276 0.0003427348785524 0.000543322375754292 0.000548425814552226 -1.7188114165329e-05 -1.74838953733178e-05 -1.73850324325645e-05 -1.4037320421829e-05 -1.4996029452431e-05 6.16026408053367e-06
"Immunityboost_428-488" 0.000380650089686076 0.000304945440716598 0.000553429903991899 0.00075236592110202 0.000211585826091037 0.000213259824141519 0.000209640774869151 0.0002065042830004 0.000220902661749246 0.000271338718545445 0.000542692975271924 0.00314895889020093 0.00079325637974095 0.000230169276948994 0.000225914626652684 0.000208896687399223 0.000203522745638663 0.000209943828338684 0.000217948354431568 0.000223841729464447 0.000259723743633028 0.000341566885267003 0.000235959471278895 0.000280457355731508 0.00026256127763711 0.000222945870699351 0.000231985760887139 0.000342463669399016 0.000602476080905115 0.000736491022799565 0.000808342831286508 0.000230218512246003 0.000251368845214729 0.000229859458504409 0.000212948494445528 0.00021848749180866 0.000264397047463723 0.000342602946549471 0.000364277835566733 0.000410504313040744 0.000252730955097116 0.000229798135155437 0.000215463076216648 0.000218454807949435 0.000277697326537823 0.000509162843374642 0.000535243621911716 0.000249563636586101 0.00029719403280327 0.000558110457643332 0.000757565124278528 0.000229313607592119 0.000314834340193183 0.00058648506243433 0.000730148172144053 -2.02829543505691e-05 -2.28021136629005e-05 -2.96250591703906e-05 -4.16869593011559e-05 -4.67713486316042e-05 9.64470633226058e-06
"Immunityboost_489-549" 0.000389576065776841 0.000298512932475041 0.000532368184658844 0.000822866894662108 0.000213064480091592 0.000215626855945474 0.000212518896683981 0.000207527559832843 0.000219028973653112 0.000266602053345372 0.000525575689562645 0.00079325637974095 0.0723381842885425 0.000230790092428049 0.000227716828328916 0.000210981638360197 0.00020526281947083 0.000211289843408989 0.00021913012298598 0.000224795593232122 0.000262260015904265 0.000335634497197398 0.000236026312438584 0.000277944141792901 0.000266564470121593 0.000226398762389181 0.000232829302778511 0.000337940259262199 0.000606570302481818 0.000804893517761702 0.000943666672600651 0.000235600261356035 0.000254365265217423 0.000235190156012738 0.000218588677414815 0.000222287855158665 0.000264355720866076 0.000348481136460199 0.000373204009665503 0.00041727867946181 0.000255200009884696 0.000234579817388814 0.000220913466529108 0.00022280488450573 0.00027752963736318 0.000520380405632553 0.000546550644691505 0.000261036715726619 0.000286378068555573 0.000531978529266922 0.000822834804648945 0.00022230275940011 0.000300161140382983 0.000577971292632892 0.000777363171742903 -1.81711193454145e-05 -1.98180960154629e-05 -2.30630918998885e-05 -1.47250424828102e-05 -9.99546113929036e-06 2.71094230473131e-05
"Immunityfull_001-061" 0.000259617131885732 0.000257149180195034 0.000235663009927488 0.0002308695460297 0.00028616453643039 0.000278471309125703 0.000282718333515165 0.000277529026590399 0.000274828389714045 0.000262237176061439 0.000237334422862046 0.000230169276948994 0.000230790092428049 0.250319201314507 0.000386733999788007 0.000393846064655832 0.000279999619336653 0.000278210510015081 0.000276174036025969 0.000275632642681876 0.00027108148975706 0.000255176098611282 0.000272386726397352 0.000267172736626379 0.000272513319677609 0.000276126107522279 0.000273349136816592 0.000255704216640831 0.000235943862628959 0.000231370902091427 0.000231565342335332 0.00027757310518077 0.000275951871294941 0.000279374811164145 0.000278371386140733 0.000275876746480403 0.000268723181795909 0.000263143674525175 0.000261215568382311 0.000252138242964566 0.000271779039425357 0.000276553884768044 0.000278024321977379 0.000275988930862872 0.000267334965836191 0.00024491222559028 0.000246004971961264 0.000274954129919697 0.000255796905380024 0.000233233758336907 0.000228589857009891 0.000271290529473315 0.000255194883432807 0.000232855753974004 0.000228539098194202 -5.63003071095572e-06 -7.38271885879393e-06 9.17795258098963e-06 6.21483174486773e-06 1.5854051426318e-05 -9.50807743114867e-07
"Immunityfull_062-122" 0.000256824321242446 0.000246951281265103 0.000232238334235677 0.000227286345205442 0.000303255591602187 0.000294247076766286 0.000315930410209266 0.000292930926182954 0.000263420464579271 0.00025033311352906 0.000233833588030879 0.000225914626652684 0.000227716828328916 0.000386733999788007 0.250570789510342 0.000596029206044556 0.000300566807494237 0.000277124681494422 0.000285831737829278 0.000280446656829466 0.000258440526285721 0.000248876455165512 0.000267252591649507 0.000268508362870796 0.000285891430449369 0.000280599403014035 0.000261744976181527 0.000247061612362116 0.000233516108890461 0.000228086656086928 0.000228809646308504 0.000278249709544123 0.000287583089495063 0.000303930701031257 0.000283645041427432 0.000272470206690353 0.000265420940887632 0.000263057191273344 0.000252817686929747 0.000247115408751742 0.000277398493156049 0.000296839699262122 0.000281196267673002 0.000274379033103592 0.000257359568855364 0.000242689334598787 0.000252621129254395 0.000286573047396559 0.000243665778883263 0.000228167932613497 0.000223517898912308 0.000258650392965255 0.000242085579118221 0.000227330375044742 0.000223259448960127 -9.54198420991263e-06 4.3581140990809e-07 1.16672389558742e-05 1.6136972203981e-05 2.5386833902321e-05 4.39698624635504e-07
"Immunityfull_123-183" 0.000248175750950791 0.000225839434643572 0.000213212850943407 0.000210371175866215 0.000311721823383861 0.000309090970129973 0.000362822707804604 0.000311364562779546 0.000257789939399979 0.00023227627109104 0.000214581118926417 0.000208896687399223 0.000210981638360197 0.000393846064655832 0.000596029206044556 0.0460973978645747 0.000323986852325499 0.000278773400737716 0.000298628273737929 0.000285673842624687 0.000247678806149793 0.000230252103955555 0.000263764100714912 0.000268908873660151 0.000302205736949221 0.000286986807740489 0.000252925228087837 0.000227698923508082 0.000214734388847977 0.000210934780210183 0.00021196690069414 0.000276167887743155 0.000293928187469051 0.000328720880250097 0.00029037487572901 0.000269651929389251 0.000259295603408014 0.000257092913838116 0.000239868352302143 0.000229523415608453 0.00028340862588734 0.000320664598411704 0.000286269374155624 0.000272091830130214 0.000243040897416507 0.00022360306578329 0.000247742294016379 0.000299512364919555 0.000222727368280521 0.000209397716613861 0.000206908907536667 0.000252078408078009 0.000223173282403885 0.000208769634722478 0.000206479317483733 -7.8283312469712e-06 -2.03042662007779e-06 6.79717660346655e-06 1.53950456185118e-05 2.13316392725333e-05 -7.08255536421111e-07
"Immunityfull_184-244" 0.000247572309347364 0.00022389740029403 0.000208196518002225 0.000205303772983248 0.000289289856160301 0.000299745053334503 0.000323548253148221 0.000315247490136186 0.000263151993958955 0.000231882248633848 0.000209568712568958 0.000203522745638663 0.00020526281947083 0.000279999619336653 0.000300566807494237 0.000323986852325499 0.00539602674360209 0.000282415278988219 0.000292536458518555 0.000291587016256527 0.000250244378398754 0.000228359659756279 0.00026636439505325 0.000263378305651975 0.000296052050065193 0.000292337834887314 0.000256625046820814 0.000225647689463361 0.000209459912427769 0.000205525637098265 0.000206208672125817 0.000273267473229199 0.000271810986998823 0.000314238681979763 0.000294160111350408 0.000273494270006477 0.000258806185797003 0.000258703313332701 0.000240023110020859 0.000227271342974276 0.000269806366837968 0.000313878292538945 0.000290091051101875 0.000275928051888655 0.000243158406564006 0.000217780965638368 0.000237602784635679 0.000301675051234757 0.000220660722527756 0.000204111235652762 0.000201613603387619 0.000257003143440533 0.000221256792048882 0.00020361495627296 0.000201155579863459 -7.86729215344081e-06 -2.24616618421344e-06 6.04463296436334e-06 1.5414606035509e-05 2.25755607184052e-05 -4.01864092810767e-06
"Immunityfull_245-305" 0.000254597290009384 0.000242100274039523 0.000216077854315666 0.000211652466547817 0.000282987052114153 0.000280698656961154 0.000279311493235005 0.000282375401139856 0.000281883569813259 0.000252468125993339 0.000218076486036051 0.000209943828338684 0.000211289843408989 0.000278210510015081 0.000277124681494422 0.000278773400737716 0.000282415278988219 0.0026122251321659 0.000276392399735914 0.000281679415219674 0.000273704151766827 0.000241507451064362 0.000274639340565528 0.000262843870611276 0.000271956609075797 0.000282416328721674 0.000277336505539495 0.00024262536422657 0.000217092119222189 0.000211914027309651 0.000212148944677088 0.000279920416384132 0.000268740641260482 0.00027731452362284 0.000285837068422526 0.000280897064311271 0.000266416653321741 0.000260586028636155 0.000257546208279568 0.000239206823329888 0.000267466856320007 0.000276951640730459 0.000285686936149029 0.000280252820397336 0.000264803827936996 0.000227681578264406 0.000231355209967466 0.000278952304065582 0.000239272052172901 0.000211921145819816 0.000207890592057587 0.000275032481294725 0.000240855749173759 0.000211465451472575 0.000207565440226688 -8.95648044803969e-06 -2.15388267827936e-06 5.47818831820521e-06 1.57331455407894e-05 2.11191624128288e-05 -5.06167778927516e-06
"Immunityfull_306-366" 0.000256618073247386 0.000264440266721606 0.000227682615901477 0.000219242302551104 0.00028017290428259 0.000287347317811952 0.000304321071197008 0.000287664443199537 0.000267505227185647 0.000265500924264628 0.000230645568216078 0.000217948354431568 0.00021913012298598 0.000276174036025969 0.000285831737829278 0.000298628273737929 0.000292536458518555 0.000276392399735914 0.00237466458669522 0.000278388065027823 0.00026596473085689 0.000258690313884746 0.000271044679490647 0.000270686565768286 0.000281148357821579 0.000278386761368113 0.00026884112045086 0.000257536030994204 0.00022814711767297 0.000220036297574687 0.000219999147097622 0.000274093541037334 0.000279391458632992 0.000291525200586467 0.000280802660301332 0.000276266592589164 0.000271155362248126 0.000262365925527326 0.000256505984618388 0.000252098036650217 0.000278937248473055 0.000290637158882576 0.000278933698367986 0.000277518822244755 0.000264943667917527 0.000242137709678647 0.00024460322941588 0.000281623892023064 0.000262034426306638 0.000223377411972055 0.00021529882044734 0.000264243525026733 0.000256240617077389 0.000223098244119115 0.000215202378591532 -7.00999017355823e-06 -1.6950472831821e-07 7.40343095834361e-06 1.86393740364829e-05 2.35611419476078e-05 -2.66061517413287e-06
"Immunityfull_367-427" 0.000257760291208729 0.000242237041584698 0.0002321140129944 0.000224878968408281 0.000281328570989648 0.000283199792473529 0.00028464249193719 0.000291570854024658 0.000271436059080888 0.000248874404908715 0.000233104411921192 0.000223841729464447 0.000224795593232122 0.000275632642681876 0.000280446656829466 0.000285673842624687 0.000291587016256527 0.000281679415219674 0.000278388065027823 0.00106124088773047 0.000263310016035535 0.000246581690423343 0.000270213248827024 0.000263964642259157 0.000279129428756903 0.000284266395885273 0.000267366197933992 0.000245295323485095 0.000232324084372739 0.000225931486665511 0.000225478529040345 0.000275825517140322 0.000267821522496165 0.000287239263097644 0.000286501518657589 0.000276070834550553 0.000265073791283548 0.000264965535418249 0.000255305039625937 0.000245859574346139 0.000266226738049085 0.000287194963905582 0.000284940137172338 0.000277029676379093 0.000259219564248625 0.000238619486758175 0.000245695618017067 0.000285769970415825 0.000238824237032088 0.000228071524585768 0.00022120079665615 0.00026545305918437 0.000239814241826669 0.000226427243645272 0.000221394824264475 -7.87107779503581e-06 -1.48542770665944e-06 6.24164543551232e-06 1.75211271469333e-05 2.14054698526686e-05 -8.73033563638002e-07
