"Immunity_other" "Immunitybnew_001-061" "Immunitybnew_062-122" "Immunitybnew_123-183" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityboost_428-488" "Immunityboost_489-549" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridboost_367-427" "Immunityhybridboost_428-488" "Immunityhybridboost_489-549" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecbnew_001-061" "Immunitysecbnew_062-122" "Immunitysecbnew_123-183" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "Immunitysecboost_123-183" "Immunitysecboost_184-244" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunityboost_367-427" 0.000561509291676086 0.000604529248711002 0.000732684999539662 0.000651702841313526 0.000381364083519152 0.000425996701490348 0.000370552858465917 0.000338308155616226 0.000357184146714284 0.000442298111087156 0.00158681203543163 0.000682191717988228 0.000635721040726248 0.000428731415674393 0.000357621953136292 0.000344366949520881 0.000369678093979773 0.000427118834035757 0.000399160556982671 0.000406944832776271 0.000501236572666696 0.000434775323474516 0.000558460396518276 0.000495312500247878 0.00039426837225876 0.000395577987792947 0.00053034545929087 0.000709644132672654 0.0006741409831992 0.000634993626061605 0.000419539675287149 0.000492702074944437 0.000415895217854245 0.000371191067543143 0.000383067527023911 0.000455493155216178 0.000536193821711862 0.000545366071263842 0.000572183724817647 0.000490724948927103 0.000414634127569445 0.00038095916978483 0.000412087530338735 0.000518518864438359 0.000673368116549746 0.000622329962138069 0.000371519015101099 0.000596222225336782 0.000736842493893351 0.000653400627432306 0.000394667804024054 0.000586995556321447 0.000715824358203421 0.000665370518577037 -1.56180496466083e-05 -3.9076651024147e-05 -6.40729522025437e-06 8.64722304292583e-07
"Immunityboost_428-488" 0.00064405409469902 0.000475309567438613 0.000896267476711919 0.00106982025668575 0.00033776985162453 0.000373876801063784 0.000356272677580364 0.000314833580992075 0.000324829794494573 0.000370377492734024 0.000682191717988228 0.00208564378747609 0.00108858898951653 0.000402541683846706 0.000341382336374298 0.000318249985319257 0.000331451812858126 0.000365400631956386 0.000381467324037661 0.000389168979371391 0.000438981767435448 0.000384128872874794 0.000538051359647621 0.000568572815147571 0.000402142953021573 0.000353532584629801 0.000488938958462393 0.000838623431164904 0.00103660340762472 0.00108720791521573 0.000392400697599711 0.000454852774750944 0.000422849912245128 0.000353145086238955 0.000341039977972775 0.000411723798996373 0.000544307558193818 0.00065208818143117 0.000623414697402914 0.000452012242209141 0.000420731605585939 0.00036329543817087 0.000359712668093384 0.00049256457575861 0.000779008382445659 0.000861119529467509 0.000382425308049339 0.000461621053774527 0.000886408362538623 0.00107077130427003 0.000345392018164564 0.000495308509579879 0.000892999258692898 0.00105402366737905 -1.99301592057614e-05 -4.38089557078723e-05 -1.21160259898324e-05 6.52321827377449e-07
"Immunityboost_489-549" 0.000661157196300802 0.000458572659454958 0.000844379222661215 0.0012837573768678 0.00033104716881929 0.000359108979161201 0.000343232240617099 0.000300835614246024 0.000316310832825694 0.00036469938029062 0.000635721040726248 0.00108858898951653 0.0162478228064908 0.000389147705727997 0.000333401166359705 0.000308127633793521 0.000320532621073334 0.000348517467986679 0.000362784082059488 0.000386101677439315 0.000427251687492918 0.000379678626434215 0.000516180274719173 0.000580426977101025 0.000404693008198631 0.000344058027606731 0.000474882914746854 0.000838838243042705 0.00113275581272214 0.00154342247066553 0.000390782207796965 0.000443572267480854 0.000414645120893319 0.000343907621810216 0.000327959816862039 0.000393999470977767 0.000534701756732099 0.000659978169959984 0.000651600703705956 0.000443103236717601 0.000413042772364054 0.000355994039049544 0.000346148648780738 0.00047087953493741 0.000797701711834383 0.000885672574773764 0.000398133594294974 0.000446397691412887 0.000827024555886124 0.00128651195265065 0.000341782841533189 0.000474297090770787 0.00089191951295873 0.00121663398857808 -3.91090561260162e-05 -8.47194431567201e-05 -7.07509207915071e-05 -2.71240815839325e-06
"Immunityfull_062-122" 0.000434609353944545 0.000437738216426524 0.000415021540084211 0.00039518435318027 0.000466738409700697 0.000473547665805271 0.000519249879539711 0.000510771257958464 0.000474549611582126 0.000447104462621773 0.000428731415674393 0.000402541683846706 0.000389147705727997 0.333810491821953 0.000509056041633638 0.00049682600636038 0.00046715901247154 0.000473755541772079 0.000479105703912648 0.00045900747324626 0.000448931804082504 0.000455642772860743 0.000444295250012936 0.000458260570440778 0.000472562582746284 0.000463414837032436 0.000439085655403681 0.000417078888823501 0.000400744215264298 0.000389179376479681 0.000458995254331956 0.000457285968441135 0.000481780529399347 0.000479016184578677 0.000471992692497342 0.000453461160139975 0.000447402450028265 0.000433852073712745 0.000433995334756925 0.000457033272705691 0.000479887234044822 0.000469894778339189 0.000464430054326132 0.000440986350923625 0.000420233289768499 0.000427203986412057 0.000482902476453913 0.000438411746804828 0.000415791816193481 0.000395188491528082 0.000457678507265409 0.000436922331388614 0.000412899424833564 0.00039737734703147 -3.34477817584582e-06 -1.09143290512903e-05 9.03367215862282e-06 5.61442109353366e-06
"Immunityfull_123-183" 0.000401221519121447 0.000379811530166279 0.000345072560865849 0.000339904863938789 0.000482401623678992 0.000495361461040336 0.000634850417598416 0.000622691045802732 0.000503548005443967 0.000419920789058185 0.000357621953136292 0.000341382336374298 0.000333401166359705 0.000509056041633638 0.0775366534407631 0.000576345890937146 0.000483012522858933 0.00050199209504208 0.000522214906966583 0.000462098589542277 0.000421805392033262 0.000446638049076358 0.000414824286153463 0.000471269654048434 0.000507372561618465 0.000471009190810325 0.000398588358740624 0.000351189856556498 0.000341706767004229 0.000334242722178104 0.00045996318931995 0.000453198559704815 0.000534063079056521 0.000523350093866883 0.000497056320219387 0.000443336275735977 0.000429098849443296 0.000403474475075117 0.000395519861985596 0.00045364788108285 0.000528530620069868 0.000495315930863735 0.000473786987968249 0.000407418807849683 0.000360443118226023 0.000402417609032932 0.000539255702803545 0.000381046495425038 0.000344601149280071 0.000338846417176196 0.00045257928043377 0.000382671793080782 0.000343810568260781 0.00033754739305178 7.06282088928998e-06 1.53134709807512e-06 3.68761363449251e-05 7.18138707481712e-06
"Immunityfull_184-244" 0.000394145281698701 0.000375232780736805 0.000324983695119643 0.0003160166830706 0.000490162555537298 0.000491125043730492 0.000573485960495882 0.000600715158247589 0.000518520798128398 0.000428439049410445 0.000344366949520881 0.000318249985319257 0.000308127633793521 0.00049682600636038 0.000576345890937146 0.011441015131738 0.00049636677283797 0.000495308647008627 0.00052290997915504 0.000472108084528374 0.000425449670424121 0.000454877940874856 0.000407016829642902 0.000460484534921955 0.000508829282917521 0.00048403879917649 0.000399260561090058 0.000333759766748906 0.000318630685990315 0.000309206178637712 0.000467853653815 0.000444818402374365 0.000522882577703803 0.000525011156572384 0.000507328540748594 0.000448051734895201 0.000426335664656189 0.000399173355609912 0.000389749166003372 0.000444370132229062 0.000520442078219784 0.000502865747221772 0.000483067220892931 0.00040952001239109 0.000345504980354933 0.000377153497579993 0.000538471194704694 0.000377079956682005 0.000324685245751424 0.000314786343547768 0.00046646818378349 0.000378742422031257 0.000323802656824111 0.00031349705985249 1.12239734445784e-05 4.5112936313483e-06 4.53468246057093e-05 6.33711610824539e-06
"Immunityfull_245-305" 0.00040941420313371 0.000415985415016983 0.000341527612681144 0.000328039826521483 0.000494874200938003 0.000475991207448029 0.000480071992530293 0.000493588183870112 0.000506703274129754 0.000477215081202417 0.000369678093979773 0.000331451812858126 0.000320532621073334 0.00046715901247154 0.000483012522858933 0.00049636677283797 0.00775147821724115 0.000475628829328116 0.000483471986090245 0.00048813171757308 0.000451602906664466 0.000476886312358339 0.000425031672673826 0.000433377219517518 0.0004828347087105 0.000494587625052906 0.000440175364798105 0.000353002198990723 0.000331473741040832 0.000321410004223806 0.000480077052825742 0.000450609895238298 0.000468713387230949 0.000495096452343851 0.000496628340839677 0.000471621039037327 0.000432907730918765 0.000418158166124047 0.000410561551919922 0.000448995662115019 0.000468665561770667 0.000494054716333901 0.000486147666268792 0.000446222065059959 0.000366955137055875 0.000366008233444477 0.000485666818649578 0.000419382929182583 0.000341935419724676 0.000327325267601014 0.000494180351172566 0.000420597770403057 0.000341608986482133 0.000326717154772626 8.36922765028968e-06 -1.99675237569781e-06 3.96918480429298e-05 1.62405639796163e-06
"Immunityfull_306-366" 0.000426423992711483 0.000469448570459187 0.000384620333565916 0.000359018829109024 0.000475213400202844 0.000479458764532964 0.000508586839446444 0.000509588682551475 0.000477307671846343 0.000469760410841025 0.000427118834035757 0.000365400631956386 0.000348517467986679 0.000473755541772079 0.00050199209504208 0.000495308647008627 0.000475628829328116 0.00768285217128193 0.000480574229188431 0.00046809367164193 0.000462403784879352 0.000468917119014877 0.000450117200108747 0.000447452504974472 0.000473403219459715 0.00047363005339775 0.000455558566656762 0.000400140287145229 0.000364871351829892 0.00034962780419659 0.000467534864394005 0.000466831458708639 0.000477697217045009 0.000482387400420551 0.000481295362687177 0.000469479841361081 0.000450687688022361 0.000428186015238286 0.00043460836584647 0.000465790100813867 0.00047542966031914 0.000474541250067544 0.000478001340160857 0.000453976109747433 0.000412614026627291 0.000400406294670086 0.000479571442273014 0.000471857743826184 0.000385624329369525 0.000358065830510487 0.000468542742170005 0.000457625813184887 0.000384931624639828 0.000358223206017433 1.04338303007475e-05 1.15686409441408e-06 4.67251573139249e-05 2.03807722191468e-06
"Immunityfull_367-427" 0.000422892190775287 0.000409639195820136 0.000389951134655905 0.000375970898356255 0.000476384981605254 0.000477637038445669 0.000521151117456761 0.000539264791480738 0.000495629511483065 0.000439654107379976 0.000399160556982671 0.000381467324037661 0.000362784082059488 0.000479105703912648 0.000522214906966583 0.00052290997915504 0.000483471986090245 0.000480574229188431 0.00353843114319015 0.000469602486024642 0.000439680223824922 0.000456348148061397 0.000430585330878379 0.000461150338953301 0.000489415075723505 0.000476016005436406 0.000425741902088404 0.000393677312519073 0.000381350892423427 0.000364170070072224 0.000464743259720658 0.000451419524127191 0.000496583396013926 0.000499195867614526 0.000489886231095437 0.000455888713162931 0.000445010595974648 0.000429271214202322 0.000421285444439861 0.000449968356790149 0.000494749138472963 0.000486683320433647 0.000475334583446042 0.000434470247713364 0.000398785353955708 0.000416474912331019 0.000505439404362716 0.000409803168224945 0.000389463921557152 0.000374410081921346 0.00046255578160392 0.000411637405758802 0.000385266765590184 0.000374052637214305 1.29955138545853e-05 7.34081367433521e-06 5.58165969388711e-05 6.89357748399344e-06
"Immunityfull_428-488" 0.000432383367613336 0.000438786894099361 0.000390605122387981 0.000389752073935044 0.00048082467416377 0.00046686843244348 0.000461005754200974 0.000467947420515326 0.000485575656578622 0.000477573717855309 0.000406944832776271 0.000389168979371391 0.000386101677439315 0.00045900747324626 0.000462098589542277 0.000472108084528374 0.00048813171757308 0.00046809367164193 0.000469602486024642 0.0026264269038215 0.000458278669022812 0.000472511968721105 0.000440985083748611 0.000440955672227022 0.000470963528660811 0.000481980047885329 0.00045416353460717 0.000399143851908714 0.000389787885526807 0.000386775538866722 0.000473980592838364 0.000456019050388607 0.000458853912528932 0.000477798795142642 0.000480955035571943 0.000471737703751489 0.000445504937839781 0.000439833407220049 0.000434491567339467 0.00045425057926692 0.000458672416135913 0.000479575042742426 0.000476588717847053 0.000457791144329912 0.000408681776630245 0.000405723377228878 0.000468868025402233 0.000440783267885566 0.000390009760624783 0.000388853715134105 0.0004828719777009 0.000440783436752939 0.000390754210568219 0.000386506499205013 2.12676705485307e-06 -8.10401470910461e-06 3.59918702789019e-05 1.00376685992993e-05
