"Immunity_other" "Immunitybnew_001-061" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityboost_428-488" "Immunityboost_489-549" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridboost_367-427" "Immunityhybridboost_428-488" "Immunityhybridboost_489-549" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecbnew_001-061" "Immunitysecbnew_062-122" "Immunitysecbnew_123-183" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "Immunitysecboost_123-183" "Immunitysecboost_184-244" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "SexM"
"Immunityboost_489-549" 0.000287147713522336 0.000256653452881245 0.000137337791102196 0.00013998167026588 0.000141884259602334 0.000145202934020538 0.000166086143684594 0.000240403747332472 0.000618764012692361 0.000945086414402286 0.143923107695193 0.000144434261113785 0.000134053279437363 0.000108681083131329 0.000120836614150323 0.000136326813209416 0.000140023784278997 0.000164149527511367 0.000269147337074333 0.000369856620981797 0.000160231671307905 0.000175935056687151 0.000177322716212902 0.000162724068067776 0.000185564545458602 0.000317183288104804 0.000679238245123391 0.000946459792637398 0.00109465877063295 0.000158248829014339 0.000166532730279536 0.000151003223445571 0.00014294967042968 0.000153798195601464 0.000195817308573138 0.000318568546722921 0.000385700223921674 0.000412799990110358 0.000164941659212297 0.00013791587874393 0.000120467776733825 0.000118592150311333 0.000168482444678518 0.000462695827662411 0.000514946093111659 0.00017981493388003 0.000237943627224105 0.000508275510156895 0.000934097507587216 0.000160255146594861 0.00023029140532013 0.000566515672249246 0.000891970962934014 0.000189460269055232 0.000109506541676448 8.98623674617018e-05 5.79973179197418e-05 5.0592850641453e-05 4.36450119234589e-05 1.69245674207593e-05 2.44337842643903e-05
"Immunityfull_001-061" 0.000167883198854066 0.000171316030541077 0.000227936045078761 0.000200255798231072 0.000203025330491778 0.000195899682724578 0.000187360524760873 0.000170886344078371 0.00015047792124665 0.000146087633910091 0.000144434261113785 0.334020408542919 0.000589469612029057 0.000392572566910296 0.000195422490800535 0.000195414751300814 0.00019804357969124 0.000191494767830897 0.000178123875393582 0.00016331346494942 0.000194632747366227 0.000190885655949255 0.000194466475025917 0.000192295359571959 0.000184080818797333 0.000164899655588257 0.000149008488083184 0.000145960682159532 0.0001456953490506 0.000217383611014062 0.000209235796995693 0.000208046718570814 0.0001959351562695 0.000190452288016158 0.000184633829454188 0.000178314108179611 0.000170978362243013 0.000162541778735123 0.00018830590613706 0.000186625662539422 0.000178639165379694 0.00017280613289656 0.000164793319198937 0.000144392412642791 0.000145343882325452 0.000173864946849885 0.000170352769192628 0.000149833369071077 0.00014605619660814 0.000188033161944826 0.000171198206389912 0.000149729445352438 0.000146414422858662 0.000105486834814392 -2.034471731765e-05 -2.36618613176693e-05 -3.22857956882392e-05 -1.32835328882758e-05 -1.35890802026672e-05 -5.06710983832475e-06 -3.93165796782579e-06
"Immunityfull_062-122" 0.000161839012277115 0.000156834619393786 0.000220067763091745 0.000201411365010491 0.000216103528938223 0.000194520613749482 0.000171627528697951 0.000157178733776329 0.000141009706453585 0.000135699911158077 0.000134053279437363 0.000589469612029057 0.167349808406994 0.000372827165874786 0.000202375985168593 0.000190010861411416 0.000199758606270159 0.00018221416695452 0.000162884142159793 0.000153725469082273 0.000187984346927911 0.000187895506209129 0.000198510290242478 0.000187413703587711 0.000168233087337358 0.000152467111366984 0.000139583202655254 0.000135843887896801 0.000135047989616214 0.000205786580727037 0.000213269425371928 0.000218003104166161 0.000193603562611013 0.000179672015834103 0.00017844339113825 0.000168844609482478 0.00015775150202045 0.000152795420656015 0.00018683726789107 0.000200759636736375 0.000179790167555861 0.0001688775729729 0.000153405225877733 0.000138001532977754 0.000145423222688126 0.000179433447896834 0.000154481688481316 0.000140571869849132 0.00013536731632107 0.00017417994872772 0.00015500619380967 0.00013979226695975 0.000135763331895253 8.66964818104372e-05 -3.54344437740201e-05 -3.16923425910699e-05 -3.22515763759653e-05 -1.71813099177624e-05 -1.4765237459501e-05 -6.70514586918032e-06 1.15134628823235e-06
"Immunityfull_123-183" 0.000149025361561724 0.000126353815358666 0.000210970732273437 0.000204292358061767 0.000237735305398886 0.00019450230673847 0.000148554574532002 0.000127016127191535 0.000113107404799399 0.000109495269237011 0.000108681083131329 0.000392572566910296 0.000372827165874786 0.016716409272 0.000217827636327788 0.000180643858963553 0.000205967182495607 0.000166690275500574 0.000136024766934317 0.000126266758985477 0.000178188044681702 0.000182257843790577 0.000206435764475492 0.000180585658545224 0.000143614702475937 0.000122324578457278 0.000112063909940056 0.000109752172310356 0.000109746012697833 0.000184655815590133 0.000197554168512429 0.000235983109310329 0.00019093653928967 0.000162937545115173 0.000166608443286949 0.000149033708728541 0.000131570984727356 0.000125902955832132 0.000183489497191861 0.000227168725359135 0.00018272735023911 0.000163790787470219 0.000132566863689453 0.000115280219120588 0.000137104716139995 0.000191753907962731 0.000123344522986386 0.000111621480790791 0.000109203769388945 0.000153587588348234 0.000124152492154291 0.00011110325002578 0.000109325596952202 5.32031940929221e-05 -4.636267320245e-05 -2.92641652345932e-05 -3.0717087335843e-05 -1.41499278153111e-05 -1.23925230134281e-05 -4.84044676148526e-06 2.97912821216109e-06
"Immunityfull_184-244" 0.000160717494412465 0.000141530614290484 0.000213623261688821 0.000215324776164162 0.000229838574599361 0.000215131836443144 0.00017255577876336 0.000144272030385454 0.000126117427381505 0.000122130892424267 0.000120836614150323 0.000195422490800535 0.000202375985168593 0.000217827636327788 0.00240570260306493 0.000200645682039451 0.00021601673661295 0.000191508152471464 0.000154944714317417 0.000140980830025174 0.000196254826516224 0.000195217193108424 0.000213063656624407 0.000202917732552222 0.000166110582566 0.000138011951942727 0.000124852579334484 0.000122243374503288 0.000122069937714378 0.000193609067560932 0.000190796950147976 0.000229117517846664 0.000210960851245187 0.000184537497040975 0.000181172069965428 0.000169689906531323 0.00014899060521229 0.000140835475357357 0.000178380566770879 0.00021923819894572 0.000194640429327749 0.000176020337008309 0.000144274543179544 0.000119436100585973 0.000133562132286107 0.00019648305697888 0.000139273765082066 0.000124653138500345 0.000122052733313693 0.00017925467705496 0.000141153734079966 0.000124284532690454 0.000122285749793919 9.98330883702752e-05 -3.74026238848462e-05 -3.72150155033037e-05 -3.41702696321726e-05 -1.23937787645198e-05 -1.28162220423427e-05 -5.21271042442185e-06 -3.2039124554095e-07
"Immunityfull_245-305" 0.000173104974442935 0.000170396865358472 0.000214409642895569 0.000211256221939466 0.000207550132801701 0.000212418063588249 0.000207131779229563 0.000172515952147269 0.000143653811856252 0.000138381494454403 0.000136326813209416 0.000195414751300814 0.000190010861411416 0.000180643858963553 0.000200645682039451 0.00159782410904477 0.000206439510926689 0.000211658679232704 0.000186289242270623 0.000160303991119501 0.00020761471717599 0.000201945815642999 0.000202501742874671 0.000210178864985369 0.000200612443554334 0.000163282757947943 0.00014190592494897 0.0001383031470684 0.000137787438503111 0.000206813614579038 0.000194961584323359 0.000201732662375968 0.000213331040819189 0.000208209689444118 0.000191473826782422 0.000189484462210921 0.000175659462275771 0.00016034090449284 0.000184381601582754 0.000186727792316953 0.00019242781517617 0.000184115070350407 0.000170926499725431 0.000132660090641979 0.000132553891619713 0.000179868856799278 0.000170147722210518 0.000142302627757999 0.000138292891778571 0.000209267606976363 0.000173354573785709 0.000142326110141009 0.000138822858265611 0.000130704599647659 -1.7040017816183e-05 -2.93238811027342e-05 -3.66942678335218e-05 -1.00125770162714e-05 -1.01228395274741e-05 -4.328700760187e-06 -4.23205778329855e-06
"Immunityfull_306-366" 0.000172724804823383 0.000189465365807888 0.000215920480299739 0.000219167721509979 0.000229044649853649 0.000213505771421112 0.000193113443944041 0.000185275146902841 0.000152697969598806 0.000143586896294494 0.000140023784278997 0.00019804357969124 0.000199758606270159 0.000205967182495607 0.00021601673661295 0.000206439510926689 0.00128465665639059 0.000200840044642668 0.000190001762991261 0.000173881325496757 0.000204956806009983 0.000206700790277414 0.000215014223867231 0.000205366879642765 0.000191363140911093 0.000176839665788954 0.00014990721247614 0.000143412646684759 0.000141694258357907 0.000200816981056716 0.000203297706815802 0.000224681420815483 0.00021143969584881 0.000201579685359811 0.000202379758763989 0.000185758274088514 0.000179816359467926 0.000171340474975373 0.000192913479627373 0.000210595780363451 0.000189408498697437 0.000181106621730347 0.000167032171990147 0.000145912666812998 0.000144799857231788 0.000188989445297596 0.000187861083344919 0.000152835355756927 0.000142873097682205 0.000193489485321634 0.00018571847171362 0.000152453214751275 0.00014378818171015 0.00013059854151822 -2.73635199235813e-05 -4.78484566716086e-05 -4.78046851095714e-05 -1.28979181806375e-05 -1.07384793992727e-05 -4.69500906840541e-06 -4.6630403095616e-06
"Immunityfull_367-427" 0.000180299405541131 0.000184514007029599 0.000209324305692183 0.000205800778421175 0.000197684751992492 0.000209854751867466 0.00021107158562875 0.000190583234616288 0.000175838897665912 0.000168321498730962 0.000164149527511367 0.000191494767830897 0.00018221416695452 0.000166690275500574 0.000191508152471464 0.000211658679232704 0.000200840044642668 0.000948359429410912 0.000196249202458731 0.000186080116931603 0.000207647322607122 0.000202544836198722 0.00019956469465657 0.000210236239352538 0.000206455740731502 0.000186170011701113 0.0001739077492123 0.000168044836352619 0.000164638761130989 0.000206429381133468 0.000192999426634834 0.000193412556458597 0.000210106969318718 0.000209014967630397 0.000197455944071175 0.000200686227425573 0.00019051338621483 0.000185266482940221 0.000183674142655028 0.000177334223588546 0.00018704375099466 0.000180705955378774 0.000177109908493557 0.000154619379124379 0.000150674907121511 0.000174845710884816 0.000185603337931139 0.000177703320855588 0.000167689573943643 0.000212961216811276 0.000189746751505539 0.000176398168377913 0.000169332829417516 0.000145227217381683 1.75920506195469e-05 -1.88141221710974e-05 -2.71033828247882e-05 3.60344163555378e-06 -1.81171873041277e-06 -8.83021430947272e-07 -5.52580820617068e-06
"Immunityfull_428-488" 0.000201698967276766 0.000290220567782096 0.000179720985644968 0.000183525307698089 0.000174041353721577 0.000173275870888457 0.000226290753016525 0.0002717927617495 0.00026085059897561 0.00026570465928522 0.000269147337074333 0.000178123875393582 0.000162884142159793 0.000136024766934317 0.000154944714317417 0.000186289242270623 0.000190001762991261 0.000196249202458731 0.00198417616167415 0.00025540927349802 0.000197758855667853 0.000204021384261436 0.000183450398091953 0.000183945350533627 0.000238136508032786 0.000270017326868871 0.000261378699592363 0.000265464369064655 0.000270110222988515 0.000193100424279173 0.000204080175201998 0.000165703903443874 0.000175614231997462 0.000215368791211695 0.000224553598141059 0.000219701401038966 0.000259183531695551 0.000253898665447148 0.000205998414604041 0.000149408761721109 0.000152272195636234 0.00017421422243924 0.000215316542087397 0.000238257621301732 0.00020683320323308 0.000148705090091797 0.000293635434876073 0.000255608790345667 0.00026756438841563 0.000212032823884085 0.000282876889864699 0.000260615107763358 0.000266224444708866 0.000158661718825384 4.19633788445166e-05 9.98473457770346e-06 -7.0355229252349e-06 1.68275745748145e-05 8.94663340021619e-06 4.57248823194675e-06 -4.40984265392945e-06
"Immunityfull_489-549" 0.000226561630135702 0.000309976729573891 0.000158635164261957 0.000164642263594186 0.000161299707147975 0.00015747205095015 0.00018125025394135 0.000328075430110204 0.000433982087210462 0.000394949869607336 0.000369856620981797 0.00016331346494942 0.000153725469082273 0.000126266758985477 0.000140980830025174 0.000160303991119501 0.000173881325496757 0.000186080116931603 0.00025540927349802 0.00461111385636636 0.000175290457081725 0.000196977471236073 0.000180076507077 0.000167459089228628 0.000201211151756519 0.000368894376141648 0.00042727988187753 0.000394008855448462 0.00036462338199268 0.00016888238648909 0.000192311694178417 0.000161844391410425 0.00015784603244482 0.000178554562012824 0.000245422312084217 0.000264040731901777 0.000292439559020283 0.000393389866615559 0.000193109877038239 0.000147651915058381 0.000134774113959089 0.000143903807356665 0.000220050994024513 0.000363361437740773 0.000335414515363993 0.000143714762384049 0.00030216171477645 0.000464980099382874 0.000386035247400571 0.000173328674475591 0.000304487162695887 0.000446304321033837 0.000396783065410994 0.000151277771648915 2.41764692220965e-05 -4.76613496809474e-06 -1.76567309931745e-05 8.13539662227346e-06 4.56891557627723e-06 2.12250424089202e-06 -1.22137551753365e-06
"Immunityhybridboost_001-061" 0.000177033781210003 0.000190825441971102 0.000209807152669625 0.000208617680636656 0.000207142003734041 0.000212179535449706 0.000211707664526473 0.000193732694676538 0.000163140042045333 0.000160617612473735 0.000160231671307905 0.000194632747366227 0.000187984346927911 0.000178188044681702 0.000196254826516224 0.00020761471717599 0.000204956806009983 0.000207647322607122 0.000197758855667853 0.000175290457081725 0.0174515935472691 0.000206061669444528 0.000206820185170466 0.000211652316415643 0.000209063795208791 0.00018578658138523 0.000162251586083673 0.000160698157369006 0.000160145841052852 0.000207653802531273 0.000199358397976301 0.000203803747865334 0.00020943057642936 0.000209309398514769 0.000199290740035695 0.000193194904794375 0.000189366927009937 0.00017623304716194 0.000191667383635745 0.000188166213406281 0.000185934002746819 0.000180613820204095 0.000173484473943584 0.000145755269201973 0.000141030078482562 0.000178209751857325 0.000195870729993827 0.000164358474806274 0.000158752850346989 0.000212829585527955 0.000196535425689333 0.00016477402598662 0.000159607734965312 0.000160085769494213 5.09136442478678e-05 1.54344362313494e-05 1.43262077253162e-06 1.75209207575614e-05 8.27634884943145e-06 4.82816413393425e-06 7.81188136283047e-06
