"Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunityfull_367-427" 0.000314642708606712 0.000185122490102542 0.00036503906088636 0.000708243742318825 0.000229720044355688 0.000345695505592792 0.000192456466452246 0.000231721165875289 0.00039926296606587 0.000491307262273593 0.0461918905105928 0.000216903424592923 0.000394995566863919 0.000700476085788128 0.00022430834715449 0.000292936387094069 0.000292186860516048 0.000270189622684835 0.000412162190586349 0.00044761601723159 0.000287393309029357 0.000506711188527136 0.000173906513267769 0.000231703363006727 0.000336231011050449 0.000318117509055526 0.000478154392871268 0.000194314159027339 8.4264425168275e-05 4.79282652284442e-05 -3.48631195825174e-06 -8.83647509435112e-06 -5.74813666724989e-06 -8.13732594216153e-06 -3.15390394003992e-05 -2.85233880289449e-05 -2.14241369253819e-05 8.51920364067941e-06 3.22162585546781e-05 1.88711609864503e-05 -4.28931661905956e-05 -0.000280948040007535 4.70265053024051e-05
"Immunityhybridboost_001-061" 0.000363662976409504 0.000418652515838846 0.000339276314798856 0.000243978398543093 0.000397090035025968 0.000372569853512401 0.000421478597109233 0.000412990320174175 0.000343835425174167 0.000285847888624667 0.000216903424592923 0.048034902475123 0.000337966234512158 0.000249138938776829 0.000405157135464076 0.000388521107555952 0.000398421732677995 0.00041542267002118 0.00035774939844079 0.000312898148010212 0.00038541562896054 0.000333285231876286 0.00042455701897444 0.000404878970666984 0.000368281568708853 0.000372309924309736 0.000329981441738261 0.000405310184795964 0.000216135283474199 0.000115527319351777 5.23982263240457e-05 0.000117142740471086 9.19383384328582e-05 6.1489291254185e-05 -0.000113761275063584 -0.000118646134683584 -9.52594486257845e-05 -1.91446160452413e-05 2.136001806072e-05 4.50294252385084e-05 1.01042780620052e-05 0.000163981574718907 -1.22030522204301e-05
"Immunityhybridboost_062-122" 0.000341457836006054 0.000330069361029148 0.000379390380785141 0.00042889251635774 0.000329015442281316 0.000362134255070003 0.000313259137006184 0.000335772504281015 0.00038028819886539 0.000366960477973583 0.000394995566863919 0.000337966234512158 0.0348656870398643 0.000422889808242718 0.000326545908195243 0.000357757614576063 0.000347062290697801 0.000337177779832854 0.000374955908850162 0.000360505978378597 0.000333634703619061 0.000374578468446688 0.000303011970548701 0.000328337835380709 0.000347687724381917 0.000339627582760218 0.000378295795960677 0.00022295999614321 8.04966284969775e-05 3.054525880761e-05 4.80012530586664e-06 4.53049780910691e-05 3.26832236307137e-05 2.12494399027888e-05 -6.76960104369956e-05 -7.59857477265032e-05 -8.56519800396094e-05 -9.81778832507661e-05 -9.10561805871365e-05 -0.000125350186139651 -0.000197208604318963 -9.11888504223121e-05 -1.54208529643808e-05
"Immunityhybridboost_123-183" 0.000321311233963139 0.000222744699414939 0.000390394327541903 0.000767164320319599 0.000245311253721848 0.000378524190680465 0.000218678395335374 0.000257898032902136 0.000437135818565766 0.000455627927608564 0.000700476085788128 0.000249138938776829 0.000422889808242718 0.167422537838552 0.000241093027401791 0.000325118154527972 0.000334979553642877 0.000290166883518972 0.000445439386450789 0.00042294276391297 0.000303345898847145 0.000565633027160898 0.000187782338531475 0.000245680120405897 0.000351909224639153 0.000326153419524152 0.000504064304869614 0.000177769924884583 5.70988672964353e-05 1.89321781856959e-05 -1.23072499704761e-06 2.62567149916006e-05 1.93532887585468e-05 1.05992977334629e-05 -4.73537536566753e-05 -5.07379353749265e-05 -4.46375308516855e-05 -3.0387355199213e-05 -2.15480028327022e-05 -0.000109901177132507 -0.000231281547247676 -0.000213539470861856 -4.11406811701369e-06
"Immunityhybridfull_001-061" 0.000373107832344744 0.000407422414407144 0.000330500714604903 0.000235873128485675 0.000405846606960605 0.00037818815490462 0.000444872731664295 0.000411581796878864 0.000334055940788124 0.000294517527246149 0.00022430834715449 0.000405157135464076 0.000326545908195243 0.000241093027401791 0.250414251037688 0.000382923028317102 0.000400384668784635 0.000419098192773286 0.000348177874684791 0.000320482172120682 0.000404120364659243 0.00034968844105168 0.0004342192648965 0.000410070193659778 0.000373409713356861 0.000380132805433619 0.000335818330515587 0.000397068928820938 -0.000226086065547387 -0.000257329492560804 -0.000195017387332468 -0.000101631447392038 -9.51780639034995e-05 -4.09460757576061e-05 -5.45220845152569e-05 -1.79029276398608e-05 3.01296794910404e-05 0.000102732259732062 0.000153752576152105 0.000167007644585672 0.000103368549246875 0.000229723195612943 1.02260534747228e-05
"Immunityhybridfull_062-122" 0.000359593989336515 0.000375344017413501 0.000349034145306301 0.000320400468610795 0.000376519880753511 0.000395957941311858 0.000398411729526123 0.000397395452761771 0.000360296854878701 0.000308703893523601 0.000292936387094069 0.000388521107555952 0.000357757614576063 0.000325118154527972 0.000382923028317102 0.0361073473466732 0.000398578548491164 0.000416924227870553 0.000381647456110048 0.000330389557562148 0.000403458854922865 0.000403252446329505 0.000382578378420222 0.00039172385540398 0.000380236031253098 0.000374479124815664 0.000383874815320047 0.000509245582610266 0.000195505745387278 3.34877696910678e-05 3.48029258129458e-05 0.000131270221601443 0.000100076169747006 4.61618064612398e-05 -6.24079283948701e-05 2.70588906634839e-06 4.91420440214863e-05 0.000120336104586986 0.00014341868474678 0.000160748430890811 0.00011919081540205 0.000267378088794011 -1.61262763305108e-06
"Immunityhybridfull_123-183" 0.000367977618689844 0.000385568662435578 0.000332175208863587 0.000326178443923833 0.000389881188671445 0.000412387061887123 0.000439943645564578 0.000413530659641001 0.00035845985638308 0.000292699667813835 0.000292186860516048 0.000398421732677995 0.000347062290697801 0.000334979553642877 0.000400384668784635 0.000398578548491164 0.100425781154092 0.000442421323298005 0.00039217011022468 0.000323563741873623 0.000425616416845094 0.000446886214177616 0.000413454486326779 0.000407234739358735 0.000393521934319372 0.000388116936209765 0.000400898180609019 0.000533350280631483 -5.41857421701217e-06 -0.000255018077408775 -0.000230090796513141 -4.06057831226607e-05 -4.81870855614959e-06 2.66540690586325e-06 -8.31031799799634e-05 -3.77803351097434e-05 1.21983687767993e-05 0.000111494624828925 0.000175533279598706 0.000195981486508963 0.000158050913090737 0.000310663021550921 2.68640148674591e-06
"Immunityhybridfull_184-244" 0.000372702623688252 0.000386377741395952 0.000315282630112792 0.000275107941691207 0.000402362472851977 0.000429496742828081 0.000458001250699619 0.000439629626547873 0.000345031217995338 0.000280371856058146 0.000270189622684835 0.00041542267002118 0.000337177779832854 0.000290166883518972 0.000419098192773286 0.000416924227870553 0.000442421323298005 0.0531240036612263 0.000403770096924039 0.000324218212732064 0.000466773261309673 0.000465022073784435 0.000438752779436664 0.000439734458803609 0.000415830364107512 0.000410281718397545 0.000418625197933455 0.000741814259641684 0.000447043084670046 0.000183272536895735 3.1001518703941e-05 0.000150727046324188 0.000104355260926347 6.9718578987507e-05 -0.000124284700682752 -4.81644036762707e-05 7.6640729369018e-05 0.000282840303910903 0.000399846308844897 0.000445960422199972 0.000414395040863747 0.0005286972565749 1.47146968183405e-05
"Immunityhybridfull_245-305" 0.000349751903667036 0.000333603236058538 0.000352386609023287 0.000439963242842526 0.000340574256275683 0.00039839144050545 0.000352686084115469 0.000369363459939733 0.000384828458528562 0.000346008012015939 0.000412162190586349 0.00035774939844079 0.000374955908850162 0.000445439386450789 0.000348177874684791 0.000381647456110048 0.00039217011022468 0.000403770096924039 0.143273637022402 0.000360187424092919 0.000389156795806643 0.000466204531012496 0.00033945472279874 0.000363267481310901 0.000384160686351387 0.000371246268537864 0.000433390061810775 0.000388570470084567 0.000231981276071789 0.00016733347480272 7.41516392681441e-05 9.76255377664442e-05 8.80497767188558e-05 5.99401821597467e-05 -0.00013759647097341 -0.000163437479483924 -0.00013719999800899 -9.90261812651715e-07 7.59686231927865e-05 7.35470561138411e-05 1.21465111128479e-05 0.000121106966558195 3.62576985907243e-05
"Immunityhybridfull_306-366" 0.000346283070208338 0.000305043966261186 0.000360852899831894 0.000426458722392602 0.000320592193258455 0.000336218741133628 0.000301366276168816 0.000316436717976086 0.000363469623738861 0.000409844588895767 0.00044761601723159 0.000312898148010212 0.000360505978378597 0.00042294276391297 0.000320482172120682 0.000330389557562148 0.000323563741873623 0.000324218212732064 0.000360187424092919 0.200395452206815 0.000321271678006061 0.000353757795505291 0.000302442497437619 0.00031707872330431 0.000339943872934546 0.000341646862826474 0.000366183051059578 0.000264379611590956 0.000128913000485999 7.93639881826349e-05 -4.07917021856314e-06 8.93840860250968e-06 1.44159417829778e-05 9.48683052627772e-06 -5.68408668615308e-05 -6.47708832396089e-05 -5.12239060671387e-05 2.71375150639974e-05 7.35462071265816e-05 2.44560126096139e-05 -7.61516663064179e-05 -0.000117241948706621 6.61413715606771e-05
