"Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityboost_428-488" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridboost_367-427" "Immunityhybridboost_428-488" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "Immunitysecboost_123-183" "Immunitysecboost_184-244" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunityfull_123-183" 0.000381469917274053 0.00022776948783459 0.000252827689811758 0.00037073547200063 0.000393762840051183 0.000254192034222122 0.000182253192551168 0.000197800942771441 0.000223392807254158 0.000443848534359357 0.0562526626870197 0.000529539061628524 0.000346016294043489 0.000341225377816227 0.000314423985763849 0.000240816246749221 0.000219615839677313 0.000191804026520452 0.000204194235597054 0.000259055466117401 0.000277077097292729 0.000229268289685159 0.000204134624958292 0.000223114093202013 0.000233573974150435 0.000283468196834175 0.000391940753485393 0.000365578700285239 0.000300849314222377 0.000272091785540135 0.000272314241001372 0.0002518404214672 0.000245069824056217 0.000365198817513779 0.000534690758314951 0.000627300150861275 0.000637938278536252 0.000625301366745009 0.000661144362848907 0.000687751696413047 0.00064160637281138 0.000183310047751399 0.000187816529019506 0.000205152654231707 0.000225756120610156 -0.000669658728877065 -0.000478833291016419 -0.000215219827928642 -0.000111394778893016 -8.8273923953053e-05 -6.67167381837716e-05 -2.48774206525971e-05 1.91810148183007e-05 3.51404317331178e-05 4.90529571701936e-05 6.00949005806223e-05 7.40770544855831e-05 9.60321226962574e-05 0.000117246151774561 0.000149058644686451 1.24636319700285e-05
"Immunityfull_184-244" 0.000321458371539179 0.000263849514948928 0.000266741657604527 0.000340831078640245 0.000371859616767525 0.000309141027592597 0.000229660701635415 0.000191083024965821 0.000185473279237197 0.000379034469829823 0.000529539061628524 0.0136220910666078 0.000364142792522541 0.000332053687848266 0.000333468458226191 0.000290211619897512 0.000242999138109095 0.000230070331102685 0.000211597737289068 0.000255504981583988 0.000309284684201682 0.000280455395449602 0.00022732980178053 0.000208408473005411 0.000195791794676361 0.000282386235873823 0.000363097979112972 0.000386804276789286 0.0003365349455107 0.000292538270208369 0.000280919118946629 0.000267058088371343 0.000253749408866414 0.000319517528075593 0.000433097693150307 0.000522207389867921 0.000510753345924004 0.000473425326789879 0.000463517326008422 0.000471333214866542 0.000519126836676997 0.000222991708951671 0.00018663704581362 0.000180348415305212 0.000184077689587229 -0.000303819516179738 -0.000459236943458267 -0.000263213090495609 -0.000131613749262988 -8.38607799248568e-05 -6.03054709183192e-05 -2.4545386737867e-05 1.83280129471361e-05 3.3667585062956e-05 5.00037289545789e-05 6.07299179097559e-05 7.45413006557115e-05 0.000102893508688525 0.000124037771042888 0.000167444256247377 6.33986860099883e-06
"Immunityfull_245-305" 0.000357508702882397 0.00035290123615941 0.000342836034012113 0.000325614704781353 0.000293315372072551 0.000335520139518377 0.00035811923203494 0.000305709093250287 0.000277341526683298 0.000361753157984023 0.000346016294043489 0.000364142792522541 0.00720948045565629 0.000390910148647361 0.000372574126277308 0.000387038124285633 0.000355745834139246 0.000342359089438869 0.000320321728434328 0.000305932097854171 0.000343178009822372 0.00036455775113745 0.00035509014392748 0.000318086210609127 0.000288889414618096 0.000367196574904787 0.000350830773576078 0.000400612599276895 0.000407670132832381 0.000399451562492686 0.000378597984527789 0.000377239224046029 0.00037012441334096 0.000368633843267379 0.000348300497120323 0.000412569764087849 0.000438101695608849 0.00043517565366519 0.000406870527353525 0.000387464341729341 0.000373263782095195 0.000334716873091222 0.000304163376923813 0.000280425053561068 0.00027504085525478 5.1904436964437e-05 -0.000425019485466253 -0.000283673680884649 -0.000170934107363261 -9.83064499703161e-05 -6.84031584971451e-05 -3.06997669143314e-05 2.292172262178e-05 4.46396035363583e-05 6.75583565607563e-05 8.58448571075319e-05 0.000103022357836466 0.000132818490808887 0.000152761007357999 0.000204179439787768 -1.50424974200165e-06
"Immunityfull_306-366" 0.000466802392326814 0.000400041048778644 0.000443204541095723 0.00037977077861367 0.00030156963464444 0.000300927764789502 0.00040379533614382 0.000516238226436117 0.000478428479956395 0.000422725895206317 0.000341225377816227 0.000332053687848266 0.000390910148647361 0.00772783461802556 0.000429266975411386 0.000414301655503161 0.000480470796424519 0.000413150725967053 0.000465969306455916 0.000420173205011504 0.000353523935473875 0.000383441112430495 0.000480901343836446 0.00052992380215696 0.000488772945219921 0.000472890996404593 0.000417081986373818 0.000393620460036917 0.000434298268241754 0.00050144844717334 0.000521269231700569 0.000497674525118563 0.000534445793457578 0.00046686721734422 0.000396538463528803 0.000363782597023441 0.000425384079507059 0.000508821357241866 0.000568311441428318 0.000535957613648078 0.000342696062681174 0.000400606345778681 0.000480771872278389 0.000491046968039875 0.000470390981298522 0.000156414551601705 -0.000518225985816274 -0.000401381284822008 -0.00025265871640617 -0.000136533690502951 -8.61547592647613e-05 -4.12487563736252e-05 3.09734045322526e-05 5.61939770088855e-05 8.18686268796581e-05 0.000102923524067063 0.000123660294545281 0.00015231703759069 0.000171037765922479 0.000224611283258276 -2.5833750319842e-06
"Immunityfull_367-427" 0.000423185009006172 0.000367951853892067 0.000426727888013223 0.0004072732265455 0.000359866935157803 0.000337833473044455 0.000350732949120018 0.000470498859131375 0.000548033514535453 0.000381404863350346 0.000314423985763849 0.000333468458226191 0.000372574126277308 0.000429266975411386 0.0040470280709174 0.000407039594664002 0.00043308121936336 0.000362137636478192 0.000427600508798891 0.000442160745365601 0.000386136916060281 0.000377586989841236 0.000431062176895846 0.000527644003020734 0.000564934919449963 0.000427739009629068 0.000433113868660765 0.000417701300807823 0.000419550710017702 0.000463582770439396 0.000509556148095392 0.000501654523196944 0.000504624205090508 0.000393431175410728 0.000382118025054115 0.000325848455307534 0.000322110911091183 0.000374522710954135 0.000446636614086119 0.000502006931693746 0.000325647385273694 0.000347837574319029 0.000440024356896391 0.000506852308860471 0.000553890106660903 0.000364428913875702 -0.000268877049123488 -0.000319242073286922 -0.000189086788715079 -6.68836272162556e-05 -4.01743703324564e-05 -1.64165304904862e-05 3.73534289786775e-05 6.69339763149645e-05 9.81824727703539e-05 0.000124042728460195 0.00014658925062972 0.000184115289682133 0.000209349440562189 0.000271529065180676 6.6663988908271e-07
"Immunityfull_428-488" 0.000393657984751815 0.000396323327422568 0.000408784590093857 0.000357677884598163 0.000303158447618376 0.000349741704573692 0.00041475219478871 0.000435441313525249 0.000455595031066183 0.00034865859410285 0.000240816246749221 0.000290211619897512 0.000387038124285633 0.000414301655503161 0.000407039594664002 0.00328523362166111 0.000435767389766243 0.00040460084129185 0.000421270768804219 0.000395678404318283 0.000378292491597119 0.000405129508390817 0.000445923322783324 0.000463344791571492 0.000470687200724949 0.000422956269655922 0.000372859279343406 0.000389278549518661 0.000423034099774058 0.000455875273180744 0.000463574567984686 0.000471475828720933 0.000469599806710126 0.000391845491482391 0.000315842666543834 0.000294324659047696 0.000320470455948043 0.000355391250737682 0.000367238426525137 0.000375305756337727 0.000269961764637154 0.000395228781194987 0.000424100284482277 0.000435853611406917 0.000461403611047515 0.000340110720120402 -6.19133582082285e-05 -0.000127177434517693 -5.64545342539979e-05 2.38382153769609e-05 2.47409943342172e-05 2.26803702862601e-05 1.38076820177153e-05 2.81188954717596e-05 5.05664191693424e-05 7.07877817139529e-05 8.57106093491897e-05 0.000115317673835175 0.000139210199503658 0.0002029764357743 8.10096203268687e-06
"Immunityfull_489-549" 0.00052444457945692 0.000439486468735257 0.000501716596485285 0.000363693320435721 0.00026121110144316 0.000307078676500298 0.000463968606020068 0.00067438879946877 0.000681217569052078 0.000411064257573456 0.000219615839677313 0.000242999138109095 0.000355745834139246 0.000480470796424519 0.00043308121936336 0.000435767389766243 0.00470911703936211 0.000482796259491537 0.000582057896755763 0.000511626100574528 0.000368685623932188 0.000414165712792427 0.000574259285806617 0.000691495532455953 0.000686821416581279 0.000523439510068395 0.000408730606253152 0.000342547545944891 0.00041651459409368 0.000536912838839157 0.000589824726786424 0.000575687636928712 0.000624237175481056 0.000501071289483133 0.000356452970048217 0.000252280687919443 0.000324321645726432 0.00046331979966461 0.000575774855701169 0.000561659208913254 0.000238174336802079 0.000472832059014399 0.000627250429296527 0.000679254906035738 0.000675555197046246 0.000277893575117325 8.69614332049808e-06 -7.7084427350542e-05 -2.36341805504161e-05 3.62222306183237e-05 3.08172878638827e-05 2.48092892568517e-05 1.11232403279635e-05 2.07845597892899e-05 3.51784905821915e-05 4.66270621251969e-05 5.49005528243366e-05 6.27260992258481e-05 7.25096293073861e-05 0.00012113151957591 1.42590774012564e-05
"Immunityhybridboost_001-061" 0.000426676277324818 0.000421892577845242 0.000433173517691149 0.000317391414331083 0.000252890429854366 0.000324098751017683 0.000464189624745683 0.000546511218747308 0.000504053460636041 0.000351372013208218 0.000191804026520452 0.000230070331102685 0.000342359089438869 0.000413150725967053 0.000362137636478192 0.00040460084129185 0.000482796259491537 0.0267831864455578 0.000502399726275092 0.000425211061729196 0.000347657704365435 0.000400292811657998 0.00050209408403164 0.000528948859983636 0.000502242714403211 0.000446675325821357 0.000330231400964899 0.000298817241899696 0.000373555427807118 0.000449415823889565 0.000460579767514588 0.000459656121451174 0.000492115396742394 0.000431908172778302 0.000288455223546218 0.000227815249041545 0.000294006940219518 0.000376252484186162 0.000412615480167788 0.000366754235679735 0.000209389096580291 0.00046641893644541 0.000530509602987502 0.000526129241157557 0.000501353276113681 0.00014187687249129 2.08051454961337e-05 -3.33555432726027e-06 2.33591233964743e-05 4.19034044170731e-05 3.41286098369725e-05 2.47164142005784e-05 -1.07407537027079e-05 -1.60228252459827e-05 -2.93540799899463e-05 -6.49621169075614e-05 -8.69650996529866e-05 -9.22231872716045e-05 -9.208272195564e-05 -4.85422618250846e-05 -2.20254069667329e-05
"Immunityhybridboost_062-122" 0.0005849299799265 0.000440333042582317 0.000530609911111996 0.000361546374025231 0.000244144738987023 0.000295660960208827 0.000472894122745974 0.000775880141016511 0.000884580047605475 0.00042296586727646 0.000204194235597054 0.000211597737289068 0.000320321728434328 0.000465969306455916 0.000427600508798891 0.000421270768804219 0.000582057896755763 0.000502399726275092 0.0250446203841164 0.000586824869322461 0.000368932762318551 0.000405699561397058 0.000610005347225706 0.000812251963002531 0.000884135153416816 0.000538201346442821 0.000406750924464494 0.0002907823704011 0.000372139829221418 0.00053224253340233 0.000620757852954032 0.000618996011477864 0.000662362386506524 0.00052295473577373 0.000366017228698694 0.000216228468538947 0.000292363901547778 0.000475377465202376 0.000650975258115727 0.000697237876986011 0.000216703682858112 0.00049576592583209 0.000730661489977268 0.000846367173005679 0.000891690501702585 0.000135306885641158 4.1555795824824e-05 1.50756881750135e-05 3.63058704319215e-05 4.80606981797782e-05 3.74011609498038e-05 2.61722978425132e-05 -1.34491964011753e-05 -2.0389342747575e-05 -3.34342042293898e-05 -5.97522745738444e-05 -7.80902712164677e-05 -9.1048757903707e-05 -0.000100938528269565 -5.66275190908543e-05 -1.98490969362877e-05
"Immunityhybridboost_123-183" 0.000554614736344918 0.000389212627380496 0.000497241734862633 0.000399831746748692 0.000314865621957175 0.000312314996312608 0.000392316930178527 0.000692274771075537 0.000952597802129888 0.000407720903084791 0.000259055466117401 0.000255504981583988 0.000305932097854171 0.000420173205011504 0.000442160745365601 0.000395678404318283 0.000511626100574528 0.000425211061729196 0.000586824869322461 0.0249848731456587 0.000390231516241103 0.000376099727720615 0.000533007508292183 0.000782407241481299 0.000966769530591164 0.000482240847686814 0.000436381431687932 0.000321888857917422 0.00035228591958493 0.000479691664390683 0.000595800211886143 0.000611871013165129 0.00061397595755547 0.00045739442583617 0.00039581777389059 0.000242187298745608 0.000258833812229895 0.000402723436409753 0.000603953435348606 0.000754297356569485 0.000267232034672061 0.000416019501671686 0.000657306779384178 0.000838276126338213 0.000992486852519424 0.000181597635869957 5.4879772006409e-05 1.30778409025687e-05 4.1506792402971e-05 5.47654893428024e-05 4.44652104570711e-05 3.15175457782248e-05 -1.43676866002958e-05 -1.85785794320616e-05 -2.63124513744337e-05 -3.87811765552874e-05 -4.47389069536331e-05 -4.86152136865997e-05 -5.30933125546087e-05 -3.60971143820727e-06 -1.5895002426683e-05
