"Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunityfull_245-305" 2.69294845433378e-05 3.22023283146045e-05 4.53203316662927e-05 6.23594699817002e-05 7.17716880797231e-05 6.62705476862673e-05 2.47466711223048e-05 3.09142461902101e-05 2.53780968622423e-05 3.35144102384262e-05 0.00038131678357832 4.46626516729377e-05 5.06599344564626e-05 6.95189986928598e-05 6.23413883294852e-05 3.42507238209269e-05 4.77814544622029e-05 6.21209101684211e-05 6.92688625568045e-05 6.51858671501449e-05 2.95107475743223e-05 3.64031882756238e-05 3.0958320577247e-05 3.47087186970435e-05 4.65823542486451e-05 4.3701988240214e-05 5.22667656448146e-05 6.84369387761683e-05 2.70752655255489e-05 4.25704422361691e-05 4.08557922944981e-05 2.24755111192782e-05 2.40073855869169e-05 2.87190328966916e-05 2.85476393202514e-05 3.63897061551471e-05 2.97347457572647e-05 1.6342767751868e-05 9.09986201590462e-06 3.8617225179341e-06 6.53499613909837e-06 4.89917653296016e-06 2.53565270633876e-06 -4.86970245492859e-06 -6.31512806119645e-06 -6.06799949879037e-06 -4.02787990942729e-06 -4.74570526008249e-06 -1.04053132439121e-05 -1.59357367152702e-05 -1.10533960229499e-05 1.84928993993327e-06
"Immunityfull_306-366" 2.75742660724776e-05 3.25580669340721e-05 4.2545622447387e-05 6.78628329846647e-05 0.000147020198536884 0.000176590829318349 2.56370956843138e-05 2.92203182423554e-05 2.64299013386828e-05 3.23350511588862e-05 4.46626516729377e-05 0.00139135944710347 5.58948759304708e-05 0.000109468322714795 0.000172827431604761 3.34658272997663e-05 4.28058136429531e-05 7.78058238983738e-05 0.000147149775565082 0.000174845468414375 2.91465616163898e-05 3.39108777048895e-05 3.18898834846897e-05 3.38807030527818e-05 4.35608199249308e-05 5.48861721031119e-05 5.72611531408369e-05 0.000114877273131769 2.5677452661823e-05 3.87136220274326e-05 6.29970921664141e-05 2.42209663746995e-05 2.4694120677815e-05 2.71165835859654e-05 2.86974024684634e-05 3.39104771756429e-05 2.84752281347009e-05 1.60371557698744e-05 9.53847121196928e-06 2.75299349598511e-06 2.76792996858398e-06 2.84120087889422e-06 8.43569956597711e-07 -4.62833543852785e-06 -4.54791004799181e-06 -5.95817224454546e-06 -3.002672511987e-06 -2.22255670897615e-06 -1.00745594603378e-05 -1.94384123838118e-05 -3.76374484284149e-05 5.59181362443259e-06
"Immunityfull_367-427" 2.69644352988486e-05 3.06531440499505e-05 4.69744990472296e-05 7.15857062641497e-05 0.000116439964962418 0.000133154661581274 2.32869371155183e-05 3.1137441572689e-05 2.35987452615152e-05 3.34012196269552e-05 5.06599344564626e-05 5.58948759304708e-05 0.00725574906090143 9.82121059808734e-05 0.000130486961151895 3.39515346237887e-05 4.93500950714655e-05 7.62532028661954e-05 0.000115548849580802 0.000131834886203627 2.96922452629572e-05 3.69593591744266e-05 3.05534949266278e-05 3.53618056854243e-05 4.88883448734467e-05 5.29104642271985e-05 6.28140820920125e-05 0.000100018002676606 2.74806405221423e-05 4.60552185204371e-05 5.48953442696772e-05 2.06001491606009e-05 2.31432429875781e-05 2.91753831633962e-05 2.89261264256091e-05 3.95503829045116e-05 2.90630167524573e-05 1.70287364685666e-05 1.17154059311707e-05 3.81207500832488e-06 1.30635631897433e-06 1.94289404663811e-06 -7.16304668812146e-07 -4.48056408856694e-06 -2.78657800843861e-06 -5.73741042713044e-06 -2.08043697918487e-06 -4.26700722012017e-07 -6.30360757195526e-06 -1.30061785294051e-05 -3.52256712644206e-05 7.28711215965759e-06
"Immunityfull_428-488" 2.84939723538834e-05 2.78130928132816e-05 4.83746919348178e-05 0.000135997342192224 0.00038330027527686 0.000464118735714695 1.99992278206858e-05 2.73327521309152e-05 2.26009470888541e-05 3.04254840898144e-05 6.95189986928598e-05 0.000109468322714795 9.82121059808734e-05 0.12529806701534 0.000462225974830131 3.06662148238876e-05 5.81573647081026e-05 0.000175576391704934 0.000388814428947763 0.000462985151737949 2.50584456124469e-05 3.86798047074709e-05 3.61270259166509e-05 3.55324888330654e-05 6.81345691789461e-05 9.90828155670938e-05 0.000108037642571364 0.000315049133277305 2.71606762494335e-05 6.9874610829408e-05 0.000146840601404992 2.05869299555598e-05 1.95887662904085e-05 2.69643664385652e-05 3.17370473369973e-05 4.49607332876362e-05 2.92112101019989e-05 1.8452668773458e-05 1.35650466557199e-05 5.00266864439913e-06 1.10483994955504e-06 2.4000093635411e-06 -7.09166378468036e-07 -4.97992016928455e-06 -2.81976393343261e-06 -6.67869508062661e-06 -3.76186672457307e-06 -9.85185865790964e-07 -1.09115311795432e-05 -2.33612761303516e-05 -4.83669196985735e-05 8.59428923167511e-06
"Immunityfull_489-549" 3.00231098124029e-05 2.73916567041321e-05 4.13555902228911e-05 0.000151646551932633 0.000783218862151021 0.00123262591947401 1.99639652551848e-05 2.57094555650636e-05 2.25161682848019e-05 3.04211937487062e-05 6.23413883294852e-05 0.000172827431604761 0.000130486961151895 0.000462225974830131 1.00126867640533 2.99125599218623e-05 5.02228134604886e-05 0.000252574560022841 0.000827646203434242 0.00124474404677113 2.46718162437019e-05 3.43303097151841e-05 4.04306338600063e-05 3.88193513850224e-05 6.58291313905505e-05 0.000155338278979325 0.00014652820849381 0.000530158411432533 2.39259893551078e-05 7.63065048975366e-05 0.000251427411034069 2.40181883203382e-05 1.96555088059055e-05 2.46305700701205e-05 3.24851764046067e-05 4.89193285393451e-05 3.00075432583526e-05 1.98826277990418e-05 1.58968643281765e-05 6.1697571023146e-06 -9.57349201201763e-07 1.99508847776143e-06 -1.18007807822815e-06 -4.70269889134588e-06 -2.02870410211042e-06 -4.67011393847623e-06 -3.56679323590594e-06 9.83797978109749e-07 -9.40817533022004e-06 -1.99274766526582e-05 -2.75051633888999e-05 9.38881281702723e-06
"Immunityhybridboost_001-061" 2.74516204248594e-05 3.50500246733608e-05 3.60548342151997e-05 3.45639120509935e-05 3.21961304865518e-05 3.19075596874947e-05 2.85962197462302e-05 3.00966926614845e-05 2.85961889609059e-05 3.37947276407365e-05 3.42507238209269e-05 3.34658272997663e-05 3.39515346237887e-05 3.06662148238876e-05 2.99125599218623e-05 0.00062892174476495 3.58245049836204e-05 3.42531436620122e-05 3.24070569694058e-05 3.18938769359884e-05 3.14152905620567e-05 3.27624528709117e-05 3.07719768327607e-05 3.38748959413002e-05 3.42530251403571e-05 3.40114931079346e-05 3.39053954103032e-05 3.06926231865002e-05 2.59906688963628e-05 2.57751716949258e-05 2.52345064801029e-05 2.62336316997395e-05 2.76494261608021e-05 2.74029576672111e-05 2.79655903359307e-05 2.86979706575543e-05 3.07239788184651e-05 1.67944056855264e-05 9.85017468117975e-06 4.77400976790795e-06 8.48982865974507e-06 6.35485059905301e-06 3.32890178912047e-06 -5.47494822956238e-06 -5.41377623109674e-06 -4.30918303919779e-06 -1.97393328303354e-06 -6.43915347052501e-07 -4.43638204481873e-07 -2.17536067154221e-06 3.13068704294574e-06 1.09506811062e-06
"Immunityhybridboost_062-122" 2.62450185318878e-05 3.38691817603644e-05 4.72231550007102e-05 5.95136081981084e-05 6.09464165727398e-05 5.52921920967214e-05 2.42679946478391e-05 3.05618303482713e-05 2.41302434919168e-05 3.425746876272e-05 4.77814544622029e-05 4.28058136429531e-05 4.93500950714655e-05 5.81573647081026e-05 5.02228134604886e-05 3.58245049836204e-05 0.00082965837208844 5.7365993927411e-05 5.8176737718657e-05 5.40830593997449e-05 2.96501511936992e-05 3.63595095740888e-05 3.00139538411268e-05 3.51661319193174e-05 4.545976094701e-05 4.20031309970791e-05 5.00897373253049e-05 5.65890294071934e-05 2.67840269246384e-05 3.98640464214424e-05 3.50463801682333e-05 2.18654431227179e-05 2.42335048027679e-05 2.87186973536712e-05 2.81802950242392e-05 3.58203341989157e-05 2.99109141247465e-05 1.74818833602857e-05 1.17601985770162e-05 6.51530163271126e-06 8.80682731286705e-06 6.97869997328902e-06 3.65427871755664e-06 -6.81920569536568e-06 -7.94193989848696e-06 -9.21057953209976e-06 -9.56099590339227e-06 -8.0819342266259e-06 -1.19932718788857e-05 -1.65237888760571e-05 -1.28376150968578e-05 2.4355279472889e-06
"Immunityhybridboost_123-183" 2.66193885499111e-05 3.15699265850201e-05 5.22832583089875e-05 0.000103321501072329 0.000226447978376834 0.000258699767808305 2.0738128112222e-05 2.91305463590882e-05 2.1639863322158e-05 3.30864408681287e-05 6.21209101684211e-05 7.78058238983738e-05 7.62532028661954e-05 0.000175576391704934 0.000252574560022841 3.42531436620122e-05 5.7365993927411e-05 0.00404305822509683 0.000226933220983536 0.000256683621715786 2.688215421143e-05 3.84667604285939e-05 3.25816817321248e-05 3.61984698051781e-05 5.9411848401157e-05 7.20851524290118e-05 8.15600760695841e-05 0.000183628743209701 2.68828215712375e-05 5.80399502548877e-05 9.23765687407611e-05 1.99339406090857e-05 2.09624238404961e-05 2.82161593862096e-05 2.97089208535112e-05 4.23492019554491e-05 2.99663725037336e-05 1.85395208210756e-05 1.34182635296315e-05 7.74302680897657e-06 8.81187575862307e-06 7.53381305223205e-06 3.4856252112838e-06 -7.15425448812972e-06 -8.2917409989895e-06 -1.07568703735951e-05 -1.0719520417449e-05 -8.93154862106065e-06 -1.81781073230609e-05 -2.75978036882154e-05 -2.82451441320791e-05 4.22668957849113e-06
"Immunityhybridboost_184-244" 2.79417283824977e-05 3.12217204574489e-05 5.18070813872478e-05 0.000156566346056493 0.000602768634430344 0.000823778385299735 1.83935690535465e-05 2.49332877459688e-05 2.03235122530638e-05 3.09554407332265e-05 6.92688625568045e-05 0.000147149775565082 0.000115548849580802 0.000388814428947763 0.000827646203434242 3.24070569694058e-05 5.8176737718657e-05 0.000226933220983536 0.0422887455011009 0.000824890815441886 2.32677730553314e-05 3.62095888765227e-05 3.75667369453303e-05 3.7305452949519e-05 6.87235402773358e-05 0.000130908820553566 0.000128106922059329 0.000430757249517411 2.41824488885966e-05 7.24854739050193e-05 0.000207159602567961 2.13265698951579e-05 1.87128883519566e-05 2.46473619290079e-05 3.13474020012835e-05 4.60525964818507e-05 2.88842945255741e-05 1.89788153841434e-05 1.47320123868685e-05 8.69430537867802e-06 8.49600910001775e-06 7.49481040950312e-06 3.15169838825111e-06 -7.45542033522513e-06 -9.40663048737291e-06 -1.44185598298904e-05 -1.84967712726686e-05 -1.65940434108028e-05 -2.88815763029725e-05 -4.15925296058716e-05 -4.44739148747097e-05 5.47860402528977e-06
"Immunityhybridboost_245-305" 2.88712204101855e-05 3.00626460733637e-05 4.70430817705127e-05 0.000158841447847785 0.000783462139881595 0.00122632811944875 1.86453308574534e-05 2.45707400358549e-05 2.0566514384164e-05 3.11126076870454e-05 6.51858671501449e-05 0.000174845468414375 0.000131834886203627 0.000462985151737949 0.00124474404677113 3.18938769359884e-05 5.40830593997449e-05 0.000256683621715786 0.000824890815441886 1.00124007109143 2.36460692323299e-05 3.46034096972051e-05 3.96483996294254e-05 3.9182621624711e-05 6.74408113530934e-05 0.000155840629068096 0.000146522898247028 0.000528278644535797 2.32751003830431e-05 7.59740904309787e-05 0.000249585630355524 2.32965481970429e-05 1.90980237471002e-05 2.41215713466535e-05 3.18549312770158e-05 4.82371962213836e-05 2.98212979072115e-05 1.96259517529376e-05 1.61572276704019e-05 1.00923370170428e-05 8.17404257861389e-06 7.39201435468024e-06 7.91277909119833e-07 -9.27962021980822e-06 -6.69037876359347e-06 -1.41385759691978e-05 -1.02139630573057e-05 -6.83903200909818e-06 -1.71920842935654e-05 -3.04710866547265e-05 -4.42354397316727e-05 7.25210117509915e-06
