"Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_306-366" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "DCCI1" "DCCI2" "DCCI3" "DCCI4" "DCCI5" "DCCI6+" "DCCInodcci" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunityhybridfull_123-183" 0.00163799608745622 0.0016455892407225 0.00149744672288515 0.00178715344867301 0.00201862537808664 0.00165416979903048 0.00181756618166086 0.0018733078585714 0.00175776920565421 0.00168734687178102 0.00143637443122071 0.00160457762999679 0.00170397384918424 0.00162326276620875 0.00187895079395293 0.00176391411442239 0.251915866676722 0.0019008065425453 0.00158820955069664 0.00185791948499743 0.00214004808204112 0.00170604505412375 0.00173394410907242 0.00169662787508533 -0.000190483682277129 -0.000186397835917764 -0.000223962481810136 -0.000130685297421836 -7.33805570084441e-05 9.6341030753226e-05 -3.33292785877652e-05 0.00236783633848425 0.00106321801283406 -0.000338626614540051 -0.000303463494569023 0.000152107801514274 0.000244639025604508 0.000241203119988559 -0.000107975664615932 8.85867737356544e-05 0.000188938290417149 0.000372536099859459 0.00066014277163597 0.000836719507593682 0.000938051349572866 0.00141146018548518 5.61056664374394e-05
"Immunityhybridfull_184-244" 0.00169050600540426 0.00179085204175265 0.00147580011531242 0.00124804895943661 0.00123471316315705 0.00183861315211101 0.00190035395483306 0.00203168889668756 0.00195852730734439 0.00159972788162006 0.00128124582180161 0.00114474415696344 0.00181630707902597 0.00155737352789668 0.00214936490843611 0.00188235874465458 0.0019008065425453 1.00212576434797 0.00150146287712115 0.00203893822733548 0.00195421348447698 0.00195609703717577 0.00183721232222598 0.00178606383620174 -0.000168126206899248 -0.000163752548949697 -0.000151183791741688 -8.95958385960744e-05 -9.90227221362644e-06 7.2397577673177e-05 -6.62003844256347e-05 0.00314197852286269 0.00224967848954281 0.00116050040653095 0.000416212454486242 0.000624698284203686 0.000608647025571139 0.000318144442623147 -0.000321286090836125 -0.000155677464689012 0.000201298557175369 0.000898710122488972 0.0014290712921341 0.00171747707567169 0.0018719702793744 0.00223979103157331 0.000114873246548209
"Immunityhybridfull_306-366" 0.00154891490330374 0.00128266336431545 0.00149547708824945 0.00201807028489279 0.00317617993723099 0.00133971531926886 0.00152299202129485 0.00137552991021161 0.00138175222117234 0.00163203383889187 0.00178880820979259 0.00217243522083933 0.00143830667524932 0.00160539385882401 0.00142796988396308 0.00148256370002005 0.00158820955069664 0.00150146287712115 1.00179400119789 0.00150093476880474 0.00185208253494184 0.00137983734392964 0.0015454051515741 0.00158197455730182 -0.000166339680293422 -0.000220163359967141 -0.000313334937102186 -0.000210775879950084 -0.000251662128664115 -0.00022145398695284 -0.00057310361812191 0.00126045229129867 0.000825973153851374 0.000559303337342158 0.000333435912004598 9.35786630818814e-05 0.000137492106548927 7.6931538473732e-05 -0.000168332316910321 -0.000207635395665867 -0.000246545389015317 -0.000105507078253828 0.000327037401425481 0.000152500281598388 7.91065925530795e-05 -9.24883504595671e-05 0.000336492097289063
"Immunityinf_062-122" 0.00183118130655125 0.00159381637965487 0.00142011323693886 0.00135826402883937 0.00135406543720587 0.00184273916510658 0.0020295997582696 0.00208201528925217 0.00186618042968132 0.00158035766805918 0.00130799313504928 0.00129490738955202 0.00169064332577439 0.00151929115466051 0.00212224401349093 0.00181328008847481 0.00185791948499743 0.00203893822733548 0.00150093476880474 1.00241716226469 0.0024506735637613 0.00208482627225956 0.00208547346788449 0.00207478450040854 -6.31981748145274e-05 -2.41054950541749e-05 8.97580526248012e-06 9.35363283711252e-05 0.000201503781110241 0.000317972901698124 -0.00210843042780801 -0.0010108728238388 -0.00435565675791638 -0.00258716224121591 0.000148116404515812 0.000507541652548559 0.000402842899532166 0.00014199531062283 0.000170089720042916 0.000717711199052897 0.00108775791064141 0.00155430203572786 0.00194619407092115 0.00215550992533737 0.00229904550397853 0.0025715151236445 0.000147748212002764
"Immunityinf_123-183" 0.00181385186838686 0.00109867602747431 0.00135815370105835 0.00271245268225462 0.00358170093034987 0.00143153467338172 0.00214224148279211 0.00186053251864564 0.00154810559889302 0.00187839497621267 0.00167230389363448 0.00258904180305546 0.00151657882151383 0.00172680563984642 0.00190402141155173 0.00173305916525929 0.00214004808204112 0.00195421348447698 0.00185208253494184 0.0024506735637613 0.503540264247482 0.00170344993361666 0.00214260868762013 0.00212469107832453 -7.28584076946775e-05 -3.35551524709758e-05 -3.78664697470118e-05 8.18352982815934e-05 0.000235563814195113 0.000359509514425664 -0.00244181942129509 -0.000459510009275241 -0.00461181262571917 -0.00296869869800038 -0.000115298959210182 0.000470686897324103 0.0004590270937388 0.000110279715346535 0.000117232251053064 0.000634376765057482 0.00118492301091689 0.00149537551999295 0.00191603267521573 0.00207775320574019 0.00214771648813302 0.0023952981388184 0.0001306272703522
"Immunityinf_306-366" 0.00182515082050807 0.00191609125582309 0.00150245394837247 0.000888711322871261 0.000524631095663314 0.00197470070011531 0.00187727759262332 0.00209472155195479 0.00197558470412219 0.00149422384569415 0.00121223558167442 0.000812294945741334 0.00178797506828798 0.0014666205370381 0.00200349063350253 0.00178489889658098 0.00170604505412375 0.00195609703717577 0.00137983734392964 0.00208482627225956 0.00170344993361666 0.502167043297387 0.00199035469619926 0.00204463486301488 -5.44096064706042e-05 -9.41860236396024e-05 -3.73024493187245e-05 -5.76661328986108e-05 0.00011929184271758 0.000247458661269263 -0.00265042357669851 -0.000232730562205094 -5.6336868457245e-05 0.000157792299641798 0.000500408608900293 0.000178650129744726 8.88892630324552e-05 2.23767818433574e-05 -0.000101856149183013 -3.6099433105281e-05 3.93196135283421e-05 0.000243613044602763 0.00064428313311114 0.000842509502128633 0.00104251538922661 0.00138045199234608 0.000161139371649925
"Immunityinf_367-427" 0.0018402014599855 0.00159662079690474 0.00150227211415627 0.00146928109855094 0.00120027070796402 0.00174335277853438 0.00193862618411794 0.00190345198907196 0.00176535803835108 0.00162177788254154 0.00141956307943306 0.00141567834025133 0.00166206512432432 0.00157151015064109 0.00182511042288836 0.00170022207743961 0.00173394410907242 0.00183721232222598 0.0015454051515741 0.00208547346788449 0.00214260868762013 0.00199035469619926 0.335398754574429 0.00214361059651112 -7.60294040926657e-05 -0.000114277977573867 -5.58214580998734e-05 -8.0933957544854e-05 4.90168397957808e-05 0.00015700390735527 -0.00382237354152132 -0.000302216393744936 -8.02701400003274e-05 0.000199489545566608 0.000668967742153793 0.00016740635671902 4.77741345658692e-05 7.77654938261321e-05 -7.72684248568987e-08 5.43267937752083e-05 0.00010297788186734 0.000317622988358772 0.000649773066902394 0.000801786144255505 0.000912890672413136 0.00112700730822613 0.000145532211872408
"Immunityinf_428-488" 0.00193515762700067 0.00161297362376378 0.00149013044162451 0.00147612339908379 0.00158075718367372 0.00177658913526252 0.0019495436889906 0.00195416271095753 0.00175771959780254 0.00159912477086947 0.00146535573681587 0.00147453707096627 0.00164027790547846 0.00154682416968912 0.00176034508171718 0.00165221529375876 0.00169662787508533 0.00178606383620174 0.00158197455730182 0.00207478450040854 0.00212469107832453 0.00204463486301488 0.00214361059651112 1.00231562823469 -8.68073287011137e-05 -8.30459137597488e-05 -0.00014738958711368 -7.31440059283266e-05 1.15778469269585e-08 0.00010328863585094 -0.0054783283495395 0.000257511003266992 -3.55480129115473e-05 0.000100604424501362 0.0006276817296427 -8.03199484416727e-05 -0.000105307573882708 1.69542650572982e-05 -4.86091340278073e-05 -9.56572044471006e-05 -2.25166198883077e-05 0.000152149940585985 0.000503942228816398 0.000591124938527405 0.000613953388684839 0.000771537818986293 0.000137318157613417
"DCCI1" -0.000124282387092533 -0.000131695436361978 -0.000139121061218424 -0.000140021193561845 -0.000138854771016845 1.4861616189215e-05 2.27672251040997e-05 -1.75274635792886e-05 -4.07133089172454e-05 -8.25502385110426e-05 -9.43600335113411e-05 -0.000110996229611892 -0.000223225554882837 -0.000195830739821254 -0.000182598480785468 -0.000205871361203363 -0.000190483682277129 -0.000168126206899248 -0.000166339680293422 -6.31981748145274e-05 -7.28584076946775e-05 -5.44096064706042e-05 -7.60294040926657e-05 -8.68073287011137e-05 0.00997909914944806 0.00546693521642446 0.00553689148533946 0.0055779152226403 0.0055979771951443 0.00559444314295535 0.00483260350912951 0.00195773058817094 0.000772993705233285 0.000748652803199304 0.000474842343277757 0.000319149084077687 0.000376525055006073 0.00024446706622731 -0.000258951102448029 -0.00064227807192611 -0.00101579621538261 -0.0013625856664883 -0.00167503630886392 -0.0018503026156761 -0.00194636058229647 -0.00202781646369352 1.52181541280672e-05
"DCCI2" -0.000134231636240248 -0.000125063801998035 -0.00016707450045632 -0.000184376075602347 -0.000198693718392079 4.2901987400996e-05 5.59128258339907e-05 2.94921740462654e-05 -1.94627678089086e-05 -8.82128654203516e-05 -0.000113698984296801 -0.000159451321832275 -0.000260475055256038 -0.000272836905644077 -0.000168845448674361 -0.00024045717967117 -0.000186397835917764 -0.000163752548949697 -0.000220163359967141 -2.41054950541749e-05 -3.35551524709758e-05 -9.41860236396024e-05 -0.000114277977573867 -8.30459137597488e-05 0.00546693521642446 0.00989462286648067 0.00585869456647989 0.00592992643098549 0.00596604202605179 0.00596711486006464 0.00481346597111907 0.0018623909984247 0.00121871503246082 0.00116390060472739 0.000715060158390234 0.000482227265516998 0.000465822378427191 0.000292448136993622 -0.000332600287126811 -0.00084469410633155 -0.00139666497351498 -0.00193865971529077 -0.00236791170047024 -0.00271799655500131 -0.00292699860052946 -0.00304880974933364 -1.44466080911192e-05
