"Immunity_other" "Immunityb45_001-061" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityboost_428-488" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridboost_367-427" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecbnew_001-061" "Immunitysecbnew_062-122" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "Immunitysecboost_123-183" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunityfull_001-061" 0.000199932526740418 0.000190747789257348 0.000215983232771336 0.000218412103661454 0.000220793841653616 0.000202205702056847 0.000188550433038989 0.000179682427290855 0.00016943151413498 0.000175193956771114 0.166884362408191 0.000216647340069006 0.000216003132272119 0.000218916373483226 0.000214273122336816 0.000222032717608555 0.000208447520054397 0.000196134732861773 0.000186189140231494 0.000193158147208511 0.000203017103498447 0.000209125653425588 0.000200302886415345 0.000191804110014438 0.00018347651144519 0.000174999316495185 0.000214509029743404 0.000222579227704622 0.00021365199800888 0.000206810867805049 0.000208308831020381 0.000205906856055479 0.000198312572387417 0.000191040530698816 0.000210033477670414 0.000214845434086244 0.000204825940407186 0.000199053224402248 0.000194138889299117 0.000190136859867764 0.000212367515620497 0.000203953955692833 0.000172411402741716 0.000165940243120895 0.000179833811949307 0.000172828735016313 0.000164989724530744 9.73940459924081e-05 -5.0355652250478e-05 -6.55021327862513e-05 -4.86780872199696e-05 -2.87400958415935e-05 -5.1780086836755e-05 -1.68007769764588e-05 1.54143934854274e-06 4.08075863525638e-06 9.22300846566538e-06 9.76083002573674e-06 1.35431967091099e-05 1.22746480332101e-05 1.26887943837369e-05 2.13737138675607e-05 6.87039371254037e-07
"Immunityfull_062-122" 0.000193466947889974 0.000166430089975101 0.000215716945017863 0.000222458716264649 0.000237465866729061 0.000208766145798864 0.000174765182387388 0.000154833993930607 0.000144414964486819 0.000155772689525156 0.000216647340069006 0.100225999146462 0.000234269232299351 0.000228315847724593 0.00020826158667694 0.000226238942311395 0.000202635057635714 0.000177663445474154 0.000167406182681063 0.000181277008456095 0.000200913463689042 0.000217568475532638 0.000198672916920684 0.000175223423213333 0.000161268212646386 0.000153048287274028 0.000218598285584948 0.000235722436393659 0.000213081085209599 0.000195950805862148 0.000201149883795282 0.000197290963835 0.000180678601020212 0.000174166574041035 0.000214383066371898 0.000230188499418424 0.000207217699399507 0.000193590060961003 0.0001780580142929 0.000175708690076873 0.000229649856709162 0.000212857961443512 0.000145210138075276 0.000142217046391525 0.000158780205978619 0.000144504276030553 0.000139397427317263 6.95795786524996e-05 -6.61903418575466e-05 -4.44966898781588e-05 -4.31488385813169e-05 -3.44213821396287e-05 -3.95985215460676e-05 -2.18180270280223e-05 -1.43843067418971e-06 -1.00711980740385e-06 7.78076772498767e-06 1.17767009597327e-05 1.48758395441201e-05 2.04680142564391e-05 2.08152043014166e-05 3.18797091895964e-05 4.09705933815452e-06
"Immunityfull_123-183" 0.000185722159203365 0.000142907520963704 0.000215226840391798 0.000226212052384864 0.000258726718882794 0.000215172015765292 0.000161729386778088 0.00013417216189853 0.000119717381610841 0.00012960921904837 0.000216003132272119 0.000234269232299351 0.00960102997603083 0.000237606630766122 0.000200282403974816 0.000231573279474633 0.000193901816055304 0.000160705232027738 0.000147637149140512 0.000169771474468116 0.00020069949612054 0.000226911457062417 0.000194028643733897 0.00015898635861041 0.000139449452172922 0.000128334949041962 0.000223999998850726 0.000249967283588656 0.000208880917779282 0.000183566097706819 0.000193870459806531 0.000185532392766 0.000163141566580317 0.000154362856964794 0.000220511837734757 0.000246436460842873 0.000206043589820235 0.000185565343504946 0.000162254433792759 0.000158591624504656 0.000249046844038723 0.000219424201114304 0.00012270094456602 0.000116825675323388 0.000141692624958123 0.000122935071373948 0.000114231171972816 4.39509555550078e-05 -7.13556297403335e-05 -4.14979635154126e-05 -4.15324457945416e-05 -3.23664004829267e-05 -2.12130856820532e-05 -1.07960634107603e-05 2.16775311045164e-06 4.86705967995403e-06 1.08450952501283e-05 1.42687296875902e-05 1.82784381049681e-05 2.34405594810707e-05 2.5949442810022e-05 3.87549524011944e-05 1.38772729630049e-06
"Immunityfull_184-244" 0.000194445073212157 0.000158191028504551 0.000223123251290166 0.000230730058639216 0.000245181139798568 0.000223146829909598 0.000181882814093018 0.000152554153714351 0.000135165843314902 0.000144588540980794 0.000218916373483226 0.000228315847724593 0.000237606630766122 0.00245581933263856 0.000213696234036173 0.000234532541693875 0.000211450526809284 0.000179041005766205 0.000164481162283893 0.000186753036279064 0.000206336557289011 0.000228368382376648 0.000209865923767995 0.000178924189531294 0.000156928776765784 0.000143717513519564 0.00022141629190796 0.000245908684073671 0.000222116522543745 0.000200412397909632 0.000205040092911473 0.000203367310113712 0.00018120545849245 0.000171144345713305 0.000215045198515656 0.000237258895190662 0.00021074683359614 0.000193792919490347 0.000170910295216968 0.000163645201286164 0.000233421119138284 0.000220214830063645 0.000138938330144123 0.000132412135479614 0.000163249000012428 0.000139956651890581 0.000130006161313823 0.000117075195965135 -4.02708064280759e-05 -4.04855682094673e-05 -4.26583758956745e-05 -2.47411984368073e-05 -1.59131913376252e-05 -8.93082810768013e-06 1.73382066355557e-06 5.3249541452687e-06 1.20693575449581e-05 1.68245662728703e-05 1.97267249771439e-05 2.48383667104568e-05 2.61309570346575e-05 4.08974463042176e-05 -2.75821291733174e-06
"Immunityfull_245-305" 0.000204449996662472 0.00018905599912177 0.000218810369157524 0.00021733416735135 0.000208997215811754 0.000203741542445284 0.000204908161707405 0.000189247155696178 0.000166008674908 0.000170536172777622 0.000214273122336816 0.00020826158667694 0.000200282403974816 0.000213696234036173 0.00197157128705057 0.00021779162612328 0.000219311802357617 0.000208841136083851 0.000190502098245788 0.000204362639892132 0.000203780489361914 0.000206859475791859 0.000210570911933335 0.000207743810271728 0.000189738346250987 0.000172381068894276 0.000209144670730767 0.00021369194677116 0.000220731582108722 0.000217411155549858 0.000211578713195166 0.000216742080133438 0.000210090538170934 0.000195956185386788 0.000202871196179931 0.000203127570917559 0.000208027189518836 0.000204241628119091 0.000200056099906012 0.0001841190406434 0.000198302665315913 0.00020154856019964 0.000173058443813766 0.000161229192519175 0.000196752373309477 0.000176848076001777 0.000160262309555065 0.000136848493463919 -3.35970162388387e-05 -3.77141134812416e-05 -4.47553296240748e-05 -2.2367314977529e-05 -1.31677953019202e-05 -7.55083603168603e-06 7.01328425207388e-07 4.45575266165765e-06 1.02875498546217e-05 1.52626407388181e-05 1.7172225346637e-05 1.93992254212422e-05 1.78330685611074e-05 3.20914576076197e-05 -3.6879892607785e-06
"Immunityfull_306-366" 0.000200940708658327 0.00019111192201443 0.000225323924549126 0.00023214052114779 0.000243326145767545 0.000218237905691243 0.000186819644284492 0.000174694003167648 0.000168536310817102 0.00017733704351503 0.000222032717608555 0.000226238942311395 0.000231573279474633 0.000234532541693875 0.00021779162612328 0.001242392485294 0.000214380008391735 0.000194806410464995 0.000187200755805736 0.000194832523944719 0.000213154544568657 0.000226540022370484 0.000209612354905098 0.000190616962396887 0.00018360149374842 0.000177408373585917 0.000226696522749787 0.000243070972025147 0.000222668742995383 0.000209900133820997 0.000216297166585042 0.000210819320367996 0.000198661198847308 0.000194421636938554 0.000220327181094601 0.000231505629613645 0.00020823563457342 0.000197892419545806 0.000186655551562271 0.000189479910004256 0.00022957053471133 0.000214481234155346 0.000170749158117002 0.000164426879177062 0.000172043806159413 0.000167963063496148 0.000162954718610439 0.000146285357668002 -1.96657932446337e-05 -5.20786165055158e-05 -5.31261320381571e-05 -2.27847416289455e-05 -1.22055460608931e-05 -7.66654529860165e-06 4.4744266365048e-06 9.35358755844782e-06 1.62993012064739e-05 2.21275602375925e-05 2.56949761417407e-05 2.91289885232515e-05 2.952620746234e-05 4.5164760157858e-05 -2.89562878753704e-06
"Immunityfull_367-427" 0.000203173152515537 0.000192566222658213 0.00021645114941102 0.000215496717335454 0.000207063833785828 0.000211158754039214 0.000210689907671382 0.000195165934057801 0.000180248727759487 0.000188368050080058 0.000208447520054397 0.000202635057635714 0.000193901816055304 0.000211450526809284 0.000219311802357617 0.000214380008391735 0.000982723679116162 0.000210036056595518 0.000198044039069811 0.000209028878964153 0.000206501666546721 0.000210661944490698 0.000216810700204426 0.000211571265624726 0.00019697506917113 0.00018636170755585 0.000206766322616457 0.000212393730767069 0.000220836078485884 0.000216891544674648 0.000211778962180499 0.000218394927216909 0.00021113256283411 0.000202592449892066 0.000200426378941254 0.000200839211698467 0.000205250899790307 0.000200821530289775 0.000194603402341547 0.000184053560644785 0.000195224011944535 0.00020222940216673 0.000182575529124347 0.000180334957571775 0.000202719485707616 0.000184701633193507 0.000177510243078392 0.000151603331144035 2.43116846826125e-05 -1.46770755296571e-05 -2.22399585264123e-05 -1.22841243092754e-07 3.18831729416e-06 1.21749897150326e-06 8.83564327035403e-07 2.90537687250593e-06 8.48905683210354e-06 1.2997997815842e-05 1.57926136956342e-05 1.81625526281113e-05 1.85761235828027e-05 3.42722193443381e-05 -1.90753087040948e-06
"Immunityfull_428-488" 0.000208456006630856 0.000264897658260373 0.000201303284637876 0.000195591414509878 0.000181298174104911 0.000191852329591074 0.000228553039771879 0.000260163193661014 0.000265589074950816 0.000254117796340994 0.000196134732861773 0.000177663445474154 0.000160705232027738 0.000179041005766205 0.000208841136083851 0.000194806410464995 0.000210036056595518 0.00157243530923448 0.000249023932035678 0.000228336160793768 0.000214309787599021 0.000192444768890463 0.0002071049872388 0.000240333176223877 0.000260883222043188 0.000263242459323552 0.000201620051077533 0.000179752227816817 0.000200194927060833 0.000224786450630697 0.000221343711420659 0.000219104325204465 0.000244919850955545 0.000247935344316428 0.000199247735291647 0.000168252472845473 0.000185199073601049 0.000201246167443527 0.000227004996807469 0.000231602301563532 0.000168376334524093 0.000174843055574744 0.000271705740950013 0.00025761685781363 0.000240737224485211 0.0002691917061343 0.000261686430684466 0.000150723640048666 4.98423576656621e-05 1.90995872802284e-05 5.26927494925579e-06 1.7762573761783e-05 1.61152996719912e-05 8.82501111267337e-06 -3.89430467541551e-06 -5.75173207199861e-06 -3.70895529437243e-06 -2.09113783923689e-06 -1.74917053153309e-06 -7.40442183343457e-06 -1.15512237516011e-05 1.45027507134038e-06 1.10713086755043e-06
"Immunityfull_489-549" 0.000210274888627851 0.00036332041447071 0.00018756811451076 0.000185210751911024 0.000170366762790582 0.000187138204509067 0.000224371468142416 0.000313358867777515 0.00045250063871178 0.000491395631417225 0.000186189140231494 0.000167406182681063 0.000147637149140512 0.000164481162283893 0.000190502098245788 0.000187200755805736 0.000198044039069811 0.000249023932035678 0.00450387732009543 0.000235264883085706 0.000225757616860087 0.000187066370762948 0.000197419833721565 0.000237973999527619 0.000342899408264121 0.000445639754401746 0.000201103743505253 0.000167022498944069 0.000183181038389027 0.000215457124493358 0.000234776102965713 0.00022088537811795 0.000255325492258913 0.000329572328671856 0.000201154702028885 0.000156277020721189 0.00016778389330736 0.000191549817557398 0.00024119067174135 0.000341019429501672 0.000163382765255073 0.000161244507803123 0.000385735734757436 0.000503793244901973 0.000252392562761816 0.000360090360647846 0.000490683611849368 0.000145730388819476 6.08633603346872e-05 3.63868858912268e-05 1.65821278523239e-05 2.10087254692154e-05 1.91749377872606e-05 1.03850550982844e-05 -5.48513633872918e-06 -8.36669571460607e-06 -1.04388219280735e-05 -1.03294488067923e-05 -1.17299993547196e-05 -3.20137558195102e-05 -4.64168720477628e-05 -5.16130687294606e-05 8.28075046892946e-06
"Immunityhybridboost_001-061" 0.000200732799915342 0.000237557456812639 0.000202410995392163 0.000197792851779269 0.000190982275491937 0.000207625778995454 0.00023127567055719 0.000247176222014789 0.000252359866671642 0.000235740271685331 0.000193158147208511 0.000181277008456095 0.000169771474468116 0.000186753036279064 0.000204362639892132 0.000194832523944719 0.000209028878964153 0.000228336160793768 0.000235264883085706 0.00774543297774199 0.000213951853344163 0.000201816227606572 0.000212581813451672 0.000229788945249827 0.000240070024208381 0.000243960812990607 0.000198764947641051 0.000187104513096055 0.00020111814152639 0.000213960714052891 0.000211090854435275 0.000212292577682267 0.000225296187266317 0.000229361060598972 0.000195615498162137 0.000176457411138348 0.000185812600557741 0.000192361150364617 0.000203485314881795 0.000206030133780347 0.000175830423567938 0.000182121531268956 0.000255636760283445 0.000248730289028239 0.000244293611144977 0.000255709129530035 0.000253658698278676 0.000142375176567144 4.60697371615946e-05 2.0252704630869e-05 7.54028804326018e-06 1.59184950246259e-05 1.58657025530161e-05 8.81541973477524e-06 -7.44967597248661e-06 -1.23958341962369e-05 -1.5239072737765e-05 -2.11888280262756e-05 -2.50963579467038e-05 -3.08446458967244e-05 -4.11742591295194e-05 -2.87979960446559e-05 3.62481770719826e-06
