"(Intercept)" "Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "DCCI1" "DCCI2" "DCCI3" "DCCI4" "DCCI5" "DCCI6+" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunityfull_123-183" -0.000324524410729709 0.000305007639148271 0.000296403719055762 0.000275842055132358 0.000271432984536992 0.000277886635552246 0.000266254268035536 0.000260192697587253 0.000327033440729278 0.000324844635626004 0.00178692320426141 0.000310301959679575 0.000292507620452525 0.000298112255797204 0.000294586480725792 0.000275848067381996 0.0002682055321744 0.000300612158966091 0.000285272342155391 0.000287063573746157 0.000288560226391005 0.000276401304665128 0.000268228976148712 0.000326498994867233 0.000312398091487285 0.000324321309553601 0.00031004882152379 0.000299715700001716 0.00030189744458378 0.000300128769861093 0.000286113022800844 0.000279281068322258 0.000324421336248167 0.000318998536674365 0.000319446321571856 0.000313716422170304 0.000314018154646384 0.000310566252504733 0.000310009636929019 0.000304072120661885 0.000260668347139888 0.000263295482377003 -2.23737089022247e-06 -3.07064518767974e-07 4.01214181740617e-07 1.43368598266829e-06 2.82656486593998e-06 2.26798572418723e-06 -0.00016012057065062 -5.86684876588791e-05 -2.76756781421098e-05 -1.84822444626258e-05 2.69588795198744e-05 4.58500982723275e-05 5.47947509623457e-05 5.95259330184331e-05 6.18557381051519e-05 6.79324562219592e-05 7.05559703921748e-05 8.34296528362635e-05 -8.76972685905279e-06
"Immunityfull_184-244" -0.000332231418859149 0.000306876685898203 0.000313286422610523 0.000302031830483838 0.000296031046970451 0.000302820013257577 0.000294618552857481 0.000287383168383626 0.000309025348241436 0.000309739912463138 0.000310301959679575 0.00110948671299887 0.000309523669536615 0.000303497209488569 0.000307983788708998 0.000302071270766573 0.000290452758007201 0.000316503371056256 0.000308807862958054 0.000307478112965032 0.000311540931764731 0.000305101574919954 0.000295226651612168 0.000314411567583682 0.000313879071019081 0.000314587189780274 0.000317955749600457 0.000315367606504617 0.000313456678451488 0.000315528461131297 0.000313421526693017 0.000304162549096341 0.000313745230006441 0.000314066360998886 0.000314023123692881 0.000315864671539534 0.000315737637586842 0.000315138533383717 0.000315240165013557 0.000314082609338421 0.000288520830811439 0.000290691118355503 -1.82517716319312e-06 5.94460017193843e-07 2.26128217130531e-06 3.14274663579827e-06 3.25301826454729e-06 5.10849639188615e-06 3.28682588456442e-05 5.53381719002671e-05 4.66663886347693e-05 2.75148660439492e-05 -3.19000216574628e-06 5.39346810579339e-06 1.88702194775917e-05 2.95189088113616e-05 3.66099507459627e-05 4.50371067565065e-05 4.81596295186308e-05 6.62532530126257e-05 -7.39646079156687e-06
"Immunityfull_245-305" -0.00030060793619185 0.000311733676894669 0.000318127484126227 0.000329339304418368 0.000330050942169695 0.000328817935450915 0.000333720778069912 0.000333146984273401 0.000298777000866254 0.000300736060779546 0.000292507620452525 0.000309523669536615 0.00235671908759175 0.00031474080818359 0.000318449384129727 0.00032931151247647 0.000327007743907643 0.000315837375166592 0.000324375396315889 0.000323242841716445 0.000323743268023217 0.000329939164881095 0.000330368509457903 0.000300566255822807 0.000308882336080215 0.000302579782185773 0.000310423923380221 0.00031721059694226 0.000315304011348911 0.00031688968171054 0.000326041858259378 0.000326156406281864 0.000301327102965559 0.000304702316345412 0.000303850817604439 0.000307698748789656 0.000307359316896694 0.000309471758388735 0.000310048820550889 0.000313886526895366 0.000334949826003613 0.000334293495563853 -8.9651715625774e-06 -9.53772394230673e-06 -1.3268273359336e-05 -1.44063249996018e-05 -9.30427425617242e-06 -1.43857547746637e-05 4.02651564116366e-05 4.28743853849719e-05 4.24630412143067e-05 2.60412919403759e-05 -1.36160751232428e-05 -2.60603653435214e-05 -3.61202986796396e-05 -3.11593645892591e-05 -3.2399075037421e-05 -3.98002033966712e-05 -3.94859060995771e-05 -1.27000753324316e-05 1.17378837513872e-05
"Immunityfull_306-366" -0.000293081327707454 0.000314036711748771 0.000308687829211576 0.000325044852871817 0.000334157818890308 0.000323194279515903 0.000335550506471041 0.000349173327535646 0.000302675497981142 0.000303020412779553 0.000298112255797204 0.000303497209488569 0.00031474080818359 0.00533229397914061 0.000315819694270421 0.000327868477137799 0.000348044088889125 0.000307318722660486 0.000319079362237669 0.0003194249592253 0.000313894403507746 0.000323706992915243 0.000340670626870632 0.000301240828291307 0.000305883166399409 0.000301262946033483 0.000303418622092515 0.000308832544432042 0.000309904558344577 0.000308138181871153 0.000315112927219371 0.000327379616308443 0.0003019135717412 0.000302843754753285 0.000302033351254674 0.000303015223177192 0.00030256808258157 0.000304354142210602 0.000304860383410149 0.000307774840794283 0.000343454023487841 0.000335854948382002 -1.04950423437161e-05 -1.54859442088788e-05 -1.72361657260088e-05 -1.56600493512979e-05 -1.47905919131064e-05 -1.80915974909242e-05 -1.05811449958678e-05 -4.792627999543e-06 9.73265118019876e-06 4.22277865427145e-06 -7.71678550403385e-06 -1.54293874375571e-05 -1.65422895881127e-05 -1.85453205576778e-05 -1.73028776778869e-05 -3.43336713263395e-05 -4.98579916476784e-05 -9.0055912978104e-05 2.01787838169827e-05
"Immunityfull_367-427" -0.000298425925915494 0.000312232169314778 0.000315909582733665 0.000328352020082418 0.000331116748220922 0.000327501100031747 0.000334303375826087 0.000337158982202803 0.000300089255567462 0.000301560768461897 0.000294586480725792 0.000307983788708998 0.000318449384129727 0.000315819694270421 0.00606676691616781 0.000328636406041141 0.000331828725286308 0.000313473986189378 0.000322777843584812 0.000322018843603807 0.000320985678543882 0.000328118196405145 0.000333171015655262 0.000300817931796851 0.000308139384793369 0.000302392719304715 0.000308279758703554 0.000314420047061003 0.00031326460633414 0.000314050842542412 0.000322164891203547 0.000324909552384828 0.000301579979059883 0.000303866462911272 0.000303241546335852 0.000306326171097657 0.000305874490988701 0.000307654032269785 0.00030807281733825 0.000311600240006407 0.000338133190343364 0.000337885452610328 -1.06036228339076e-05 -1.04230947716069e-05 -1.57552864842579e-05 -1.64268472352929e-05 -2.16608342212054e-05 -1.95411252695296e-05 2.42252379759863e-05 4.21021618075549e-05 3.48703506321882e-05 1.71159918305804e-05 -8.78759232998681e-06 -1.66601199165033e-05 -2.48730006649092e-05 -2.47811997128296e-05 -3.4028041732853e-05 -2.84167613185118e-05 -3.74951580460267e-05 -3.08156050863103e-05 8.28217552150354e-06
"Immunityfull_428-488" -0.000272941306624539 0.000316601382763733 0.000321231381855545 0.000358252422390188 0.000370761001588247 0.000356045018103433 0.000378889667295575 0.000392653252270658 0.000288995196604453 0.000291921293254401 0.000275848067381996 0.000302071270766573 0.00032931151247647 0.000327868477137799 0.000328636406041141 0.014878571481237 0.000373698494668584 0.000313185035099494 0.000339121234526835 0.000338265837952747 0.000333146873128313 0.000354294081902257 0.000373247149059047 0.000286502420273673 0.000303104120948044 0.000290019692434118 0.000300380470197802 0.000315031326124395 0.000314180223198496 0.000314316290859413 0.000332311561326258 0.000346694295229315 0.000288051750278701 0.000292897533832055 0.000291352882127844 0.00029722928311686 0.00029652640352308 0.000300538441310358 0.000301397445471276 0.000309370778541725 0.000392759569400024 0.00039058214934361 -1.67353065883711e-05 -2.06840670489705e-05 -1.84959595191869e-05 -2.30959976642754e-05 -2.45414663199811e-05 -3.84386915419837e-05 4.45798604068982e-05 5.18213009261304e-05 5.184916322304e-05 3.32830801285934e-05 -2.3412374997452e-05 -3.48415690279424e-05 -5.48807169604346e-05 -6.51811242806357e-05 -9.50409878298959e-05 -0.00011179918554838 -0.000138670362133235 -0.000120575477321133 1.35563907215265e-05
"Immunityfull_489-549" -0.000264768687066381 0.000324043924672378 0.00030903995691752 0.000366238683153162 0.000399328477160506 0.000359092075164286 0.000404364886457286 0.000456096048427526 0.000285717689078566 0.00028675165003776 0.0002682055321744 0.000290452758007201 0.000327007743907643 0.000348044088889125 0.000331828725286308 0.000373698494668584 0.0525188739497161 0.000303039388081654 0.000342269355094236 0.000342857329678833 0.000324198328730404 0.000359196531887616 0.000420062793667899 0.00027891902297989 0.00029578601635487 0.00027971554414686 0.000288101061411366 0.000305339153327097 0.000308504427982324 0.000303878714221182 0.000326184020314349 0.000368561840731302 0.000281488989302444 0.000283992104500491 0.000282326994209777 0.000286241715042654 0.000285280237599137 0.000291044591466783 0.000292049778173094 0.000301457755531129 0.0004342599779085 0.00041246358387663 -1.40390081528893e-05 -3.52484839822628e-05 -4.81952478854016e-05 -9.1874737858381e-06 -1.97106095693771e-05 -1.80614830770352e-07 2.59935247508763e-05 3.68845194736841e-05 2.95765412270854e-05 1.44724645596883e-05 -1.37791272003971e-05 -3.25680946531181e-05 -4.46005932089837e-05 -6.46587125081955e-05 -5.33672049738726e-05 -0.000112127716032783 -0.00017963037012985 -0.000350367987360094 3.71053424676998e-05
"Immunityhybridboost_001-061" -0.000322075885275936 0.000309041329694813 0.000318806658089012 0.000312965483314329 0.000307270981248109 0.000313037648641177 0.000307211677509272 0.000300926922510619 0.000303254456920217 0.000304980466411691 0.000300612158966091 0.000316503371056256 0.000315837375166592 0.000307318722660486 0.000313473986189378 0.000313185035099494 0.000303039388081654 0.00661188512207063 0.000318435083526113 0.000316185086911797 0.000320247815030748 0.000317150262749532 0.000308552139620603 0.000310050704398274 0.000314333532937984 0.000311260713875479 0.000319625283674217 0.000320700062016972 0.000317793769971865 0.00032065806359023 0.000323650287380488 0.000314613529637411 0.000309727417353223 0.000311870982099218 0.000311571588743648 0.000315672796323063 0.000315465731864924 0.000316053654278483 0.00031646303352255 0.000317630175005635 0.000302395030040332 0.000303375618257283 -1.43719219434867e-05 -1.77388540171501e-05 -1.53573999641838e-05 -1.43678995201659e-05 -1.51503626338326e-05 -1.30167862105722e-05 6.40790455149157e-05 7.73932484550099e-05 7.21332533733435e-05 4.27687479278771e-05 -1.12269731530485e-05 -9.46008427281829e-06 2.35848116203113e-08 1.02342333335634e-05 2.78312672107325e-05 4.05807406923766e-05 4.1129643938096e-05 5.34504396383699e-05 -5.66320525155328e-06
"Immunityhybridboost_062-122" -0.000288668470194076 0.000314155975658466 0.000321494601378892 0.000338934279986313 0.000341831849016457 0.000337197211217105 0.000345984133846136 0.000349503169528136 0.000294569098767895 0.000296952965889694 0.000285272342155391 0.000308807862958054 0.000324375396315889 0.000319079362237669 0.000322777843584812 0.000339121234526835 0.000342269355094236 0.000318435083526113 0.00592920719717725 0.000330717386761056 0.000329478616616831 0.000340087230115937 0.000345633218535556 0.000296486293871262 0.000308725469291812 0.000299179079550526 0.000309940275828673 0.000319364044682083 0.000317381390088997 0.000319014656425571 0.000331003228090079 0.000335542778907494 0.000297549162664617 0.000301497232911086 0.000300609117442001 0.000306037084276272 0.000305758166095875 0.000308355082711749 0.000309104281824213 0.000314720097085887 0.000351692088140109 0.000348457335161826 -1.87835563563379e-05 -2.42615122036266e-05 -2.63255535008615e-05 -3.59051672165759e-05 -3.64223381707802e-05 -5.63593900653148e-05 5.489467403556e-05 6.19809014798285e-05 5.9163533561155e-05 3.60143732465726e-05 -2.12860492443536e-05 -3.20835941615805e-05 -3.77353622596989e-05 -5.14694650963429e-05 -3.76642400270451e-05 -3.82548495613591e-05 -3.56952414455942e-05 -3.96058536039326e-05 6.31178877632977e-06
"Immunityhybridboost_123-183" -0.00028617574229435 0.000314462725806641 0.000319419753349016 0.000337714336901132 0.000341903266667305 0.000336200119731198 0.000345929093181089 0.000350519661614871 0.000295849868396421 0.00029790990553049 0.000287063573746157 0.000307478112965032 0.000323242841716445 0.0003194249592253 0.000322018843603807 0.000338265837952747 0.000342857329678833 0.000316185086911797 0.000330717386761056 0.0107503659707961 0.000327438325723848 0.000338450480554519 0.000346408704571475 0.000296943656051025 0.000308137294454468 0.000299089006634415 0.000308372889080183 0.000317633499531252 0.000316104028996983 0.000316799518038296 0.000328909918013334 0.000334497748493278 0.000298068477482313 0.00030146899862889 0.000300697214955643 0.000305240660215176 0.000304858951033044 0.000307419572293115 0.000308148808493454 0.000313625698238025 0.000352642186807218 0.000348897888046988 -1.74311851969285e-05 -2.64816859080552e-05 -3.1817198759191e-05 -3.57966961875339e-05 -4.87507241615247e-05 -6.21801586420832e-05 4.24493052300362e-05 5.08263622738734e-05 4.33796387113288e-05 2.48059749064583e-05 -1.6756947447186e-05 -3.14657174224802e-05 -3.98426014859711e-05 -3.93165333095672e-05 -3.76620791952117e-05 -4.53860330243847e-05 -4.08353057188941e-05 -3.98048788074126e-05 9.62737220635845e-06
