"Immunity_other" "Immunityb45_062-122" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityboost_428-488" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridboost_367-427" "Immunityhybridboost_428-488" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecb45_001-061" "Immunitysecb45_062-122" "Immunitysecb45_123-183" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "Immunitysecboost_123-183" "Immunitysecboost_184-244" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunityfull_123-183" 0.000665196626592472 0.000443578578840854 0.000892741956671254 0.000918864412238073 0.00145060822808697 0.00153258487326498 0.00103735003126746 0.000630717048146887 0.000452688169018867 0.000412201624094741 0.144349930076878 0.00138019927736623 0.000952477284005322 0.000972126902360415 0.00110432737155815 0.000850391312385385 0.000674931982211939 0.000669360458376037 0.000612364230247919 0.000941527264259212 0.00107893668796689 0.000860695818569095 0.000585221704278138 0.00047107672712738 0.000428897108933313 0.00075741548534878 0.00124548410696077 0.00117570353686965 0.000985612362110878 0.000772769922216269 0.000767797513985855 0.000711192999461697 0.000649472370726443 0.00075880220693614 0.00121082404847932 0.00108667702215944 0.000937510965021745 0.000700645645340634 0.00059369050644972 0.000805626789881822 0.00131055275519908 0.000484604577341758 0.000419893449845406 0.000411501683007828 0.000748726010632049 0.000489570948725657 0.000414690065731519 0.000403663200488643 -8.48221941812634e-05 -0.00093452226505793 -0.000435940164886217 -0.000450894956640169 -0.000386708784022137 -0.00027143576696994 -0.000117688002000505 4.25315190033434e-05 7.75085977323377e-05 0.000127173970095673 0.000164185878266441 0.000217308724195938 0.000258012938498856 0.000291153048233975 0.000387053006444587 3.96548962750205e-05
"Immunityfull_184-244" 0.000653205076232533 0.000384745155352986 0.000934289942388292 0.000923383836024141 0.00131976420826408 0.00146880079513334 0.00110062936222573 0.00066881092173634 0.000416364575973837 0.000335770723667119 0.00138019927736623 0.0263654231673315 0.00101584431661786 0.000965729146700953 0.00112318707726461 0.000900001869210998 0.000689799573858379 0.000702008236271119 0.00059636230994412 0.000922027694403738 0.00110775035677905 0.000916856439551024 0.000596046091335963 0.000428219087209311 0.000353685610781939 0.000747047656446928 0.00121368494020764 0.00121091215524145 0.00103462312547891 0.00079490992214281 0.000773345993219962 0.000725214325390635 0.000647019657553257 0.000738349954014918 0.00117748818891757 0.00111504194003502 0.000950365407626483 0.000686479055476616 0.000530490598091458 0.000706748231883533 0.00130940898599233 0.000472761707303809 0.000361638675163672 0.000329243895819674 0.00080691369354367 0.000477800616541983 0.000359317045781965 0.000323269257039756 0.000528231352349887 -0.000674550533368173 -0.000490383605544754 -0.000452182707431149 -0.000308801887249541 -0.000213946882778828 -0.000102483962918862 3.30706717971118e-05 6.52212247563095e-05 0.000125156248585766 0.000167354112913809 0.00021820723312779 0.000275223562094235 0.00030140267454072 0.000426899227233445 1.86750806361182e-05
"Immunityfull_245-305" 0.000722096670019045 0.000446174838670725 0.000965687483104924 0.000877453745420263 0.000952322723671951 0.000988223351064719 0.00100802456787504 0.000862851011657475 0.000507821860896957 0.000382346979327697 0.000952477284005322 0.00101584431661786 0.018300312259346 0.000920510711186321 0.000979137475272141 0.000981343601518709 0.000780576350976409 0.000825714431074107 0.000675842493114652 0.000784778588765038 0.000987574625855604 0.000964091374691378 0.000756868323297062 0.000509219127154332 0.000400743947126041 0.000812508259834207 0.000952367625713554 0.00109379796637307 0.00103089906889012 0.000902620717073435 0.000814338564187462 0.000831653924128633 0.000740851957227982 0.000787432110299282 0.000921847796790352 0.00105951758578786 0.000976657846849723 0.000833563881151682 0.000618711732327385 0.00063148737703568 0.00102748990304897 0.000618538734218763 0.000422590567822492 0.000371236793433338 0.000920770919383688 0.00062452757687885 0.000426368779840883 0.000367366186783421 0.000897020647866007 -0.000502092253269299 -0.000459967488232865 -0.000532590071172241 -0.0003303800621758 -0.000217508435595126 -0.000112458757156437 3.98320715484804e-05 8.94187596284389e-05 0.000168858266680268 0.000237311511441457 0.000301466011905535 0.000355606654922915 0.000371646351828773 0.000502564399798006 -1.74463486271449e-06
"Immunityfull_306-366" 0.000800953042647266 0.000656582755257383 0.000865345713340731 0.0009099036236479 0.000998080142003482 0.000985302891119801 0.000853967884201297 0.000829604195460543 0.000764233603703599 0.000543280654827173 0.000972126902360415 0.000965729146700953 0.000920510711186321 0.0173833300836502 0.000955035236026614 0.000895399825117865 0.000863025964393559 0.000833911044312329 0.000803567949985956 0.000829501246681907 0.000902436317049594 0.000878429587131167 0.000852164020839733 0.000746928721412387 0.000560104959323124 0.000903706265976984 0.000981695676868429 0.00100752747915282 0.000975961125408725 0.000944905347999956 0.000919579917261879 0.000876224254351659 0.000888497969119597 0.000877141035870319 0.000939628235044954 0.000951528127903955 0.000964063776124865 0.000917118112739012 0.000869591897316917 0.000790668862042179 0.00095766680682113 0.000843847561949854 0.000630892943408316 0.000509688138050208 0.00080344501856765 0.000799884327732227 0.000645369684317125 0.000511028417024894 0.00103685457413218 -0.000742352333830548 -0.000835272516550816 -0.000841549448819063 -0.000483090588405961 -0.000288313696340142 -0.00015147702850658 6.80466444989176e-05 0.000129761550209929 0.000221023964055428 0.000301998105119962 0.000381797076038196 0.000441016259748514 0.000459178891203926 0.000598248069145037 -1.31205884375389e-06
"Immunityfull_367-427" 0.000768126379004895 0.00066467401520011 0.000889763836553843 0.000904564197140254 0.00110121797492088 0.00116339501812068 0.000974996303832072 0.000734634311472676 0.000642658597795219 0.000616845934423411 0.00110432737155815 0.00112318707726461 0.000979137475272141 0.000955035236026614 0.00959646020896186 0.000910871141896521 0.000782746296059163 0.000755931370862705 0.000719264824889762 0.000898848650813353 0.00100511144740322 0.000905033612208551 0.000739692076592242 0.000689094188989153 0.000641541567364561 0.000833649913542351 0.00108934783809972 0.0011165925585014 0.00101156842665577 0.000890647072438138 0.000895677494509025 0.000864001101638625 0.000811672280702858 0.00080752268311296 0.00104564287814462 0.00103709116299805 0.000947614531698572 0.000827522645376939 0.000762734363654395 0.000858732444479179 0.00111109884375438 0.000624551488642105 0.000631427121798131 0.000606005061129887 0.000797156285410452 0.000630250909384603 0.000614368893968563 0.000602607805800581 0.00116815581836922 -5.68268271144517e-05 -0.00040960057794169 -0.000468987326504528 -0.000180203642187564 -0.000104963757909948 -5.26911994095241e-05 6.93672438178516e-05 0.000132498510397985 0.000231552434173039 0.000320091335059093 0.000397254660179348 0.000473787785523799 0.000507961943239825 0.000662843821969349 1.43658792778784e-05
"Immunityfull_428-488" 0.000770346229297 0.000585303130680001 0.000923746755161682 0.000860456290372757 0.000877633303283192 0.00088518749503708 0.000928819876816936 0.000892239014794424 0.000640098144391278 0.000544574049621385 0.000850391312385385 0.000900001869210998 0.000981343601518709 0.000895399825117865 0.000910871141896521 0.00748697628916401 0.000822114274370289 0.000852444274905939 0.000749963497824277 0.000784120923598838 0.000922837717817342 0.000931689206819358 0.000823576439551249 0.000641404101303045 0.000562744226985744 0.000844139600977327 0.000880658911472541 0.000985775158363035 0.000967959262463024 0.000908011868302318 0.000835637148905905 0.000860462650679562 0.000798225534203363 0.000819011172228491 0.000853889035337516 0.000958087913321635 0.000922515936721212 0.000847642138100053 0.000696090701848187 0.000680746661242407 0.000912706170843762 0.000732254877195785 0.00056678274559749 0.000547609500049632 0.000902183329886187 0.000727674744670055 0.000568933659131907 0.000535998404640553 0.000944075955267153 0.000194223242080608 -3.38262260713553e-05 -0.000112957732477797 4.26624799826924e-05 5.21693758076938e-05 4.30208008983144e-05 1.6765110663963e-06 1.86846507665203e-05 8.2649079197605e-05 0.000143579389717485 0.000192290664602983 0.000228216276551065 0.00024476148685688 0.000389848979827262 3.29398667459652e-05
"Immunityfull_489-549" 0.000876585001203306 0.000913148063690454 0.000788695306664739 0.000841269250576445 0.00072255253577792 0.000674358227019973 0.000730773292760567 0.000875335438468099 0.00100202928507291 0.000827585803243742 0.000674931982211939 0.000689799573858379 0.000780576350976409 0.000863025964393559 0.000782746296059163 0.000822114274370289 0.0095399194504592 0.000879639860769585 0.000918000895128996 0.000798358067149436 0.000751708079513171 0.000812920946611583 0.000938582708889026 0.000966256909639785 0.000823753591385773 0.000908551531057324 0.000766317175173116 0.000763077832007578 0.000819647786520637 0.000900688706909937 0.000911815904765164 0.000882082509136362 0.000948794889491975 0.000891453739967025 0.000751532255147996 0.000749622581187494 0.00082442894135403 0.000904370739480045 0.000964795731401218 0.00080904606956688 0.000698289027440876 0.00101219620946931 0.000910837198082343 0.000779429481047669 0.000801781243644414 0.000970954189466009 0.000924772335402414 0.000787904344976818 0.000789955515343804 0.000224180732899553 7.94330293720656e-06 -7.05999665749623e-05 4.30219344180315e-05 4.78985319668818e-05 3.77637146730248e-05 3.28779706415622e-06 1.51201244417745e-05 6.00975214442599e-05 9.98767297901983e-05 0.00013392713805874 0.000115801143117932 9.21098152292982e-05 0.000182846847099266 4.6150135885044e-05
"Immunityhybridboost_001-061" 0.000805541155236318 0.00071652908808427 0.000848610436792247 0.000828787695292383 0.000709315068224811 0.00068964820996445 0.000800980370615832 0.000940264716399631 0.000858359342423486 0.000642136126417797 0.000669360458376037 0.000702008236271119 0.000825714431074107 0.000833911044312329 0.000755931370862705 0.000852444274905939 0.000879639860769585 0.0918255823195863 0.000868610547929707 0.000755769166375239 0.00078207169402207 0.000853897521237007 0.000905775739001311 0.000786796220194732 0.000630286243892429 0.000856564905934452 0.000710130437248937 0.000750975074823891 0.000818107554385164 0.000859288635414666 0.000805995658875536 0.000807350994111655 0.000836287090981721 0.000848105876724265 0.000708480102101605 0.000752371737500207 0.000803125179164321 0.000821467242858661 0.000764278323560369 0.000612320099767462 0.000698539328022912 0.000975043997406867 0.000735030142454126 0.000606313489531799 0.000894764558539379 0.000936626708458682 0.000762546861482235 0.000617850435182836 0.00052629239113119 0.00012185066946888 2.73618023836436e-05 -1.16245716577538e-05 3.91039157469562e-05 4.35921997387119e-05 3.35598577695937e-05 -2.83759520184833e-05 -3.96851609234435e-05 -5.01161646954243e-05 -0.000109994514894723 -0.000139238395908562 -0.000176293147924204 -0.000218690467631885 -0.000129386212263603 -5.33924407551711e-05
"Immunityhybridboost_062-122" 0.000932819728096206 0.00118398125524424 0.000719524853641132 0.000808104615152216 0.000680390896270626 0.000607184790867206 0.000651870859423005 0.000847917128662972 0.00116368998573373 0.00115912188907303 0.000612364230247919 0.00059636230994412 0.000675842493114652 0.000803567949985956 0.000719264824889762 0.000749963497824277 0.000918000895128996 0.000868610547929707 0.0565565913311867 0.000846394602869142 0.000687707968303209 0.000748870088464224 0.000965490298993208 0.00116241705004026 0.00114656788476851 0.000906426201033011 0.000707093282648897 0.000633474174921759 0.00071291484369901 0.000861369538607018 0.000924174002042654 0.000899992390630735 0.000983022746714858 0.000898551116968835 0.000703877798830707 0.000628654292049438 0.000723918391591993 0.000888610946408868 0.0010594012987155 0.000967327022012256 0.000594926726481518 0.00106794251361779 0.00119806762248523 0.00112001632069975 0.00076151774970208 0.00105256076777661 0.00118794948647974 0.00113936452560545 0.000534522296502435 0.000146932552829435 4.95850755592719e-05 1.01604884693314e-05 4.79565892411594e-05 4.9161264155325e-05 3.7124824457494e-05 -3.3620747266672e-05 -4.71447525208888e-05 -5.38691254058241e-05 -8.78357027970292e-05 -0.000105782901308826 -0.000152578735235606 -0.000214489630299628 -0.000117111533325326 -5.10640984746677e-05
"Immunityhybridboost_123-183" 0.000855075344711929 0.00104448119645299 0.000774673058839879 0.000835907808000518 0.000966340516367922 0.000990382822074571 0.00083732399332905 0.000710811352829332 0.000900541255349625 0.00113695233636414 0.000941527264259212 0.000922027694403738 0.000784778588765038 0.000829501246681907 0.000898848650813353 0.000784120923598838 0.000798358067149436 0.000755769166375239 0.000846394602869142 0.0634466613190414 0.00087246624572991 0.00079342887515326 0.000787850123140018 0.000977870413284036 0.00115407825023111 0.000818276910064935 0.00094303989359315 0.000861101170308813 0.000811982967900384 0.000800446827376852 0.000884951804251292 0.000871090076881922 0.000858472315202357 0.000810629410459856 0.000925869048702947 0.000806639786373175 0.000760607023160994 0.000768487666127499 0.000886997727444089 0.00104729753605771 0.000898796673207867 0.000761931508652943 0.00103929497666227 0.00120499736638638 0.000742911789346767 0.000783623926928437 0.00100799442838808 0.00118202395223087 0.000662885336124347 0.000206413870110169 7.13114966692165e-05 2.59952716986722e-05 6.81051995956921e-05 6.61702057631556e-05 4.89620029168248e-05 -4.06324705458647e-05 -4.9574065919426e-05 -4.22008102977988e-05 -3.84376766186048e-05 -2.13529885477389e-05 -3.42896205978378e-05 -7.05341104073875e-05 5.35556708008386e-05 -4.01657655838936e-05
