"Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "DCCI1" "DCCI2" "DCCI3" "DCCI4" "DCCI5" "DCCI6+" "DCCInodcci" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunityfull_306-366" 0.000303983243369043 0.00024002868448835 0.000312565892870341 0.000423845125642177 0.000612123520311253 0.000254955686590948 0.000287859919104029 0.000246159371599048 0.000250412003826731 0.000326016415230723 0.00533401245910916 0.000462288167269407 0.000610089996097024 0.000268940428554456 0.000320645215532293 0.000425964234101142 0.000248320194576793 0.000274483721499844 0.000290591946427103 0.000258735201537662 0.000318146151879507 0.000358529178780248 0.000274797912472716 0.000344277327082254 0.000251579133302461 0.000293606348448216 0.000300578177228432 0.000342277531890661 -2.12726428550458e-05 -2.55890546594227e-05 -2.51424921602285e-05 -1.84578115963452e-05 7.80828953107307e-06 4.66244781165067e-05 -9.1740424209304e-05 6.03703301182937e-06 1.78989560750202e-05 2.42328459020512e-05 1.61172997316625e-05 -1.28219996001185e-05 -1.75416682955673e-05 -2.39128459282625e-05 -2.64616511570494e-05 -2.63680384081222e-05 -6.38967575260431e-05 -0.000122427976657709 -0.00019185797059274 5.32577412986188e-05
"Immunityfull_367-427" 0.000295944066339371 0.000131374809126438 0.000281011966744854 0.000655275763208882 0.00121497186721631 0.000168010372948405 0.000286424247810863 0.000191860171876102 0.000175390956417464 0.000358912616314536 0.000462288167269407 0.0229594861070105 0.00124536186904944 0.00022028397173487 0.000341243762028037 0.000689025679006086 0.000196290345686202 0.000242181239483006 0.000324801251915681 0.000230969370157618 0.000384982985484233 0.000433210908765776 0.000270183298797551 0.000524373942411778 0.000171304023504803 0.000293509655367438 0.000303930824817685 0.000438406716888052 -2.23928203798016e-05 -2.76570889349943e-05 -2.99001351313766e-05 -3.6738164623987e-05 -4.29277614200593e-06 2.47491426169205e-05 -0.000145847145117283 2.31344500643606e-05 9.94807252167772e-06 1.97243728145464e-05 1.12374719840691e-05 -8.7153078687243e-06 -1.12587512575623e-05 -1.06873455000449e-05 -1.29427793123985e-05 3.00192290568518e-06 -1.20173709663512e-05 -5.5452357471628e-05 -0.000241346345949945 5.77304329989058e-05
"Immunityfull_428-488" 0.000336258643633413 8.43570847101523e-05 0.000202195981931535 0.000905425909131774 0.00577048068224008 0.00011956842342736 0.000235274615876712 0.00022731499271287 0.000130959033683196 0.00033963275016224 0.000610089996097024 0.00124536186904944 1.00546482368554 0.000175528778349759 0.0003245325677791 0.00112734696334086 0.000145737375967899 0.000214931973655176 0.000395089458730505 0.000252941047264334 0.000448721878285676 0.00064969817284007 0.000294460698750353 0.000742976606111486 0.000123859375802265 0.000271297489269247 0.000346653669299954 0.000498701874009064 -2.26187717817343e-05 -3.43204726490525e-05 -3.40831404394746e-05 -5.11653614437641e-05 -8.85633881208378e-06 7.12443634533129e-08 -0.000314767158435529 6.2805485117183e-05 1.01376517662594e-07 2.53040164438684e-05 1.34931238845569e-05 -8.95270931527967e-07 -5.92949655816514e-06 3.27488550639549e-06 3.36999436630479e-06 4.44034175321055e-05 4.35996824407949e-05 -5.90982754805042e-06 -0.000207841097605329 6.31869770084401e-05
"Immunityhybridboost_001-061" 0.000326225411962387 0.000370467443116691 0.000320323020884658 0.000253739923195537 0.000188091091962842 0.000356099362209361 0.000344270902380538 0.000364465157621164 0.000368561205082875 0.000319906801064817 0.000268940428554456 0.00022028397173487 0.000175528778349759 0.100356570586519 0.000318579753383461 0.000253507797169196 0.000369034622409844 0.000354599432575728 0.000345794947088647 0.000369223949135379 0.000332321198316309 0.000287120594878165 0.000359389118151439 0.000322983015010711 0.000370215655609414 0.000344768627479365 0.000337708268615354 0.000318965494664087 -4.59888819102801e-05 -5.5446502220236e-05 -5.32938327216664e-05 -4.16470648182615e-05 -3.20053729523623e-05 5.9310372976403e-06 -5.28385599059191e-05 9.0654031009212e-05 0.000116271344673236 0.000110335532563975 7.32102627591585e-05 -5.4370013959173e-05 -5.6442875560818e-05 -5.15131254784146e-05 -3.30322075986902e-05 1.34564844691549e-05 4.05749601570414e-05 6.78279128665272e-05 0.000159220608755862 -8.99898555628918e-06
"Immunityhybridboost_062-122" 0.000308895586100607 0.000292662632054369 0.00032912040304571 0.000365121666431252 0.000337999868393269 0.000293456896611211 0.000330742492544834 0.000292370445261645 0.000304590936465839 0.00033868962835897 0.000320645215532293 0.000341243762028037 0.0003245325677791 0.000318579753383461 0.0717681523679269 0.000363534012413811 0.000305804547455459 0.000323762184776346 0.000328634016724818 0.000315379175366101 0.000343099878691523 0.000319338604337368 0.000320661815800276 0.000358398229142385 0.000303824093992374 0.000324380137760521 0.000316249148256024 0.000351473441289265 -4.35199298000547e-05 -5.66021862636902e-05 -5.7267284593881e-05 -5.4883869360706e-05 -4.85959739263748e-05 -1.36111960702556e-05 -6.97682326416575e-05 3.87239521259879e-05 5.83276155392926e-05 5.83671282396632e-05 3.92910911661732e-05 -3.89955802607114e-05 -5.05798690566268e-05 -6.03102546572225e-05 -8.61693671375807e-05 -7.15974887854056e-05 -7.33684760920798e-05 -7.27615532199565e-05 -9.22752754412833e-06 -4.51775921391012e-06
"Immunityhybridboost_123-183" 0.000295851993237172 0.00016653285059833 0.000293391849752297 0.000683632146429336 0.00114630372483213 0.000182732827886526 0.000312258370532194 0.000221895924682877 0.000202573374924595 0.000381122750335793 0.000425964234101142 0.000689025679006086 0.00112734696334086 0.000253507797169196 0.000363534012413811 1.0007219039105 0.000220059799954879 0.000274257224418118 0.000370005058305545 0.000260640600626593 0.000414934731029472 0.000414908111584052 0.000292535787208459 0.000568508924902817 0.000188841039155486 0.000307115621634804 0.00030738239416606 0.000446840732337627 -3.82670323785336e-05 -5.68503556424414e-05 -6.22357918873405e-05 -7.17875964614485e-05 -7.1216480554693e-05 -4.30896187162228e-05 -8.13173746249924e-05 1.89184497434182e-05 2.92852797349176e-05 3.27711353373042e-05 2.21565757239794e-05 -2.34824315256643e-05 -3.25516812453072e-05 -3.98858246452101e-05 -6.25232520464934e-05 -5.3949276618935e-05 -8.69406294661575e-05 -0.000132961406159424 -0.000119810988490627 4.25862531344222e-06
"Immunityhybridfull_001-061" 0.000346408916956631 0.000371481497927891 0.000296342399067284 0.000213269237892111 0.000133649630111161 0.000388163194018504 0.000387841171458967 0.000430155894885962 0.000409215491176037 0.000315243651229326 0.000248320194576793 0.000196290345686202 0.000145737375967899 0.000369034622409844 0.000305804547455459 0.000220059799954879 0.33379292963029 0.000387931544431026 0.000381665617426457 0.000438968573896072 0.000360409629112518 0.000286548661817593 0.000441789329670773 0.000397124825167677 0.000415789952170362 0.000382029240836233 0.000367818267903375 0.000351984901881115 -3.7682591425206e-05 -3.56172214347287e-05 -3.18610536817808e-05 -2.27446256754843e-05 -1.18370749041349e-05 1.92738456803633e-05 3.52359113463141e-05 -6.89903500469394e-05 7.34786816271082e-05 0.00010330366581095 5.73010425758858e-05 5.35125816054669e-05 0.00016659936533237 0.000268105531456069 0.000385115100667008 0.000483201195761404 0.000529059347437271 0.000553119829626996 0.000626449924237097 2.41451956302436e-05
"Immunityhybridfull_062-122" 0.000329047115657387 0.000351999648847697 0.000317919992186612 0.000271343456912059 0.000223122645275891 0.000352299741927056 0.000360638445584416 0.000369143880882931 0.000369782492180669 0.000327100874360388 0.000274483721499844 0.000242181239483006 0.000214931973655176 0.000354599432575728 0.000323762184776346 0.000274257224418118 0.000387931544431026 0.0559195292828588 0.000358189962410015 0.000384024149260938 0.000349495317529367 0.000295461167088831 0.00038444591583746 0.000365386644294039 0.000371772885523088 0.000355288439134496 0.000343520028611665 0.000341774273280662 -4.07164142465379e-05 -4.7032795443706e-05 -4.39888326778701e-05 -3.35573447808367e-05 -2.06134752019804e-05 1.41761892002959e-05 -9.93470715352125e-06 8.04753919258605e-05 0.000138051387863338 0.000136525772850959 8.41808144450363e-05 3.11990374482564e-06 6.07770005720105e-05 9.56616858692789e-05 0.00013131857970647 0.000168836451724736 0.000202004550740798 0.000228773857545399 0.000321151362203059 7.92046945924082e-06
"Immunityhybridfull_123-183" 0.000331495713140144 0.000333582890260317 0.00030274729400485 0.000355778763557058 0.000401416168789156 0.000334301614565945 0.000366525820999425 0.000376722934888326 0.000357005179826212 0.000342338908663852 0.000290591946427103 0.000324801251915681 0.000395089458730505 0.000345794947088647 0.000328634016724818 0.000370005058305545 0.000381665617426457 0.000358189962410015 0.0912963124269846 0.000385702186531766 0.000378748755758631 0.000314818550496254 0.000390118025932281 0.000443068373541842 0.000353618194224896 0.000360885433086198 0.00034984867914389 0.000374587733374849 -3.87302751284788e-05 -4.40531911499111e-05 -4.05203193196864e-05 -2.84259026726427e-05 -1.50802875365529e-05 1.60812375964892e-05 -1.31280501848621e-05 -5.61840025492501e-05 3.06940150622669e-05 6.59188777275064e-05 5.1002555373987e-05 -1.3890089190989e-05 1.98330699584097e-05 4.54297939217091e-05 8.39036665144508e-05 0.000142792488343836 0.000178189124613847 0.000200520433403522 0.00029426843256948 8.6666272973191e-06
"Immunityhybridfull_184-244" 0.000342244498184986 0.000365084208983175 0.000298477393406385 0.000247990033013156 0.000251078028408227 0.000373034202804268 0.000382269433233512 0.000411084976264247 0.000399445558644989 0.000324501880189797 0.000258735201537662 0.000230969370157618 0.000252941047264334 0.000369223949135379 0.000315379175366101 0.000260640600626593 0.000438968573896072 0.000384024149260938 0.000385702186531766 0.100432444890621 0.000373243194716207 0.000297314478470833 0.000430995987865191 0.000410722803750465 0.000405821946371718 0.000381945495479894 0.000369146753190766 0.000364348418439523 -3.87736523563203e-05 -3.68914899052042e-05 -3.20304504811328e-05 -1.96382321120909e-05 -7.30583010969001e-06 1.80052639519946e-05 -1.18823972916164e-05 7.41833763044373e-05 0.000122161622944132 0.000132586223051514 8.39537253271649e-05 -4.62140412568845e-05 -1.13187141758515e-05 6.48158534490366e-05 0.000183933712450161 0.000308731764269332 0.000364344684048541 0.00039506484315002 0.000467142568993203 1.70452833037099e-05
