"Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "DCCI1" "DCCI2" "DCCI3" "DCCI4" "DCCI5" "DCCI6+" "DCCInodcci" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunityfull_184-244" 0.00028889862997719 0.000330027978739149 0.000300149649295643 0.000251098935078027 0.00021303301075733 0.000190201771472677 0.000170944336986691 0.000330319743497949 0.000319412894468799 0.000327964902989345 0.00110701562671593 0.00028727464829297 0.000251352259380285 0.000216893739239435 0.000197268934776277 0.00018158246405007 0.00032390659548109 0.000295175901855466 0.000237118183541623 0.000213208416036977 0.000197489477468672 0.000184337421301651 0.000328358000829635 0.000318114090391749 0.000306649855557526 0.000299003748972123 0.000263756316139425 0.000244632112385654 0.000218850879430916 0.00020632861470545 0.000200147296897512 0.000320153821611487 0.000269877908785979 0.000224267507888838 0.000263314675373135 0.000325490550162521 0.000319880467132317 0.000316017756907345 0.000278939030016219 0.000178072861193981 0.000172383039184629 -6.56934860770863e-06 -3.31024679894211e-06 1.02143713827708e-06 6.07802045886717e-06 1.20701259720669e-05 2.79382820669867e-05 -5.25375075361102e-05 7.4007423810199e-06 4.49488351527561e-05 3.76324372442778e-05 2.269235272321e-05 -3.80510882332369e-06 1.94311935844924e-06 1.16351530474281e-05 2.28357131902847e-05 2.41470654840869e-05 3.65984248351322e-05 4.51267358919515e-05 8.08363004756122e-05 -5.2505599229109e-07
"Immunityfull_245-305" 0.000303316544300323 0.000274296626296419 0.000346368141821332 0.000418545899939423 0.000348580978653965 0.000360945293488716 0.000369733096788673 0.000257514941360915 0.000305973939927226 0.000257291256253377 0.00028727464829297 0.00235348032721109 0.000338739747871646 0.000345095384489646 0.000360366066431176 0.00035420921889372 0.000299003449607756 0.000367191237150073 0.000376973860139469 0.000346373040521882 0.000357867775046468 0.000364068870439239 0.000285346919363621 0.000317737211114619 0.000304852015238316 0.000307721302075124 0.000357969378545943 0.000337412888474698 0.000344206027587114 0.000355146589828092 0.000348092378812274 0.000306949959359053 0.00037028829711161 0.000335205195871211 0.000299996857900578 0.00027273310725115 0.000308720487856962 0.000301267386879863 0.000349048241721117 0.000366224479726885 0.000371733769591025 -9.66995969909581e-06 -9.95618291957866e-06 -7.7356299681915e-06 -4.03749185366325e-06 1.87318747948455e-06 1.70160616251421e-05 -8.61424908028495e-05 2.51975263549263e-05 4.5324138649968e-05 4.08615819870969e-05 2.52922990500591e-05 -1.52977036040132e-05 -2.11010512679838e-05 -2.30898845036266e-05 -1.93609911860951e-05 -2.2789142469926e-05 -3.75550470038439e-05 -4.57492749937566e-05 -1.14405723632864e-05 1.10447483519413e-05
"Immunityfull_306-366" 0.000365042054321054 0.000226259875308441 0.000276758638613159 0.000451376319675334 0.000719563285477168 0.000656012229719518 0.000631239742691545 0.000220358073913967 0.000248831963573369 0.000229836913078644 0.000251352259380285 0.000338739747871646 0.0054441144531893 0.000642039266785404 0.000640521505144938 0.00067364553637177 0.000252056724995662 0.000315190304071947 0.000601513960992884 0.000681229503368958 0.000638251124635666 0.000619149498025193 0.000239107060873831 0.000265274254370142 0.00032426406869452 0.000357147858031396 0.00045344723711465 0.000572494515586173 0.000633217545232475 0.00063512461844348 0.000657962274243858 0.000262693785413626 0.000458767966245823 0.000640962379593834 0.000473428472145361 0.000246086228246025 0.000252090828685571 0.000279200512466866 0.000415928610837726 0.000640957798798682 0.000614000888672489 -9.50237343251794e-06 -1.03483766061386e-05 -8.06793418950989e-06 -7.23400150764082e-06 2.40492246088908e-07 1.46302325389226e-05 -0.00010670949288966 -2.54872125490904e-05 1.22147999676774e-05 1.73960492342023e-05 9.75332094727154e-06 -4.23320374816072e-06 -3.58424240218168e-06 -3.95540530119732e-06 -3.7182291409129e-07 1.95236299140165e-06 -1.93683686480034e-05 -4.14075730093331e-05 -7.61027649623287e-05 1.82692203834085e-05
"Immunityfull_367-427" 0.000442895605269942 0.00018321382926935 0.000229009472502421 0.000422193885555176 0.00103993181964224 0.00118215696953976 0.00120965097709495 0.000168299203435386 0.000196020159913196 0.000178716473488902 0.000216893739239435 0.000345095384489646 0.000642039266785404 0.00667193914831524 0.0011556309335965 0.00117018506095071 0.000221917518116291 0.00028415987223314 0.000741137961900171 0.00111039243811191 0.00118326163894221 0.00120155035536361 0.000192711472105774 0.000219109626633701 0.000316310606986241 0.000427221369364221 0.000629014760987101 0.000794179476425325 0.00106553960019098 0.00114684549770106 0.00115831800181557 0.000213450759284031 0.000506752050864818 0.000994880250423473 0.000734092957066228 0.00023106883421625 0.00020277344253276 0.000238444612712935 0.000489256066402352 0.0012079697574009 0.0011802144981603 -9.17833088814958e-06 -9.29125032424088e-06 -6.4560207900731e-06 -3.93974649541169e-06 2.98867778318461e-06 1.90129637658061e-05 -5.98665577365097e-05 2.33330747331836e-05 4.97843630266029e-05 4.2305512457269e-05 2.40635849009682e-05 -1.13446846318812e-05 -1.26022800073913e-05 -1.25850327786055e-05 -1.22678870308081e-05 -1.28146885024627e-05 -2.60644359090115e-05 -3.65497811664816e-05 -3.49758094468788e-05 8.96668043791722e-06
"Immunityfull_428-488" 0.000466110204333743 0.000183694831384494 0.000247502425801759 0.000440818523102823 0.00105968653479503 0.00145768314864498 0.00173858263655186 0.000142151244768223 0.000165228619152334 0.000144433589120267 0.000197268934776277 0.000360366066431176 0.000640521505144938 0.0011556309335965 0.0155923531934319 0.00144130836674358 0.000217901298431817 0.00028784702323759 0.000755056296341377 0.00121049894106944 0.00150505239287027 0.00171027363975588 0.00016164927660611 0.000196673705480665 0.000289785750669334 0.000431007831887934 0.000690675030343757 0.000851601899565315 0.00119834416156945 0.00148040737024458 0.00139409148394629 0.000180269740411413 0.000472004551106626 0.00108265939757987 0.000799364054332395 0.000231718209050635 0.000177655833849189 0.000213466917273619 0.000475033952409667 0.00157425403469777 0.00192343432612103 -1.32284024034125e-05 -1.71738464761549e-05 -1.60500016975745e-05 -1.29936462677152e-05 -5.77180192148906e-06 1.20378821694248e-05 -6.20362215218479e-05 6.86367866450463e-05 6.93576242625101e-05 6.31422449336138e-05 3.96229769617039e-05 -3.26052842399573e-05 -5.08118071548711e-05 -6.34797048131347e-05 -7.16804936775999e-05 -8.07015962273995e-05 -0.000119960717397154 -0.000146360743949115 -0.000133848502063992 2.15086833746e-05
"Immunityfull_489-549" 0.000461511174953214 0.000166136164682604 0.000254358081504057 0.000466210294173998 0.00110320300833311 0.00144750357453656 0.00165796600558088 0.000130008791604776 0.000152604237182487 0.000130923988855875 0.00018158246405007 0.00035420921889372 0.00067364553637177 0.00117018506095071 0.00144130836674358 0.0514715981666641 0.000200636658774296 0.000283363680594448 0.000774995355120258 0.00122567956224356 0.00145473577514595 0.00160428952638552 0.000147478848387954 0.000182303217101686 0.000281434630034183 0.000420082338613049 0.000677620941349116 0.000852643855677933 0.00119474900391208 0.00140272997909226 0.00138873148610528 0.000167102026162031 0.000476952443430917 0.00108523812725551 0.000794440673740335 0.000210129623783601 0.000165574449593653 0.000204750531109193 0.000479661617735652 0.0015464749723331 0.0016814177287249 -1.49903285298753e-05 -2.10041052696095e-05 -1.99330707677559e-05 -2.3320825578179e-05 -1.22692479465019e-05 7.54591513525025e-06 -0.00010214897403059 5.19580600955413e-05 4.33767352905093e-05 4.28221714989078e-05 2.31384533316492e-05 -1.92029368381228e-05 -3.04171607221375e-05 -4.52313137744347e-05 -4.86393539733973e-05 -4.60613548310493e-05 -0.000116672803358569 -0.000191212823074877 -0.000317199224819079 5.05750477079594e-05
"Immunityhybridboost_001-061" 0.000285539152285716 0.00033329215585285 0.000319430202169777 0.000271415655473219 0.000220465439242826 0.000213019985720781 0.000202333151892435 0.000318748342496202 0.000315468187259291 0.00030836178012808 0.00032390659548109 0.000299003449607756 0.000252056724995662 0.000221917518116291 0.000217901298431817 0.000200636658774296 0.00654154362827508 0.000312016616779605 0.000246932749845797 0.00022225319569725 0.000219174439613613 0.000212586336607508 0.000322765361418026 0.000320712051442087 0.000300295890424737 0.000297859310513495 0.000271615625028373 0.000245913097490684 0.000223646193671248 0.000222898655407619 0.000213427177636163 0.000316926162713382 0.000268729930520107 0.000220875214434348 0.000257240090131115 0.000320640917123298 0.000319246985523677 0.000313436912538511 0.000281799227829489 0.000207184552042157 0.000208367050685467 -2.08164782719591e-05 -2.24598545965874e-05 -2.05967309953546e-05 -1.70531116383374e-05 -1.25517624649443e-05 3.82423010821508e-06 -3.28155891491153e-05 4.64835579622797e-05 6.54239823422064e-05 5.74904438482515e-05 3.45072391934277e-05 -1.51917442301423e-05 -1.31409812994088e-05 -1.24802037718365e-05 -2.12700155074348e-06 7.77989830053549e-06 1.79282224735124e-05 2.70263905638313e-05 6.55216761945286e-05 4.82489243375317e-06
"Immunityhybridboost_062-122" 0.000287952333751894 0.000288767533351516 0.000365101408055392 0.000413517214637343 0.00030218039876669 0.000292068515214821 0.000288744963786773 0.000261999337426905 0.000311994554295363 0.00025316253454833 0.000295175901855466 0.000367191237150073 0.000315190304071947 0.00028415987223314 0.00028784702323759 0.000283363680594448 0.000312016616779605 0.00587197550287839 0.000348921590969598 0.000286555147294441 0.000285361875688962 0.000283305207839146 0.000291984795987586 0.000326092607744286 0.000299273546033635 0.000297249366118327 0.00032999070052122 0.000298663028512807 0.000279490515093028 0.000281318164870625 0.000275836673817302 0.000311865028983886 0.000350269292342305 0.000273327564993552 0.000257254447268199 0.000276119014441603 0.000315662386515802 0.000304599280343972 0.000335146744876816 0.00029350406053968 0.000294054974213727 -2.20786452100512e-05 -2.73776240447441e-05 -2.79239966524953e-05 -2.90271458300834e-05 -2.84481901843738e-05 -1.26110925448622e-05 -4.61129351098344e-05 4.77656003907799e-05 6.09705594268745e-05 5.44357536562958e-05 3.26636596896635e-05 -2.23274564022772e-05 -2.6246902476395e-05 -3.41645815951506e-05 -4.16286761254455e-05 -3.28662367794745e-05 -3.92176236997291e-05 -4.01041564574409e-05 -1.33058678748738e-05 9.86333485167967e-06
"Immunityhybridboost_123-183" 0.000378491032349026 0.000209559097301124 0.000288417479607242 0.000533239197492796 0.000836537146861021 0.000772896123820366 0.000740272044705179 0.000184126659935911 0.00023168301964566 0.00019498771560273 0.000237118183541623 0.000376973860139469 0.000601513960992884 0.000741137961900171 0.000755056296341377 0.000774995355120258 0.000246932749845797 0.000348921590969598 0.0109080286253246 0.00079528765934957 0.000754774358970931 0.000731142957174037 0.000215525330935583 0.00026505002020544 0.000332949554396049 0.000374298123118808 0.00051672890574375 0.000647175555046254 0.000732286916173735 0.000748089267029587 0.000763657208195701 0.000253437665958695 0.000517216767631335 0.000731093848395196 0.000516876159528443 0.000225336419104426 0.000242835498433765 0.000274567555263352 0.000455599976730984 0.000758406456297723 0.00072135910521332 -2.33704695431616e-05 -2.88350097059916e-05 -3.04381380139531e-05 -3.20217612241182e-05 -3.10252912645007e-05 -1.73852838185663e-05 -4.04394814103745e-05 5.51726962929235e-05 6.47209928736402e-05 5.846301259389e-05 3.46434524199684e-05 -2.00393650347457e-05 -2.38447629283805e-05 -2.89529738513777e-05 -2.7789119601186e-05 -1.90336386254118e-05 -3.67914178855541e-05 -4.87107794920243e-05 -3.44222492766996e-05 1.88427474596634e-05
"Immunityhybridboost_184-244" 0.000450793607927926 0.000184744331437538 0.000228299355857123 0.000438693777989121 0.00112523182676647 0.00124307297296219 0.0012533621626514 0.000156500415362895 0.000180601571822967 0.000165371427922013 0.000213208416036977 0.000346373040521882 0.000681229503368958 0.00111039243811191 0.00121049894106944 0.00122567956224356 0.00022225319569725 0.000286555147294441 0.00079528765934957 0.00859008909769261 0.00123987809239355 0.00124630602680167 0.00018079182286253 0.00021195442981154 0.000320693102259775 0.000438026921756751 0.000650929660298279 0.000839991840167926 0.00111877441933869 0.00120078618081661 0.00121512065764448 0.000201602339064409 0.000522680251875732 0.00104703973358088 0.000763195404929896 0.000225642485990194 0.00019237547418948 0.000234979425054244 0.000502692106250814 0.00126293073774913 0.00122405378503551 -2.39493887377504e-05 -2.85101350810327e-05 -2.8315981625722e-05 -2.62182816290877e-05 -2.16647609205846e-05 -4.40155763597761e-06 -3.2329872851091e-05 6.96494175488414e-05 7.72981575302614e-05 6.77330241517398e-05 4.04394137558341e-05 -2.4494186663786e-05 -2.85741656279175e-05 -3.50324241723378e-05 -3.28728080703956e-05 -2.37006499255756e-05 -3.66435970714912e-05 -4.38668715377068e-05 -2.25244061258276e-05 1.34607819988229e-05
