"Immunity_other" "Immunityb45_001-061" "Immunityb45_062-122" "Immunityb45_123-183" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityboost_428-488" "Immunityboost_489-549" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridboost_367-427" "Immunityhybridboost_428-488" "Immunityhybridboost_489-549" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecbnew_001-061" "Immunitysecbnew_062-122" "Immunitysecbnew_123-183" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "Immunitysecboost_123-183" "Immunitysecboost_184-244" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunityboost_367-427" 0.000288273710871221 0.000439520044069251 0.000574037121801216 0.000491947596888627 6.03958855544965e-05 6.58637701093267e-05 8.3543754221878e-05 0.000149199969625866 0.000188020083462285 0.00028312782882921 0.00142567889299973 0.000521559383867384 0.000475561284019064 6.21258743831206e-05 6.65508555493414e-05 6.67820133693739e-05 6.92212412759567e-05 8.53756676470797e-05 0.000124502318719358 0.000193792294437463 0.000235843694725241 0.000342741407763008 0.000105124521685468 0.000122238919107161 0.00020125333794132 0.000205023795159301 0.000227774761677406 0.000373053770810275 0.00054990843951829 0.000513798430728131 0.000474911054792994 7.45754344751635e-05 7.25510690161524e-05 9.05785382811964e-05 0.000117369434790638 0.0001611082385472 0.000241470742723973 0.000337529733478889 0.00037721624206699 0.000411575788992916 8.70173226393705e-05 0.00013983906351858 0.00019320185237559 0.00020181557458958 0.000157782708448413 0.000150462519097118 0.00013334614064348 0.00012493374067627 0.000431069709377313 0.000577723361965053 0.000493258384471744 0.000230982103143521 0.000424703528818487 0.000555902728091939 0.000506192522560375 -8.8135614358291e-06 -2.02177122521495e-05 -9.69157168374156e-06 7.23408267383664e-07
"Immunityboost_428-488" 0.000342550908713955 0.000312941433860715 0.000723446236682429 0.000901353019144462 6.00243043575681e-05 6.55345092301908e-05 8.23937528684936e-05 0.000136515092658484 0.000161954151094435 0.000213062977688267 0.000521559383867384 0.00191447412230957 0.000921784894932445 6.16615893721942e-05 6.59992793464547e-05 6.59365825871789e-05 6.75909114734016e-05 8.08475467315639e-05 0.000109750062524586 0.0001823385703802 0.00022270970475392 0.00028209669582082 9.54041456911651e-05 0.000118345164993872 0.000232001203490228 0.000211360599485186 0.000191293005359655 0.000331895230584378 0.000674282412277098 0.000867856937767376 0.000920601789686187 7.27405076990386e-05 7.09343348553195e-05 9.05579434113306e-05 0.000111757488279411 0.000138412700057095 0.000210239537180763 0.000344654573447489 0.000478924095271633 0.000462790546450399 8.34079106302561e-05 0.000140613681042368 0.000181511660940275 0.000166215514781314 0.000149221903960655 0.000169260755409843 0.000169543791393945 0.000129002830487724 0.000299251694344258 0.000713772848702921 0.000901639591030809 0.000185935041664649 0.000333922856830651 0.000722549615491249 0.000883971075662734 -1.02966981666415e-05 -2.15932680392112e-05 -1.10896198999867e-05 6.10014892429711e-07
"Immunityboost_489-549" 0.000354397044107187 0.000297721459801374 0.000671764175879404 0.00111023383639609 5.57789079375243e-05 6.52272350447115e-05 8.53991476294554e-05 0.000134083936196382 0.000159803949000033 0.000208226445438623 0.000475561284019064 0.000921784894932445 0.0160670381656195 5.90639598904583e-05 6.34933362403408e-05 6.18879743972629e-05 6.35449932101908e-05 7.93942953087669e-05 0.000110050220821764 0.000175891758383865 0.000225913915426098 0.000271740357252451 9.2715817974994e-05 0.000114405748377192 0.00023934513459766 0.000217451717534147 0.000187944073076516 0.000319794689971793 0.000676052328089442 0.000965489758914455 0.00136412804785301 6.96562257081001e-05 6.75699020769783e-05 8.74886469264698e-05 0.000108792242573193 0.000134424006193514 0.000201975322793288 0.000341710946068745 0.000490994457472414 0.000492930056517105 8.00193927632973e-05 0.000138331253188234 0.000180379081392537 0.000160383920257871 0.000141778637391877 0.000171886706701833 0.000173245274361166 0.000136673598618564 0.00028466410108081 0.000654392424014656 0.00111077206862223 0.00018399101901608 0.000312396886631984 0.000719393026701799 0.00103940903601667 -1.91135584726184e-05 -4.01008485528847e-05 -3.63341815557037e-05 -6.47912131938122e-07
"Immunityfull_001-061" 9.77859022496071e-05 6.21598878750326e-05 6.17563663722061e-05 6.15020953711449e-05 0.000195593556447068 0.000169396018928693 0.000126746862270511 7.52516898437471e-05 6.65726928266054e-05 6.2679376116592e-05 6.21258743831206e-05 6.16615893721942e-05 5.90639598904583e-05 0.00354405569431347 0.000165357776469492 0.000181188546005545 0.000177939733603484 0.000149518720582048 0.000121715209333302 7.66638204657126e-05 6.61613511162838e-05 6.30088171860357e-05 0.000154813795101421 0.000142937683359448 9.16640802925208e-05 6.95972722843385e-05 6.57112309448223e-05 6.28889300485497e-05 6.25478684820754e-05 6.19441111155044e-05 5.94513008950872e-05 0.000173376879873704 0.000170654319457396 0.00014942957454597 0.00012800978253375 9.84743378092544e-05 8.19209632110569e-05 6.98428209964232e-05 6.45550917151289e-05 6.3178800164189e-05 0.000157827964700257 0.000105679811464607 7.24455917946207e-05 9.40055922215385e-05 0.000145871542726316 0.00014868959267365 0.000146761809847075 0.00011098801143085 6.20208065182774e-05 6.15267751168824e-05 6.1155246612289e-05 6.35356460465076e-05 6.16048565889198e-05 6.09168243420849e-05 6.05674572128e-05 3.51852901374517e-06 2.16441113641772e-07 1.53463429470149e-05 1.22638430166664e-06
"Immunityfull_062-122" 9.88342561882221e-05 6.67160101054418e-05 6.61666427042408e-05 6.58071095862661e-05 0.000163998036808137 0.000172080462861861 0.000162595974780905 8.51806726825583e-05 7.28444576367296e-05 6.77084716794692e-05 6.65508555493414e-05 6.59992793464547e-05 6.34933362403408e-05 0.000165357776469492 0.00282488375410548 0.000160993003585937 0.000160291244767885 0.000158521814675998 0.000133848084728746 8.72534468248302e-05 7.19804786340233e-05 6.79863375239175e-05 0.000148894886769555 0.00015309162738676 0.000110430596923602 7.70069170736006e-05 7.14738955855443e-05 6.76715798472311e-05 6.6930493212679e-05 6.62896752362571e-05 6.38511588989124e-05 0.000162347851764042 0.000166572081122831 0.000153949855901708 0.000128199171200995 0.000107033499751448 8.85453108587061e-05 7.69567851727177e-05 6.96138414938285e-05 6.79415658060865e-05 0.000160321472629776 0.000125884520360342 7.99100160626692e-05 9.11962607771147e-05 0.000135369606475368 0.000150645190820755 0.000147561246976134 0.000127802088772506 6.66901524714304e-05 6.60461727775254e-05 6.55863806901035e-05 6.91099004692806e-05 6.63778714546972e-05 6.54473421703422e-05 6.50623090503675e-05 2.91557255631499e-06 -1.55053822365406e-06 1.48237127397437e-05 -5.48920398600675e-07
"Immunityfull_123-183" 0.000101237615082944 6.73761755724179e-05 6.61112975198351e-05 6.58534006776485e-05 0.000191312853441496 0.000160259815831239 0.000134808319225085 9.31686318796237e-05 7.69425442342902e-05 6.90540485071851e-05 6.67820133693739e-05 6.59365825871789e-05 6.18879743972629e-05 0.000181188546005545 0.000160993003585937 0.00183353175447778 0.000174924723956891 0.00014802240642867 0.000125122221436361 8.87933717271505e-05 7.55830240757642e-05 6.95745430488763e-05 0.000151643194134129 0.000140065230590455 0.000102595014706744 8.23828224490901e-05 7.49676401258055e-05 6.89547134294114e-05 6.74484843266282e-05 6.64727779513798e-05 6.25677924658057e-05 0.000169952445359901 0.000164107945717414 0.000153534800027658 0.000132742817315904 0.000105250008662052 8.92320503321146e-05 7.82205461125256e-05 7.18332077364056e-05 6.9439534862991e-05 0.000153848210343961 0.000115353071285874 8.47225282305181e-05 0.000102168615746551 0.000142868703540478 0.000145707873456176 0.000145578091120047 0.000116874777414009 6.7140797643365e-05 6.57210718026695e-05 6.52208896421496e-05 7.11777597211887e-05 6.66431761195802e-05 6.48524760203785e-05 6.43415533237752e-05 5.94899701447644e-06 3.89671251076086e-06 2.3046526181379e-05 8.20105770310864e-07
"Immunityfull_184-244" 0.000102461468791333 7.0697109718378e-05 6.79750170646719e-05 6.73990083358275e-05 0.000184751498321789 0.000162095812436661 0.000129485680179376 9.54961050934537e-05 8.3074729641546e-05 7.37176963907835e-05 6.92212412759567e-05 6.75909114734016e-05 6.35449932101908e-05 0.000177939733603484 0.000160291244767885 0.000174924723956891 0.000780193645318359 0.000147662774843091 0.000125137143675508 9.23690911938898e-05 8.05832105925354e-05 7.40844815943573e-05 0.000151140748935477 0.000141094190621768 0.000101927248589191 8.66051525570481e-05 8.04807745465644e-05 7.2730061049097e-05 6.9421266434072e-05 6.80293809357269e-05 6.41931313839834e-05 0.000166811123124348 0.000164167145537119 0.000149236864168672 0.000132652608319704 0.000108258333952177 9.23308952401754e-05 8.16983053567426e-05 7.5222342517175e-05 7.28591681181344e-05 0.000154086455700692 0.000115241848615293 8.85000431803128e-05 0.00010388320017981 0.000142896710135056 0.000145077467812875 0.000144234722568856 0.000118781138724322 7.04660991298305e-05 6.75349575779041e-05 6.67147839898755e-05 7.6616185938039e-05 7.00058297652963e-05 6.66921604277937e-05 6.58411403726722e-05 5.30924368675104e-06 3.78490611170595e-06 2.24286805502086e-05 2.75479369564262e-06
"Immunityfull_245-305" 0.000110602773928993 9.10646170373761e-05 8.20068825635729e-05 8.01158348738394e-05 0.000147618943101352 0.000157577521888069 0.000160186254604387 0.000108668169299786 0.000104303850120446 9.89306296301626e-05 8.53756676470797e-05 8.08475467315639e-05 7.93942953087669e-05 0.000149518720582048 0.000158521814675998 0.00014802240642867 0.000147662774843091 0.000961828637864796 0.000137713583358117 0.000110261031978215 0.000101907024684457 9.59440026810676e-05 0.000142916356137593 0.000147131710279221 0.000123337750746878 0.000103584461312756 0.000102080875844328 9.39668419375259e-05 8.31926559092546e-05 8.06081842554367e-05 7.93876404467656e-05 0.000149833037234305 0.000153066621406111 0.000148181151983757 0.000132339007447704 0.000122437181034937 0.000109753892499959 9.89482306426423e-05 9.23852554396717e-05 9.06097750743345e-05 0.00015057880750024 0.000134189672563061 0.000106496763184315 0.000110775574417892 0.000133048212379454 0.000142989555385032 0.000141398215149941 0.000134785140464999 9.15011380409235e-05 8.20143063246814e-05 8.01234473996872e-05 0.000101525317018859 9.15149315734445e-05 8.17915432421897e-05 7.986385411214e-05 -2.66866695302236e-06 -8.79701461669846e-06 7.3908164610565e-06 4.06849857253014e-06
"Immunityfull_306-366" 0.000129897772746708 0.000136377566439584 0.000114387609583427 0.00010785489674907 0.000117624957806622 0.000132477688443972 0.000158594381864283 0.000164505704345134 0.000144276322218494 0.000139683503769046 0.000124502318719358 0.000109750062524586 0.000110050220821764 0.000121715209333302 0.000133848084728746 0.000125122221436361 0.000125137143675508 0.000137713583358117 0.00177222572750703 0.000150249705593801 0.000140751778302253 0.000137820762657444 0.000129978738216899 0.000137614672200235 0.000150258618111954 0.000148372462093753 0.000140660820475551 0.000133412289617518 0.000116592822556973 0.000108735680156938 0.000109382858633552 0.000126540866370091 0.000129961773823729 0.000138323488806924 0.000139866108840876 0.000142544590882473 0.000140593899575974 0.000135530889551162 0.000126829278595163 0.000128315210086174 0.000134788199211072 0.000151273712970366 0.000147445049443442 0.000136410110656876 0.000126090731921928 0.000130193210859066 0.000133465339914462 0.00014777886703247 0.000137495256639203 0.000115093845537936 0.000108521434282328 0.000140480361838498 0.000134883817960182 0.000115753887402217 0.000109372942106481 -4.7841929076362e-06 -1.43331042211861e-05 -1.04067650197612e-05 4.41916018950795e-06
"Immunityfull_367-427" 0.000171679682520786 0.000201263818838367 0.000188080653484244 0.000178784238706035 7.45942598040525e-05 8.32018379123206e-05 0.000120755959621713 0.000259016888783102 0.000251579012823504 0.000220335700662303 0.000193792294437463 0.0001823385703802 0.000175891758383865 7.66638204657126e-05 8.72534468248302e-05 8.87933717271505e-05 9.23690911938898e-05 0.000110261031978215 0.000150249705593801 0.00217636158458612 0.000235641737087068 0.000219201197599324 0.000111854516438093 0.00011371193099663 0.000189625610161247 0.000247206910263674 0.000239722288166636 0.000209848930274157 0.000188613135629934 0.000181417804095138 0.000175826474696214 9.00729594718946e-05 8.88211854479751e-05 0.000118165700382664 0.000159803593086771 0.000194707296789509 0.000204950465935295 0.000214901500649839 0.000210417491050349 0.000206493740563697 0.000102365266886306 0.000177093165993926 0.000239686576446299 0.000204631681627412 0.000121669266214625 0.000105521252637415 0.000114048878297255 0.000171604440703732 0.000201950881367921 0.000188456279000614 0.00017885148458963 0.000234667002438348 0.000204032620614113 0.000186988301167401 0.000179962457758991 2.77631710255065e-07 -5.48855756813509e-06 4.50707989489628e-06 3.58044638492881e-06
