"Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunityfull_184-244" 0.000287876139189121 0.000320640827935181 0.000292681510416199 0.000249818424862346 0.000216094536820485 0.000192273081094087 0.000175214028101822 0.000323853126441353 0.000316878526309603 0.000322829567319496 0.00111659225410371 0.000284569963146804 0.000253835694757325 0.000223194976695442 0.00020239182156319 0.000188767239549412 0.000318578648169332 0.000292105562510105 0.000240776191097501 0.000218998259802525 0.000202440155353865 0.000191208803716208 0.000325449066112229 0.000314338748329541 0.000304580433089247 0.000298489835671379 0.000266817965118842 0.000249972205582783 0.000226629648793339 0.000213558396769502 0.000208935881788672 0.000312160751455375 0.000269512284993127 0.000228165342475443 0.000262510633114212 0.000317969957266557 0.000312303144555765 0.000309609369801947 0.000278071825153938 0.000179195899453939 0.000172938831107406 0.0002535968397003 7.2786551228699e-05 -2.12455007197371e-06 -1.99416114513305e-05 2.96384292591798e-05 1.41765868156521e-05 7.68923804624778e-06 -2.4993249093856e-05 -1.57064973457038e-05 4.07908430555276e-06 2.87014345451501e-05 3.17312077534248e-05 3.88247635798581e-05 2.94586607895102e-05 7.39467625241771e-05 -1.98530607149335e-07
"Immunityfull_245-305" 0.000299795895348571 0.00026831650134958 0.000338036988730208 0.000416219777658777 0.000356618149831752 0.000370296063753195 0.000383491916774823 0.000252526249577732 0.000298739393482144 0.000256092385398562 0.000284569963146804 0.00241475235019596 0.000342293407791068 0.000355149362290624 0.000370880919858807 0.000367334923835743 0.000293890752452643 0.000361564234275252 0.000381622278772144 0.000356498848363537 0.00036799890989491 0.000377294657883042 0.000282353137200482 0.000314512746033791 0.000303163004260845 0.00030828013300559 0.00036054472095216 0.000344440890113813 0.000355395418518748 0.000366801322671231 0.000361599491888888 0.000299070723245431 0.000366293334014871 0.000341302502209866 0.000299876696953527 0.00026602230362291 0.000301865181729911 0.000294820337907225 0.000343138594678771 0.000376571207515359 0.000381949210603999 0.000233448406383767 7.29034575020461e-05 2.50698144107845e-05 -1.59743767153824e-06 3.17077340720836e-05 2.09331801469476e-05 1.26518788782806e-05 -3.38001772428244e-05 -3.63014457703912e-05 -2.88030771695218e-05 -1.21302667508715e-05 -1.49034819401257e-05 -3.66907035815888e-05 -6.75718706551734e-05 -2.18937058758094e-05 1.10777830494036e-05
"Immunityfull_306-366" 0.000355883904268756 0.000226066622537132 0.000276210771540896 0.000447870690820342 0.000716318518409937 0.000658761830949309 0.000635987352755042 0.000221545561368836 0.000248584019588205 0.000232908614871823 0.000253835694757325 0.000342293407791068 0.00567014074316929 0.000639998205736785 0.000641861509781651 0.000678240703981449 0.00025116244126883 0.000312917349749092 0.000597856523158486 0.000680803084022385 0.000638586100943414 0.000620869315001451 0.000241189422411093 0.000266279748342409 0.000325138456142218 0.000358441611808406 0.000450933036679371 0.000571677765158575 0.000634452752531423 0.000636358982791652 0.000661387834286093 0.000259341463042802 0.00045046270903198 0.000633407233122947 0.000463934700615949 0.000242859782250022 0.000249968141507829 0.000277714206614717 0.000410174208463181 0.000645346284701688 0.000617177523008497 0.000234703131397401 3.11133407962198e-05 -3.37814312069361e-05 -5.11268034896115e-05 -2.47607951313173e-06 -3.34614679346787e-06 -2.39418849836109e-06 -2.19480630314271e-05 -1.85088225690683e-05 -1.02052621251213e-05 6.79316148970324e-06 8.7235798801677e-06 -1.98154205002246e-05 -6.34257097635526e-05 -8.3835105554721e-05 1.75918171342857e-05
"Immunityfull_367-427" 0.000422560830341304 0.000186497913613607 0.000231494222924563 0.00041877070106303 0.00101698427846161 0.00116714599837002 0.00120414842326411 0.00017271796939588 0.000199592580479003 0.000184625825683469 0.000223194976695442 0.000355149362290624 0.000639998205736785 0.007209679652247 0.00113914103807976 0.00115820366814191 0.000224014700551791 0.000285444807167209 0.000726672920835171 0.00109323327179458 0.00117077756630727 0.00119498154574932 0.000198170303712665 0.000224223465917574 0.00031766584917351 0.000428339931310317 0.000618605324583348 0.000780493138494365 0.00105117968204793 0.00113380795510464 0.00114738867952203 0.000212906770330168 0.000490822050990287 0.000965641418210408 0.000706212942127027 0.00022865293391921 0.000205529916518298 0.000240486856312297 0.000480653326432448 0.00119723788607968 0.00117113271446578 0.000247218226943872 0.000109145172584973 3.77559057427568e-05 2.77438195589888e-06 3.62908527362023e-05 2.13276583788925e-05 1.18294074501631e-05 -2.85183860298787e-05 -2.66112957534314e-05 -1.71448091442335e-05 -2.63639617420224e-06 -2.89490036034703e-06 -2.05547951739519e-05 -5.49034144229446e-05 -4.21640556349755e-05 9.10797455992177e-06
"Immunityfull_428-488" 0.000439925468653712 0.000187478627917102 0.000252430424531366 0.000441988142394596 0.00103899091359285 0.00144281126026249 0.00176068097856596 0.000144631790136708 0.000166169073709294 0.000148326551594586 0.00020239182156319 0.000370880919858807 0.000641861509781651 0.00113914103807976 0.0176275834827877 0.00142771645511792 0.00021941302468005 0.000289150277754244 0.000742522414643081 0.00119168482868317 0.00149770583151118 0.0017286196751482 0.000165988603702021 0.000201031574233254 0.000290728769285269 0.000431001451041421 0.000678727476497443 0.000836578843420513 0.00118149139806576 0.00147521150234625 0.0013843760969601 0.000178842391251223 0.000456057383711393 0.00104821021235528 0.000766753580865124 0.000226906070337129 0.000179559642682085 0.000214130939917369 0.000463596107847712 0.0015714666687583 0.0019668352851134 0.000217065735932423 0.000126696054163949 9.44105727674356e-05 4.97795960160418e-05 5.7435127159938e-05 4.68245825181055e-05 2.9816038731317e-05 -4.78324507247529e-05 -6.33432634606155e-05 -6.75316167991088e-05 -6.1813759826857e-05 -7.21255884179812e-05 -0.000119493476702552 -0.000173021691247976 -0.000145314456220277 2.25863750783618e-05
"Immunityfull_489-549" 0.000436809258177185 0.000173812066077595 0.000267048179050647 0.000474670428047097 0.00109207553371328 0.00144215284567017 0.00167035175281004 0.000134365913217502 0.000155060492371928 0.000136418651883973 0.000188767239549412 0.000367334923835743 0.000678240703981449 0.00115820366814191 0.00142771645511792 0.0570179182005032 0.000204308004762016 0.000286895692197037 0.000766090050744595 0.00121320757282588 0.0014459434868338 0.00160559122718767 0.000152892413414657 0.000188199187421793 0.000284077481130497 0.000422209169551919 0.000667103101154131 0.000840242306087873 0.00118169238273459 0.00139105953105837 0.00138031474542164 0.000166815843237129 0.000462471399043327 0.00105478001806541 0.000764517586776085 0.000206517754136599 0.000168889562948678 0.000206607870291825 0.000470967648336769 0.00155325882097816 0.00169611557020222 0.000206466874922735 0.000119434745883956 8.77671073398638e-05 3.15624111839233e-05 3.00454966421136e-05 2.67681639296652e-05 1.46023087714046e-05 -3.27727692771502e-05 -4.2924622031971e-05 -5.00340885936402e-05 -3.8662301698386e-05 -3.88687973682827e-05 -0.000121985836777487 -0.000221386073692609 -0.000323499501414175 5.05250906884988e-05
"Immunityhybridboost_001-061" 0.000281278249621019 0.000325284802863572 0.000311666426644101 0.000267507897765449 0.000219645922272619 0.000211828352389162 0.000204309695455381 0.000311860643321602 0.000310795600589838 0.000303264415223535 0.000318578648169332 0.000293890752452643 0.00025116244126883 0.000224014700551791 0.00021941302468005 0.000204308004762016 0.00573012436656422 0.000306595777050216 0.000246107318938397 0.000223355647685821 0.000219655433268483 0.000215126155496478 0.000318819125590555 0.000315303801573264 0.00029649028039481 0.000295310415940533 0.000271033885766616 0.000246917995084588 0.000226469626679934 0.000225499688480405 0.000217411251493311 0.000307068218079295 0.000263719388580355 0.000219377458866888 0.000253139675808455 0.000312672735549361 0.000310328604573525 0.000305169724483917 0.00027624172259317 0.00020462884986997 0.000205538770395067 0.000244517360708692 9.95115410396973e-05 4.79206598973628e-05 2.06288592500559e-05 5.21641740909703e-05 3.79004865666326e-05 2.17503169533913e-05 -3.989356176957e-05 -3.54133575781487e-05 -2.64103989817892e-05 -4.64793844167692e-06 5.35510149629819e-06 8.78791216056776e-06 -4.08023313214237e-06 4.35930943049419e-05 6.5665711284792e-06
"Immunityhybridboost_062-122" 0.000281957806204723 0.000282851396782788 0.000357410557859668 0.000409604907436137 0.000301549509523707 0.000291808619203129 0.000291702914955488 0.000255797587811269 0.00030444817748226 0.000250861782517284 0.000292105562510105 0.000361564234275252 0.000312917349749092 0.000285444807167209 0.000289150277754244 0.000286895692197037 0.000306595777050216 0.0048755793805356 0.000347346869492449 0.000286767732421519 0.000284455759167967 0.00028415323682917 0.00028843080032754 0.000321988264172124 0.000295436392348324 0.000294746862152024 0.000328475672198977 0.000298976082272464 0.000281337817878657 0.000282634719997374 0.000278465292991365 0.000303189166253419 0.000343547230236326 0.000271258463788578 0.000252057226073311 0.000268715533971781 0.000308322373366931 0.00029656802564019 0.00032586657604296 0.000292164479012928 0.000292337834582784 0.000227005597490117 9.40738098542359e-05 5.02800834174875e-05 2.58079004892764e-05 5.03825573809144e-05 3.77679729203406e-05 2.19243418280718e-05 -4.25375405774496e-05 -4.48585721571316e-05 -4.68449163019316e-05 -4.22939480764917e-05 -3.51491640139118e-05 -5.01306035407655e-05 -7.53683858657793e-05 -3.81019748783173e-05 1.15818166716111e-05
"Immunityhybridboost_123-183" 0.00036218424540626 0.000210521246756908 0.00028832377374686 0.000530857772468543 0.000824588384689162 0.000760498384677697 0.000728020865507606 0.000184237581720653 0.000229392916349566 0.000197474046013498 0.000240776191097501 0.000381622278772144 0.000597856523158486 0.000726672920835171 0.000742522414643081 0.000766090050744595 0.000246107318938397 0.000347346869492449 0.0105009065716933 0.000782532441608806 0.000739046941943677 0.000715055592475211 0.000216408591675539 0.000266645486928899 0.000332685149411373 0.000372610866601922 0.000508296654348771 0.000639053669322136 0.000720340015964284 0.000734603629981215 0.000752186239260959 0.000249069942261445 0.000504669027277962 0.000710460177194419 0.000495651854151835 0.00022050805571661 0.000241229940137692 0.000272798283743985 0.000444420904034584 0.000744121247312501 0.000703526344060682 0.00023421586505099 0.000111889395941475 6.47686540271615e-05 3.31712887010943e-05 5.25257543910706e-05 4.00169844960656e-05 2.30036891393824e-05 -4.26837862581983e-05 -4.51321541039594e-05 -4.35264222994297e-05 -3.15846869829682e-05 -2.38382103966021e-05 -5.08496790855424e-05 -8.95557431261459e-05 -6.37754053289402e-05 1.98324549629667e-05
"Immunityhybridboost_184-244" 0.000426807749999637 0.000187761645031316 0.00023037031946389 0.000435315841673939 0.00110642806091329 0.00122740424560535 0.0012411086612434 0.000159218790429285 0.000182285182385054 0.000169212683932279 0.000218998259802525 0.000356498848363537 0.000680803084022385 0.00109323327179458 0.00119168482868317 0.00121320757282588 0.000223355647685821 0.000286767732421519 0.000782532441608806 0.0079698699011665 0.00122422304869409 0.00123191196382643 0.00018434547479785 0.000215348025036649 0.000321453238170309 0.000438349670135912 0.000638944732992408 0.000826584028973275 0.00110384795795377 0.00118427965446316 0.00120242051272235 0.000198972527095144 0.000505846052137043 0.00101689782263475 0.000733073590104983 0.000221372606102972 0.000193366372368898 0.000235479161466886 0.000492721079007257 0.00124804327105064 0.00120406576329759 0.000240861420267019 0.000135088218291019 9.26591453344278e-05 4.87468371475135e-05 6.48698236244547e-05 4.97902260682878e-05 2.92400782610812e-05 -4.69989027511979e-05 -4.92190920466316e-05 -4.79449288765268e-05 -3.37201385653231e-05 -2.55675711000256e-05 -4.45513911342143e-05 -7.8660528524568e-05 -4.55786765419799e-05 1.4762607599732e-05
